      Step     Time          Energy          fmax
BFGS:    0 21:12:53      -66.185059        4.802687
BFGS:    1 21:12:53      -66.640793        2.536829
BFGS:    2 21:12:53      -67.032234        2.133468
BFGS:    3 21:12:53      -67.320053        1.800204
BFGS:    4 21:12:53      -67.533188        1.283555
BFGS:    5 21:12:53      -67.675804        0.760512
BFGS:    6 21:12:53      -67.758263        0.507807
BFGS:    7 21:12:53      -67.798622        0.555820
BFGS:    8 21:12:53      -67.834320        0.572367
BFGS:    9 21:12:54      -67.873314        0.448845
BFGS:   10 21:12:54      -67.883705        0.278895
BFGS:   11 21:12:54      -67.896172        0.147798
BFGS:   12 21:12:54      -67.888618        0.150434
BFGS:   13 21:12:54      -67.891663        0.123579
BFGS:   14 21:12:54      -67.898506        0.130582
BFGS:   15 21:12:54      -67.901550        0.127628
BFGS:   16 21:12:54      -67.903412        0.133329
BFGS:   17 21:12:54      -67.898041        0.196561
BFGS:   18 21:12:54      -67.906067        0.205556
BFGS:   19 21:12:54      -67.906815        0.174593
BFGS:   20 21:12:54      -67.907700        0.164540
BFGS:   21 21:12:54      -67.919228        0.257613
BFGS:   22 21:12:54      -67.923019        0.298508
BFGS:   23 21:12:54      -67.929131        0.331725
BFGS:   24 21:12:54      -67.942245        0.350614
BFGS:   25 21:12:54      -67.944374        0.344752
BFGS:   26 21:12:54      -67.963669        0.306599
BFGS:   27 21:12:54      -67.964493        0.368292
BFGS:   28 21:12:54      -67.989723        0.432478
BFGS:   29 21:12:54      -67.992455        0.442961
BFGS:   30 21:12:54      -68.001617        0.210052
BFGS:   31 21:12:54      -68.012390        0.209641
BFGS:   32 21:12:54      -68.018661        0.164911
BFGS:   33 21:12:54      -68.017578        0.109709
BFGS:   34 21:12:54      -68.018257        0.115683
BFGS:   35 21:12:54      -68.021011        0.076462
BFGS:   36 21:12:55      -68.027702        0.046721
BFGS:   37 21:12:55      -68.024559        0.043778
BFGS:   38 21:12:55      -68.017944        0.032001
BFGS:   39 21:12:55      -68.019775        0.017536
BFGS:   40 21:12:55      -68.022537        0.023466
BFGS:   41 21:12:55      -68.022629        0.016523
BFGS:   42 21:12:55      -68.016319        0.013360
BFGS:   43 21:12:55      -68.019363        0.014485
BFGS:   44 21:12:55      -68.020531        0.012227
BFGS:   45 21:12:55      -68.014351        0.007402
BFGS:   46 21:12:55      -68.024971        0.009899
BFGS:   47 21:12:55      -68.024612        0.004677
BFGS:   48 21:12:55      -68.019333        0.010057
BFGS:   49 21:12:55      -68.022720        0.003476
BFGS:   50 21:12:55      -68.024963        0.004916
BFGS:   51 21:12:55      -68.022820        0.007468
BFGS:   52 21:12:55      -68.019630        0.010384
BFGS:   53 21:12:55      -68.017792        0.005459
BFGS:   54 21:12:55      -68.016647        0.009564
BFGS:   55 21:12:55      -68.015945        0.003959
BFGS:   56 21:12:55      -68.023026        0.007730
BFGS:   57 21:12:55      -68.014755        0.006163
BFGS:   58 21:12:55      -68.021996        0.015700
BFGS:   59 21:12:55      -68.019272        0.005221
BFGS:   60 21:12:55      -68.019402        0.006738
BFGS:   61 21:12:55      -68.018585        0.004378
BFGS:   62 21:12:55      -68.018112        0.006398
BFGS:   63 21:12:55      -68.024925        0.005421
BFGS:   64 21:12:55      -68.017723        0.006606
BFGS:   65 21:12:55      -68.018219        0.004947
BFGS:   66 21:12:56      -68.015945        0.011065
BFGS:   67 21:12:56      -68.018219        0.003430
BFGS:   68 21:12:56      -68.021622        0.006971
BFGS:   69 21:12:56      -68.023750        0.003842
BFGS:   70 21:12:56      -68.020569        0.005507
BFGS:   71 21:12:56      -68.017029        0.004282
BFGS:   72 21:12:56      -68.017067        0.006853
BFGS:   73 21:12:56      -68.020805        0.004181
BFGS:   74 21:12:56      -68.020927        0.005540
BFGS:   75 21:12:56      -68.019127        0.003880
BFGS:   76 21:12:56      -68.017502        0.004450
BFGS:   77 21:12:56      -68.018433        0.004649
BFGS:   78 21:12:56      -68.019630        0.065958
BFGS:   79 21:12:56      -68.025177        0.004908
BFGS:   80 21:12:56      -68.020996        0.002838
