frame,q,P_rad,x_cp,y_cp,E_pot_eV,normal_x,normal_y,normal_z,cos_theta_to_lab_z,theta_to_lab_z_deg
0,0.4099450707733622,1.2896619817520993,0.11373747211721025,0.3938511755571687,-68.1141357421875,-0.34374613218188776,0.5201651797337316,0.7818355213231022,0.7818355213231022,38.57105741814123
1,0.4439063567168318,-1.3065912321414364,0.11592260636588583,-0.42850297883089566,-67.8292236328125,-0.34006113809638094,0.5205330655598988,0.7832009640031148,0.7832009640031148,38.44540576782457
2,0.5014147626335571,2.5284254491323552,-0.4100717953921736,0.28854442779354755,-67.9359130859375,-0.34073819624965895,0.5139028916994457,0.7872746023589715,0.7872746023589715,38.06845668430001
3,0.40632675514392297,-0.0946453529318055,0.40450822795463065,-0.03839955029416505,-67.85479736328125,-0.3369097702615132,0.5089223846458117,0.792142545952908,0.792142545952908,37.613811043816874
4,0.35831976052392545,-2.967899068390844,-0.3529281789716706,-0.06192536854685406,-67.89744567871094,-0.33731823409994444,0.5128536442515126,0.7894286215495598,0.7894286215495598,37.867852689474816
5,0.4029900852886455,0.42870905576311324,0.3665207516151793,0.1675217820953258,-67.94097137451172,-0.33903115529546224,0.5069658010616152,0.7924919887878862,0.7924919887878862,37.58099462624091
6,0.4737219830103936,-2.766117331074278,-0.4407193922153935,-0.17372085226763592,-67.88079833984375,-0.34154615488350304,0.5084823062734258,0.7904378332868134,0.7904378332868134,37.773553464882056
7,0.38327373271375637,0.3605709148292941,0.35862752712109447,0.13522222812594314,-67.89105987548828,-0.3462634400577555,0.5203930793849939,0.7805720165414418,0.7805720165414418,38.6870214278316
8,0.42033360817388304,-2.6423844639934453,-0.3690368936334649,-0.20122652235189611,-67.92191314697266,-0.3448901475524322,0.5185745635655296,0.7823881441740297,0.7823881441740297,38.520245305394575
9,0.4390628734004372,0.84665203711556,0.29087682715390256,0.32888733363194006,-67.87966918945312,-0.3440801437728725,0.506993047010038,0.790295454209827,0.790295454209827,37.78686927607894
10,0.4404311102926527,-1.8488013449475962,-0.12087095013146955,-0.4235206917352854,-67.90917205810547,-0.34971135718730034,0.5139243726728523,0.7833158404034938,0.7833158404034938,38.43481871256784
11,0.3953324478432845,2.167167112410454,-0.2220358765750172,0.32708991704319923,-67.91485595703125,-0.32800169688623376,0.5090529433166084,0.7957889090333248,0.7957889090333248,37.27016628909478
12,0.360606089223478,-0.059871165657107824,0.3599599758141636,-0.02157701084297132,-67.90398406982422,-0.33619452883498,0.5189978242517617,0.785884531724199,0.785884531724199,38.19743920492966
13,0.3958351465913894,-2.636110659141465,-0.34633247035310116,-0.1916749416489934,-67.89676666259766,-0.3440804791814367,0.49866654166523305,0.7955754546678205,0.7955754546678205,37.2903573821264
14,0.44817208064120406,1.0129758207847277,0.23723466983607222,0.38023404015689566,-67.90885925292969,-0.3340815261084183,0.4974460906531304,0.800585361349424,0.800585361349424,36.813963342155795
15,0.4474716031961282,-1.6113317748605953,-0.018133495054338415,-0.44710402819033906,-67.91865539550781,-0.341914286635696,0.49835369281977976,0.7967045986106092,0.7967045986106092,37.183442969429976
16,0.34535781608048566,1.018612823730119,0.18115656913753359,0.2940311524077008,-67.86463928222656,-0.33175239909407017,0.5013142722015004,0.7991397538493558,0.7991397538493558,36.951966760975935
17,0.4834013071847653,-2.2041565956640246,-0.2861042620243726,-0.3896423681267593,-67.90058898925781,-0.32857173539577433,0.5062976711969053,0.7973100293108069,0.7973100293108069,37.12600857220759
18,0.3646200327970212,0.9780963077841496,0.2036776793190053,0.3024287870956157,-67.85403442382812,-0.3344501728362026,0.5049961077945863,0.7956896461574405,0.7956896461574405,37.27955693395009
19,0.3839655066660003,2.9682501347179224,-0.3782113101512168,0.06622473241152751,-67.90000915527344,-0.33032280288749793,0.5044848958511567,0.7977354422053684,0.7977354422053684,37.08560609351641
20,0.45428709370915227,-0.64574146646723,0.362818104069033,-0.2733857839582381,-67.87638854980469,-0.33855707627625403,0.5076222242998353,0.7922744369851665,0.7922744369851665,37.60142793351167
21,0.33268372025066095,1.8056165291893984,-0.077404897741395,0.3235536115166453,-67.9288558959961,-0.33284773441255366,0.49742618054696836,0.8011114657791918,0.8011114657791918,36.7636290209903
22,0.44850378208599084,-2.0690225623980716,-0.21432567733311342,-0.3939798809344712,-67.88665008544922,-0.33046074723047897,0.501490654337147,0.799564142612945,0.799564142612945,36.91149882695658
23,0.3641063559884267,0.7874197795748678,0.25694105813962137,0.2579820364158378,-67.8593521118164,-0.3443871814534533,0.4919943450783332,0.799586789324016,0.799586789324016,36.909338262144054
24,0.3632152207858031,2.8483148466523174,-0.3477064514595582,0.10500247722735681,-67.88712310791016,-0.3399337590351416,0.49879849895187167,0.7972735395782291,0.7972735395782291,37.12947233660158
25,0.433227146320442,-1.5382260998516253,0.014107811857489464,-0.4329973786913119,-67.86675262451172,-0.3387104751029038,0.48182244906473803,0.8081598490600874,0.8081598490600874,36.08346864604245
26,0.3582819619729284,0.022865115774917576,0.35818830872656193,0.008191444730695671,-67.87130737304688,-0.34350128471033164,0.503197900921068,0.7929683095250294,0.7929683095250294,37.53622364010568
27,0.44817446990590765,1.3536294756787495,0.09656541386692741,0.43764766230399355,-67.84760284423828,-0.34712311961645403,0.4866153159564141,0.8016926306910775,0.8016926306910775,36.707957970220875
28,0.3506057159478054,2.1231099357898673,-0.18394817669129093,0.2984751854798365,-67.93817138671875,-0.3464735400660998,0.5035597247302515,0.7914440534009073,0.7914440534009073,37.67933396484459
29,0.47012105481699573,3.12973808315655,-0.47008802195043875,0.005572952625719387,-67.86121368408203,-0.34834949230552564,0.4864411214113308,0.8012662894509974,0.8012662894509974,36.74880520428635
30,0.35489944620285907,-2.4605538826367908,-0.2757281680663409,-0.22344483491429318,-67.9037857055664,-0.3509762591593448,0.5088761380509335,0.7860411831633759,0.7860411831633759,38.182922226055354
31,0.4724973039556809,-1.6868612465220862,-0.05471731820900897,-0.46931835392769494,-67.87466430664062,-0.3352067433357873,0.5020965798301424,0.7972047815618577,0.7972047815618577,37.135998395607224
32,0.3706357821797868,-1.2046663375868487,0.13268932092386335,-0.34606997434736575,-67.88170623779297,-0.3379056840563687,0.5017774935877749,0.7962657192239084,0.7962657192239084,37.22503000994425
33,0.45980840102021947,-1.0241512835284696,0.239019492738339,-0.39280204650673356,-67.91873168945312,-0.3474762159684765,0.4935091332929402,0.7973136237972357,0.7973136237972357,37.12566735292923
34,0.3636868442847746,-0.5153877159494232,0.3164445390334563,-0.1792511490108815,-67.85364532470703,-0.3380338650169021,0.5083899279392309,0.7920055475005706,0.7920055475005706,37.6266700075994
35,0.4394581407182758,-0.9724017442629704,0.24755412636364335,-0.36309835026325477,-67.91197967529297,-0.3382175683320032,0.49947107890911924,0.7975822953181365,0.7975822953181365,37.10015515857965
36,0.384299935163612,-1.5017808460000093,0.02650159464531164,-0.38338506184776155,-67.87062072753906,-0.3456696185144068,0.4971816986618949,0.7958158539208535,0.7958158539208535,37.26761685141756
37,0.3939707501643648,-2.363417884478676,-0.28058439255209977,-0.2765598500166673,-67.90824890136719,-0.338547924582668,0.500817551779379,0.7965971896702104,0.7965971896702104,37.19362443004692
38,0.38239395628281064,3.1412881747319674,-0.38239393855744086,0.00011643087324948613,-67.88585662841797,-0.3548463505868252,0.4883576650833577,0.7972395238756939,0.7972395238756939,37.13270100621715
39,0.40367027742625866,1.5352525445125802,0.014344947536177695,0.4034153137370679,-67.9040298461914,-0.3449067963390185,0.49160271891616575,0.7996036947096907,0.7996036947096907,36.90772536644687
40,0.35810810064273707,0.10388939673875094,0.35617730659514046,0.03713674746905047,-67.95903015136719,-0.35119418503829575,0.49136901174638153,0.7970063605082909,0.7970063605082909,37.15482571713426
41,0.4342138984338033,-1.1695600324707207,0.16958516763090858,-0.39972813325143614,-67.85078430175781,-0.3487312294666721,0.4934450001108636,0.7968052217827475,0.7968052217827475,37.17390257811211
42,0.38996825528875445,-1.7128456244102577,-0.05520861215655979,-0.3860404762155151,-67.8871078491211,-0.3414880600200436,0.4955585856550694,0.7986285701421497,0.7986285701421497,37.000660708385865
43,0.4374316367071758,-2.8789916845201455,-0.4224356278622107,-0.11355429144236882,-67.85613250732422,-0.3468928916739654,0.4926344787457981,0.798108133060258,0.798108133060258,37.05017975497718
44,0.37826568235449853,2.1677036538864125,-0.21261833005248096,0.31285519361648556,-67.94564056396484,-0.3398253987634446,0.49973647918365066,0.7967321693821549,0.7967321693821549,37.18082910839778
45,0.43442982329937607,1.3038875633728306,0.1145812669514645,0.41904701960009727,-67.8619384765625,-0.3328663846724761,0.5020234950545818,0.7982307813961184,0.7982307813961184,37.03851500204375
46,0.41295390421872924,-0.2467878943841215,0.4004422720715319,-0.10088069065822564,-67.86888885498047,-0.3440600550229615,0.49184696779150233,0.7998182536125953,0.7998182536125953,36.887249644313265
47,0.410662098007502,-1.4797838881385452,0.03732378204175184,-0.40896246042151957,-67.93640899658203,-0.3370657561157926,0.5055323621698239,0.7942441103672644,0.7942441103672644,37.416081838538396
48,0.38281906726340886,-2.8698327758422804,-0.36876960343986603,-0.10275902801812749,-67.84272003173828,-0.34720161087111584,0.4911796236473989,0.7988702139409768,0.7988702139409768,36.97764923775349
49,0.3578219370888814,1.8579907109152043,-0.10135758617942613,0.3431664004326758,-67.93082427978516,-0.3420272897756025,0.5015862947760239,0.7946247680141967,0.7946247680141967,37.380171602638086
50,0.4394961264127859,-0.5883601232277976,0.36559569875523723,-0.24391931080485063,-67.82633972167969,-0.33818963051466483,0.4961204682778308,0.7996825962643807,0.7996825962643807,36.90019678948586
51,0.3843369649607246,2.9889529994918393,-0.3798683438878529,0.058437521740070206,-67.96936798095703,-0.34563949257150933,0.4877276274300106,0.801657721609667,0.801657721609667,36.711304034408904
52,0.3948334506442179,0.27474288621394544,0.3800252158697453,0.10711810794993311,-67.89962005615234,-0.3380459945462783,0.5032887628697453,0.7952517379674557,0.7952517379674557,37.32096060254658
53,0.4166811857377265,-2.601556019285988,-0.35738322193238453,-0.2142438872617507,-67.81632232666016,-0.333237499070819,0.49843910710374306,0.8003194522955501,0.8003194522955501,36.83938136173894
54,0.42282890112712196,0.9996696681242402,0.22857294930402858,0.35572276631504407,-67.92806243896484,-0.3388001774625529,0.4947396027110867,0.8002794294873629,0.8002794294873629,36.843205804599805
55,0.4043240535798058,-2.4506143833158553,-0.3115813911438671,-0.25767222783229493,-67.91712188720703,-0.3263130529787234,0.501272242729619,0.801402476989261,0.801402476989261,36.73576148380217
56,0.40285299373626654,0.15305511035954295,0.39814360768165336,0.06141825644309762,-67.88329315185547,-0.31991348115998963,0.49212039476180364,0.8096127973491919,0.8096127973491919,35.94188209369949
57,0.42267145754989843,2.8868352819055474,-0.4090295118545144,0.10651769552244945,-67.89913940429688,-0.3234532397703444,0.493896101761805,0.8071212067258307,0.8071212067258307,36.18438840427707
58,0.43024085994938827,-0.649808624318518,0.3425576014261646,-0.2603103672064217,-67.91415405273438,-0.3330209558441943,0.4798822869182715,0.8116711364035984,0.8116711364035984,35.7404712271106
59,0.41157331422042087,-0.8034364769841527,0.28572959690510474,-0.2962282741920961,-67.88787841796875,0.32459499876379083,-0.495807276322605,-0.8054894360096194,-0.8054894360096194,143.65754931383535
60,0.39688624043198895,-0.7874400639485553,0.28006732640673077,-0.2812134074393045,-67.83419036865234,-0.3294498830600202,0.4718387545293768,0.8178208631943219,0.8178208631943219,35.13275500586187
61,0.403148772496388,2.2138761691838074,-0.2417533756113125,0.3226208891964066,-67.82056427001953,-0.3173090684148582,0.48474144191485147,0.8150709721196097,0.8150709721196097,35.40561994496621
62,0.44989683508346207,-1.1505220517364885,0.18356280145083262,-0.41074549314829745,-67.89558410644531,-0.31779482879639337,0.4852247888165976,0.8145939792977599,0.8145939792977599,35.45276475386398
63,0.4189389866536854,1.3968970442212372,0.0724865522971445,0.4126203754960365,-67.88040161132812,-0.3212693924893689,0.4790122737585569,0.8169046572508749,0.8169046572508749,35.22387225073538
64,0.384613609155503,-2.438799517117254,-0.29347549840991083,-0.24859557554525474,-67.96866607666016,-0.309546554681858,0.49444187689808555,0.8122242060257069,0.8122242060257069,35.68618491185247
65,0.43209419417358347,0.21342608395942608,0.4222903981648034,0.09152164911282062,-67.8582534790039,-0.3121166586343838,0.49087407002746525,0.8134038595787328,0.8134038595787328,35.57015649966826
66,0.4315951916642813,3.1298343949591296,-0.43156535655620537,0.005074690950494864,-67.96685028076172,-0.32008455779698536,0.48995571780444547,0.8108571208607833,0.8108571208607833,35.820240833500485
67,0.4005344064274026,-0.08954660281075351,0.398929617794098,-0.03581858147395857,-67.89981079101562,-0.3137943047742249,0.5119938704481872,0.7996220425393149,0.7996220425393149,36.905974782780326
68,0.380985204451827,-3.003970238495244,-0.3773829789441592,-0.052266750563170816,-67.90654754638672,-0.31705171979410873,0.5009948908704438,0.8052840035026836,0.8052840035026836,36.362307997930714
