ray,direction,orientation,n_min,n_min_ml,n_min_wall,e_min_kcal,r_at_min
0,0,0,1,1,0,-1.8879764139880062,4.6
1,0,1,1,1,0,-2.030234872923354,4.6
2,0,2,1,1,0,-1.9295213254725305,4.0
3,0,3,1,1,0,-2.196232030005312,4.2
4,0,4,2,2,0,-1.3701578114424586,4.2
5,0,5,1,1,0,-1.976673311795849,5.0
6,0,6,1,1,0,-1.666117392904604,5.2
7,0,7,2,2,0,-1.0180163684730426,4.0
8,0,8,1,1,0,-2.34191570448061,4.6
9,0,9,1,1,0,-1.37710081679298,5.0
10,0,10,1,1,0,-0.8600519495463731,4.6
11,0,11,1,1,0,-2.457984438532139,3.8
12,0,12,2,2,0,-0.4642102619846605,5.2
13,0,13,1,1,0,-0.5253172276460435,4.4
14,0,14,1,1,0,-1.8793592796128331,4.2
15,0,15,2,2,0,-0.6514051572084165,5.0
16,0,16,2,2,0,-0.7043803898210838,4.8
17,0,17,1,1,0,-2.251487919171923,4.2
18,0,18,1,1,0,-0.37813882930049525,4.4
19,0,19,1,1,0,-1.2550750555132266,5.2
20,0,20,1,1,0,-1.1654591883852479,5.0
21,0,21,1,1,0,0.47354478916236387,4.4
22,0,22,1,1,0,-2.0977337117550916,4.2
23,0,23,0,0,0,0.0,nan
24,1,0,1,1,0,-1.21827925735878,5.2
25,1,1,1,1,0,-1.8943233135888533,4.6
26,1,2,1,1,0,-0.8324692177738878,5.4
27,1,3,1,1,0,-1.2279704394097293,5.2
28,1,4,1,1,0,-1.7853473389250507,4.6
29,1,5,1,1,0,-0.756316578122442,5.4
30,1,6,1,1,0,-0.9904634765936515,5.2
31,1,7,1,1,0,-2.644148285497118,4.6
32,1,8,1,1,0,-0.6888336307282569,5.6
33,1,9,1,1,0,-0.8391259925336624,5.6
34,1,10,1,1,0,-2.7516658374600147,4.0
35,1,11,1,1,0,-1.5786432063647897,5.0
36,1,12,1,1,0,-1.2610148114855695,4.8
37,1,13,1,1,0,-1.1306337488632499,5.4
38,1,14,1,1,0,-1.1347699540522063,5.2
39,1,15,2,2,0,-2.033918254077511,4.0
40,1,16,1,1,0,-1.014591292427216,5.2
41,1,17,1,1,0,-1.220408715208586,4.8
42,1,18,1,1,0,-1.682538209998401,4.2
43,1,19,1,1,0,-1.3651977491010827,4.2
44,1,20,1,1,0,-1.814379733334172,4.2
45,1,21,1,1,0,-2.3676778501765474,4.2
46,1,22,1,1,0,-1.8281736656820953,4.4
47,1,23,1,1,0,-2.5494158759975165,4.0
48,2,0,2,2,0,-1.1470755393924548,4.8
49,2,1,1,1,0,-1.4621867251366458,5.0
50,2,2,1,1,0,-1.070012447237476,5.2
51,2,3,1,1,0,-0.9133005542304878,5.4
52,2,4,1,1,0,-1.6456525056066873,4.8
53,2,5,1,1,0,-0.9843304130096667,5.4
54,2,6,1,1,0,-0.7572444359723587,5.4
55,2,7,2,2,0,-0.8999177706453148,4.4
56,2,8,1,1,0,-1.01210888802433,5.0
57,2,9,1,1,0,-0.8828906225422708,5.2
58,2,10,1,1,0,-1.267875825720251,4.4
59,2,11,1,1,0,-1.1645997767983662,5.2
60,2,12,1,1,0,-1.0716074223924088,5.4
61,2,13,2,2,0,-0.987491581361314,5.0
62,2,14,1,1,0,-1.131672881270405,5.4
63,2,15,1,1,0,-0.9761830883061909,5.4
64,2,16,1,1,0,-1.0443790605203958,5.4
65,2,17,1,1,0,-1.0279969045123243,5.4
66,2,18,2,2,0,-1.268883270687346,5.0
67,2,19,1,1,0,-0.7546901695256616,5.800000000000001
68,2,20,1,1,0,-0.8805053517084919,5.4
69,2,21,1,1,0,-1.2736846518202616,5.2
70,2,22,1,1,0,-1.647156971188352,5.0
71,2,23,2,2,0,-1.4652481208842572,4.4
72,3,0,1,1,0,-0.7948293367169226,5.800000000000001
73,3,1,1,1,0,-0.9146396178327385,5.4
74,3,2,2,2,0,-1.0727956326732826,5.0
75,3,3,1,1,0,-1.5373000186169812,5.2
76,3,4,1,1,0,-1.5209938458940442,5.0
77,3,5,1,1,0,-1.2193189862644354,5.0
78,3,6,1,1,0,-1.3404712509679149,4.8
79,3,7,1,1,0,-1.1283475886168466,5.2
80,3,8,1,1,0,-1.1995203993267411,5.2
81,3,9,2,2,0,-1.1140030895050277,4.0
82,3,10,1,1,0,-1.1258408059398841,5.4
83,3,11,1,1,0,-1.4195816027275916,5.0
84,3,12,2,2,0,-1.274577249292019,4.4
85,3,13,1,1,0,-1.8617142455187383,4.4
86,3,14,2,2,0,-1.268904322616481,5.0
87,3,15,2,2,0,-1.1203907285358665,5.0
88,3,16,2,2,0,-0.7989720538836503,4.8
89,3,17,1,1,0,-1.1000316819664895,5.0
90,3,18,1,1,0,-0.9799663157222385,5.2
91,3,19,1,1,0,-0.8677386369276328,4.8
92,3,20,1,1,0,-1.157495215946237,5.2
93,3,21,1,1,0,-1.5583180586963374,4.6
94,3,22,1,1,0,-0.8449701111387428,5.6
95,3,23,1,1,0,-1.3612442944207974,5.2
96,4,0,1,1,0,-0.607893178621323,6.0
97,4,1,1,1,0,-2.069328477802082,4.4
98,4,2,1,1,0,-0.7902574554364779,5.6
99,4,3,1,1,0,-1.5248178119503215,5.0
100,4,4,2,2,0,-2.352032402243892,4.2
101,4,5,1,1,0,-1.348130112003682,5.0
102,4,6,1,1,0,-1.6809843677950003,5.0
103,4,7,1,1,0,-1.0687601559861748,5.4
104,4,8,1,1,0,-1.2793403006002388,5.2
105,4,9,1,1,0,-0.8929772722160347,5.4
106,4,10,2,2,0,-1.6561236699853288,5.0
107,4,11,1,1,0,-1.16533701665083,5.2
108,4,12,1,1,0,-1.6576966190885178,5.0
109,4,13,1,1,0,-0.8606356337030294,5.6
110,4,14,2,1,1,-0.5637916946418106,6.0
111,4,15,1,1,0,-2.135817681993218,4.6
112,4,16,1,1,0,-0.9055940598707902,5.4
113,4,17,1,1,0,-1.5651017814430257,5.0
114,4,18,1,1,0,-1.4389346268316243,5.2
115,4,19,1,1,0,-1.83448215163046,5.0
116,4,20,1,1,0,-2.553208798733205,4.4
117,4,21,1,1,0,-2.2093065047393656,4.4
118,4,22,1,1,0,-2.164659001025787,4.2
119,4,23,1,1,0,-1.206130601308985,5.2
120,5,0,1,1,0,-0.3447557725079347,4.8
121,5,1,1,1,0,-1.5538404472823633,5.2
122,5,2,1,1,0,-1.255285026243552,5.4
123,5,3,2,2,0,-0.7004186362603987,4.6
124,5,4,1,1,0,-1.169866846234492,5.4
125,5,5,1,1,0,-1.6103496745061139,5.0
126,5,6,2,2,0,-0.7990356535559338,4.0
127,5,7,1,1,0,-1.2076304880470259,5.0
128,5,8,1,1,0,-1.148802097963461,4.6
129,5,9,1,1,0,0.16082505917879114,4.2
130,5,10,0,0,0,0.0,nan
131,5,11,2,2,0,-0.48917879584224655,4.2
132,5,12,3,3,0,-1.7119324930823219,4.0
133,5,13,1,1,0,-0.415406908897963,4.0
134,5,14,1,1,0,-1.4978890374848393,5.0
135,5,15,1,1,0,-1.370136750093063,5.2
136,5,16,1,1,0,-0.42486870771647856,4.8
137,5,17,1,1,0,-1.7135589857204379,4.8
138,5,18,1,1,0,-1.6005836890564347,4.6
139,5,19,1,1,0,-2.1261610585636506,4.8
140,5,20,1,1,0,-1.3793073294369984,5.0
141,5,21,1,1,0,-1.8627699935092845,4.4
142,5,22,1,1,0,-1.6223780785167823,5.0
143,5,23,1,1,0,0.19416321431591668,4.2
144,6,0,1,1,0,-0.9353624596437654,5.6
145,6,1,1,1,0,-0.7575803466104563,5.800000000000001
146,6,2,2,1,1,-1.5831798849875662,5.4
147,6,3,2,1,1,-0.4801917752547215,6.6
148,6,4,2,1,1,-0.418827808943639,6.800000000000001
149,6,5,1,1,0,-0.820577151551514,5.6
150,6,6,2,1,1,-0.3988437135199055,7.2
151,6,7,2,1,1,-0.47050155611343236,6.800000000000001
152,6,8,1,1,0,-0.9365443175345607,5.6
153,6,9,1,1,0,-0.7917382875449147,6.0
154,6,10,2,1,1,-0.6732946152481942,6.2
155,6,11,2,1,1,-0.4570602466914118,6.800000000000001
156,6,12,1,1,0,-1.0345560546553365,5.6
157,6,13,1,1,0,-0.853639985883426,6.0
158,6,14,1,1,0,-1.1004963207077152,5.4
159,6,15,1,1,0,-0.7717924782445258,6.0
160,6,16,1,1,0,-0.9193259241784935,5.800000000000001
161,6,17,1,1,0,-1.397352337103754,5.4
162,6,18,1,1,0,-1.1358223871133533,5.4
163,6,19,1,1,0,-1.4959831397805787,5.4
164,6,20,2,1,1,-0.4304782798906653,6.800000000000001
165,6,21,2,1,1,-0.4681309378811234,7.0
166,6,22,1,1,0,-0.7308117161413946,5.800000000000001
167,6,23,2,1,1,-0.532767945363329,6.6
168,7,0,2,1,1,-1.6050767069511411,5.2
169,7,1,1,1,0,-0.6924548497117118,5.800000000000001
170,7,2,1,1,0,-0.9794089591840934,5.6
171,7,3,1,1,0,-1.3028088116100462,5.2
172,7,4,1,1,0,-1.1505898198875948,5.4
173,7,5,1,1,0,-0.9210821938296673,5.4
174,7,6,1,1,0,-0.8964413624146909,5.6
175,7,7,1,1,0,-0.96385334447559,5.6
176,7,8,1,1,0,-1.4531646445052315,5.4
177,7,9,1,1,0,-0.8464909391700373,5.800000000000001
178,7,10,2,1,1,-0.6277454305410899,6.4
179,7,11,1,1,0,-1.2085883819400438,5.4
180,7,12,1,1,0,-0.7170265267138101,6.2
181,7,13,2,1,1,-0.6543158714750557,6.2
182,7,14,1,1,0,-0.7955198428629505,5.800000000000001
183,7,15,1,1,0,-0.8357289608224769,5.800000000000001
184,7,16,1,1,0,-0.7783419020848921,6.0
185,7,17,1,1,0,-1.2927085646547665,5.2
186,7,18,2,1,1,-0.4926923286630716,6.6
187,7,19,3,1,2,-0.40957624018791583,7.0
188,7,20,1,1,0,-0.8899475169254016,5.6
189,7,21,2,1,1,-0.4630299986954182,6.800000000000001
190,7,22,2,1,1,-0.521519506713528,6.4
191,7,23,2,1,1,-0.5840236353153849,6.4
192,8,0,1,1,0,-0.8371524085162976,4.4
193,8,1,1,1,0,-1.4380602054803158,4.8
194,8,2,1,1,0,-1.2042962840663147,5.2
