,E,F,R,phi,fn,EF
0,-11.572956085205078,"[[-2.1116973e-03 -4.3222579e-04  4.0056460e-05]
 [ 2.1116219e-03 -4.3299663e-04 -3.9163358e-05]
 [-1.7179867e-03  4.3265603e-04  4.3415846e-03]
 [ 1.7180623e-03  4.3256639e-04 -4.3424773e-03]]","[[-1.38782689e-02 -1.93593026e-02  1.30158543e-04]
 [ 1.38782669e-02 -1.93593166e-02  1.47986986e+00]
 [ 7.38382428e-01  7.15286814e-01 -2.16433627e-01]
 [-7.38382430e-01  7.15286808e-01  1.69643362e+00]]",91.655826192649,hper_a.xyz,"[0.0, 0.0, 0.0]"
1,-11.573232650756836,"[[-1.9895180e-05 -2.9655617e-05 -2.8863818e-05]
 [ 2.4635217e-05  2.0732925e-05 -2.9782763e-05]
 [-2.0397838e-05  1.6215178e-06  7.4686766e-05]
 [ 1.5657803e-05  7.3011729e-06 -1.6040189e-05]]","[[-1.52691842e-02 -1.91853657e-02  1.59020387e-04]
 [ 1.52689249e-02 -1.91878864e-02  1.47984393e+00]
 [ 7.43254916e-01  7.09074381e-01 -2.16127546e-01]
 [-7.43254702e-01  7.09074090e-01  1.69612464e+00]]",92.655826192649,hper_a.xyz,"[0.0, 0.0, 0.0]"
2,-11.57451057434082,"[[ 3.4560802e-04  3.2268843e-04  2.8429058e-04]
 [-3.9041351e-04 -1.7784200e-04  3.0074461e-04]
 [ 3.1885572e-04 -4.5281322e-05 -1.0356723e-03]
 [-2.7405020e-04 -9.9565113e-05  4.5063708e-04]]","[[-1.65354018e-02 -1.89751053e-02  1.79566725e-04]
 [ 1.65366715e-02 -1.89668288e-02  1.47981001e+00]
 [ 7.48105571e-01  7.02738125e-01 -2.16511788e-01]
 [-7.48105721e-01  7.02738760e-01  1.69652180e+00]]",93.655826192649,hper_a.xyz,"[0.0, 0.0, 0.0]"
3,-11.576813697814941,"[[-7.0123590e-04 -3.1442403e-05  1.3699157e-04]
 [ 6.8387511e-04 -2.3646769e-04  1.0367372e-04]
 [-5.4628350e-04  1.4462366e-04  1.2660378e-03]
 [ 5.6364434e-04  1.2328643e-04 -1.5067031e-03]]","[[-1.77951112e-02 -1.87510799e-02  2.12767124e-04]
 [ 1.77952486e-02 -1.87489372e-02  1.47978477e+00]
 [ 7.52885495e-01  6.96330238e-01 -2.17068291e-01]
 [-7.52885731e-01  6.96330475e-01  1.69707078e+00]]",94.655826192649,hper_a.xyz,"[0.0, 0.0, 0.0]"
4,-11.577902793884277,"[[ 1.2071924e-04  2.4655592e-04  2.5620800e-04]
 [-1.5590525e-04 -1.9402377e-04  2.6335855e-04]
 [ 1.2786071e-04 -4.2558518e-06 -5.3430663e-04]
 [-9.2674694e-05 -4.8276295e-05  1.4740046e-05]]","[[-1.91168406e-02 -1.85437594e-02  2.43275181e-04]
 [ 1.91173595e-02 -1.85375114e-02  1.47974932e+00]
 [ 7.57558783e-01  6.89877888e-01 -2.17505874e-01]
 [-7.57559263e-01  6.89878491e-01  1.69751327e+00]]",95.655826192649,hper_a.xyz,"[0.0, 0.0, 0.0]"
5,-11.581607818603516,"[[-8.8200608e-04 -3.4653183e-04 -1.8778795e-04]
 [ 9.0881059e-04  1.2174471e-05 -2.3718049e-04]
 [-7.2345295e-04  1.5004147e-04  1.9748481e-03]
 [ 6.9664849e-04  1.8431588e-04 -1.5498798e-03]]","[[-2.04016133e-02 -1.83181989e-02  2.79243347e-04]
 [ 2.04021581e-02 -1.83151403e-02  1.47971665e+00]
 [ 7.62176321e-01  6.83348332e-01 -2.18208290e-01]
 [-7.62176174e-01  6.83348478e-01  1.69821212e+00]]",96.655826192649,hper_a.xyz,"[0.0, 0.0, 0.0]"
6,-11.580778121948242,"[[ 1.0491025e-03  4.7338131e-04  2.9954987e-04]
 [-1.0879539e-03 -8.2682964e-05  3.6275131e-04]
 [ 8.6252665e-04 -1.6980905e-04 -2.4170196e-03]
 [-8.2367525e-04 -2.2088928e-04  1.7547184e-03]]","[[-2.18746224e-02 -1.81313909e-02  3.21143973e-04]
 [ 2.18748698e-02 -1.81276091e-02  1.47967437e+00]
 [ 7.66617441e-01  6.76817560e-01 -2.18373092e-01]
 [-7.66617728e-01  6.76817910e-01  1.69837759e+00]]",97.655826192649,hper_a.xyz,"[0.0, 0.0, 0.0]"
7,-11.581729888916016,"[[ 2.6586844e-04  9.7896758e-05  5.0824267e-05]
 [-2.7225242e-04 -1.1069357e-06  6.7681860e-05]
 [ 2.1435489e-04 -4.4064396e-05 -5.8029417e-04]
 [-2.0797091e-04 -5.2725427e-05  4.6178803e-04]]","[[-2.31670992e-02 -1.79053390e-02  3.46566633e-04]
 [ 2.31688381e-02 -1.78782756e-02  1.47962104e+00]
 [ 7.71080014e-01  6.70170040e-01 -2.19254761e-01]
 [-7.71081759e-01  6.70172402e-01  1.69928716e+00]]",98.655826192649,hper_a.xyz,"[0.0, 0.0, 0.0]"
8,-11.583150863647461,"[[ 0.00074038 -0.00017264 -0.00038532]
 [-0.00070504  0.00042796 -0.00033734]
 [ 0.00054655 -0.00015268 -0.00102724]
 [-0.00058189 -0.00010263  0.0017499 ]]","[[-2.45509313e-02 -1.76680159e-02  4.11124354e-04]
 [ 2.45501850e-02 -1.76737347e-02  1.47959640e+00]
 [ 7.75422399e-01  6.63491568e-01 -2.19964100e-01]
 [-7.75422592e-01  6.63491246e-01  1.69995695e+00]]",99.655826192649,hper_a.xyz,"[0.0, 0.0, 0.0]"
9,-11.584988594055176,"[[-3.9387657e-04  3.8322178e-04  5.5429002e-04]
 [ 3.4626247e-04 -5.1154220e-04  5.2830239e-04]
 [-2.6359060e-04  9.9650242e-05  1.6425982e-04]
 [ 3.1120473e-04  2.8670154e-05 -1.2468522e-03]]","[[-2.59696851e-02 -1.74524690e-02  4.52761166e-04]
 [ 2.59699563e-02 -1.74473854e-02  1.47954109e+00]
 [ 7.79670636e-01  6.56766220e-01 -2.20621388e-01]
 [-7.79670908e-01  6.56766617e-01  1.70062755e+00]]",100.655826192649,hper_a.xyz,"[0.0, 0.0, 0.0]"
10,-11.586140632629395,"[[-2.2000761e-03 -4.1709683e-04  3.1709602e-05]
 [ 2.2038671e-03 -3.3624942e-04 -1.3002307e-04]
 [-1.7025089e-03  3.7365910e-04  4.2158291e-03]
 [ 1.6987181e-03  3.7968715e-04 -4.1175159e-03]]","[[-2.71578506e-02 -1.71693085e-02  4.98864142e-04]
 [ 2.71578223e-02 -1.71698889e-02  1.47950184e+00]
 [ 7.83985024e-01  6.49933599e-01 -2.22036289e-01]
 [-7.83985000e-01  6.49933551e-01  1.70203559e+00]]",101.655826192649,hper_a.xyz,"[0.0, 0.0, 0.0]"
11,-11.58574104309082,"[[ 0.00080202  0.00038249  0.00027039]
 [-0.0008225  -0.000111    0.00033368]
 [ 0.00063452 -0.00011814 -0.00182774]
 [-0.00061404 -0.00015334  0.00122367]]","[[-2.88107122e-02 -1.69846459e-02  5.61055054e-04]
 [ 2.88107158e-02 -1.69846391e-02  1.47943893e+00]
 [ 7.87955226e-01  6.43159613e-01 -2.22158287e-01]
 [-7.87955224e-01  6.43159608e-01  1.70215830e+00]]",102.655826192649,hper_a.xyz,"[0.0, 0.0, 0.0]"
12,-11.590084075927734,"[[-2.0879249e-03 -3.4256530e-04  8.6396169e-05]
 [ 2.0878387e-03 -3.4502355e-04 -8.3370061e-05]
 [-1.5959630e-03  3.4387657e-04  3.8919109e-03]
 [ 1.5960492e-03  3.4371228e-04 -3.8949370e-03]]","[[-3.00599670e-02 -1.67052731e-02  6.10785094e-04]
 [ 3.00599668e-02 -1.67052598e-02  1.47938920e+00]
 [ 7.92101979e-01  6.36245907e-01 -2.23454914e-01]
 [-7.92101982e-01  6.36245903e-01  1.70345494e+00]]",103.655826192649,hper_a.xyz,"[0.0, 0.0, 0.0]"
13,-11.590353012084961,"[[-0.00109161  0.00011988  0.00041119]
 [ 0.00107444 -0.00046886  0.00031848]
 [-0.00081524  0.00019316  0.00164054]
 [ 0.00083241  0.00015582 -0.00237021]]","[[-3.16447889e-02 -1.64928703e-02  6.75447887e-04]
 [ 3.16448898e-02 -1.64905254e-02  1.47932159e+00]
 [ 7.95978234e-01  6.29353985e-01 -2.23875032e-01]
 [-7.95978258e-01  6.29354119e-01  1.70387797e+00]]",104.655826192649,hper_a.xyz,"[0.0, 0.0, 0.0]"
14,-11.590185165405273,"[[-9.5477467e-04 -1.5009918e-04  4.3778680e-05]
 [ 9.5473602e-04 -1.5179234e-04 -4.1666310e-05]
 [-7.2258303e-04  1.5099620e-04  1.7545989e-03]
 [ 7.2262174e-04  1.5089531e-04 -1.7567113e-03]]","[[-3.30797246e-02 -1.62303852e-02  7.39742021e-04]
 [ 3.30797214e-02 -1.62303862e-02  1.47926026e+00]
 [ 7.99886017e-01  6.22396077e-01 -2.24704845e-01]
 [-7.99886024e-01  6.22396071e-01  1.70470485e+00]]",105.655826192649,hper_a.xyz,"[0.0, 0.0, 0.0]"
15,-11.59305191040039,"[[-7.4306437e-05  8.2201121e-05  1.2083777e-04]
 [ 7.1227980e-05 -1.0475732e-04  1.1403551e-04]
 [-5.3264655e-05  1.6505732e-05  1.5466923e-05]
 [ 5.6343113e-05  6.0504649e-06 -2.5034021e-04]]","[[-3.45498137e-02 -1.59682541e-02  8.06973145e-04]
 [ 3.45498134e-02 -1.59682338e-02  1.47919300e+00]
 [ 8.03712743e-01  6.15403209e-01 -2.25438267e-01]
 [-8.03712746e-01  6.15403204e-01  1.70543830e+00]]",106.655826192649,hper_a.xyz,"[0.0, 0.0, 0.0]"
16,-11.592589378356934,"[[-0.00098099 -0.00052255 -0.0004233 ]
 [ 0.00098811  0.00022229 -0.00051869]
 [-0.00074129  0.00013085  0.00225715]
 [ 0.00073417  0.00016941 -0.00131516]]","[[-3.58086468e-02 -1.56434682e-02  8.80701726e-04]
 [ 3.58090103e-02 -1.56661471e-02  1.47914689e+00]
 [ 8.07622577e-01  6.08339765e-01 -2.26648760e-01]
 [-8.07621443e-01  6.08338423e-01  1.70662065e+00]]",107.655826192649,hper_a.xyz,"[0.0, 0.0, 0.0]"
17,-11.59625244140625,"[[-0.00250344 -0.00037516  0.00012537]
 [ 0.00250344 -0.00037442 -0.00012631]
 [-0.00186695  0.00037477  0.00451264]
 [ 0.00186695  0.00037481 -0.0045117 ]]","[[-3.71504369e-02 -1.53526172e-02  9.33146743e-04]
 [ 3.71504379e-02 -1.53526539e-02  1.47906690e+00]
 [ 8.11427048e-01  6.01252261e-01 -2.27574261e-01]
 [-8.11427045e-01  6.01252247e-01  1.70757422e+00]]",108.655826192649,hper_a.xyz,"[0.0, 0.0, 0.0]"
18,-11.595914840698242,"[[-4.3484871e-04 -6.3981206e-05  2.2430560e-05]
 [ 4.3484714e-04 -6.3561725e-05 -2.2969072e-05]
 [-3.2282161e-04  6.3762134e-05  7.7904173e-04]
 [ 3.2282318e-04  6.3780797e-05 -7.7850319e-04]]","[[-3.85767603e-02 -1.50576445e-02  1.00619924e-03]
 [ 3.85767586e-02 -1.50576413e-02  1.47899380e+00]
 [ 8.15128042e-01  5.94146282e-01 -2.28252706e-01]
 [-8.15128040e-01  5.94146272e-01  1.70825272e+00]]",109.655826192649,hper_a.xyz,"[0.0, 0.0, 0.0]"
19,-11.593313217163086,"[[-5.66683244e-04  1.14138034e-04  2.84200243e-04]
 [ 5.70853474e-04 -2.77644984e-04  2.22729781e-04]
 [-4.22466721e-04  8.97734208e-05  7.58768350e-04]
 [ 4.18296520e-04  7.37335067e-05 -1.26569835e-03]]","[[-3.99298922e-02 -1.47353508e-02  1.07859680e-03]
 [ 3.99298881e-02 -1.47361299e-02  1.47892244e+00]
 [ 8.18834155e-01  5.87003948e-01 -2.28997657e-01]
 [-8.18834183e-01  5.87003914e-01  1.70899664e+00]]",110.655826192649,hper_a.xyz,"[0.0, 0.0, 0.0]"
20,-11.596025466918945,"[[-9.7784633e-04 -1.3649419e-04  5.6163251e-05]
 [ 9.7788800e-04 -1.3886302e-04 -5.3073007e-05]
 [-7.1973109e-04  1.3772301e-04  1.7280725e-03]
 [ 7.1968941e-04  1.3763418e-04 -1.7311628e-03]]","[[-4.12678922e-02 -1.44036072e-02  1.15156873e-03]
 [ 4.12678934e-02 -1.44035652e-02  1.47884837e+00]
 [ 8.22509492e-01  5.79830027e-01 -2.29664311e-01]
 [-8.22509487e-01  5.79830023e-01  1.70966437e+00]]",111.655826192649,hper_a.xyz,"[0.0, 0.0, 0.0]"
21,-11.596718788146973,"[[-1.2703966e-03 -1.3711095e-06  3.0307524e-04]
 [ 1.2790320e-03 -3.5084438e-04  1.5659575e-04]
 [-9.3863375e-04  1.8202394e-04  2.0111240e-03]
 [ 9.2999847e-04  1.7019155e-04 -2.4707951e-03]]","[[-4.24477454e-02 -1.40350664e-02  1.21419702e-03]
 [ 4.24477066e-02 -1.40287988e-02  1.47877731e+00]
 [ 8.26257596e-01  5.72613742e-01 -2.30507957e-01]
 [-8.26257236e-01  5.72613927e-01  1.71051635e+00]]",112.655826192649,hper_a.xyz,"[0.0, 0.0, 0.0]"
22,-11.593178749084473,"[[-0.00085263  0.00015437  0.00041043]
 [ 0.00086986 -0.0003877   0.00030875]
 [-0.00063744  0.00012489  0.00114546]
 [ 0.00062021  0.00010843 -0.00186463]]","[[-4.36076767e-02 -1.36499207e-02  1.28771316e-03]
 [ 4.36076620e-02 -1.36523510e-02  1.47871571e+00]
 [ 8.29986145e-01  5.65369961e-01 -2.31243490e-01]
 [-8.29986389e-01  5.65369900e-01  1.71124015e+00]]",113.655826192649,hper_a.xyz,"[0.0, 0.0, 0.0]"
23,-11.597749710083008,"[[-5.8981235e-04 -7.9155230e-05  3.4496494e-05]
 [ 5.8973936e-04 -7.7277567e-05 -3.7010275e-05]
 [-4.2904407e-04  7.8190998e-05  1.0258836e-03]
 [ 4.2911709e-04  7.8241806e-05 -1.0233697e-03]]","[[-4.47780631e-02 -1.32681777e-02  1.35602351e-03]
 [ 4.47780689e-02 -1.32681887e-02  1.47864398e+00]
 [ 8.33677715e-01  5.58101026e-01 -2.31782618e-01]
 [-8.33677705e-01  5.58101022e-01  1.71178262e+00]]",114.655826192649,hper_a.xyz,"[0.0, 0.0, 0.0]"
24,-11.597354888916016,"[[-5.08608297e-04 -1.23686303e-04 -4.68940671e-05]
 [ 5.03263320e-04 -7.81689414e-06 -1.09664965e-04]
 [-3.64170293e-04  6.43807070e-05  9.52165923e-04]
 [ 3.69515299e-04  6.71224989e-05 -7.95606873e-04]]","[[-4.58174152e-02 -1.28575054e-02  1.41970604e-03]
 [ 4.58174118e-02 -1.28574206e-02  1.47858018e+00]
 [ 8.37434654e-01  5.50795346e-01 -2.32379766e-01]
 [-8.37434649e-01  5.50795345e-01  1.71237989e+00]]",115.655826192649,hper_a.xyz,"[0.0, 0.0, 0.0]"
25,-11.598182678222656,"[[ 5.0786900e-04 -8.5671476e-05 -2.3913982e-04]
 [-5.2400527e-04  2.1693220e-04 -1.7369165e-04]
 [ 3.8102380e-04 -6.8722889e-05 -6.7969237e-04]
 [-3.6488759e-04 -6.2537831e-05  1.0925238e-03]]","[[-4.68410302e-02 -1.24455527e-02  1.48575479e-03]
 [ 4.68411705e-02 -1.24481547e-02  1.47851779e+00]
 [ 8.41177996e-01  5.43458305e-01 -2.32809052e-01]
 [-8.41178135e-01  5.43458249e-01  1.71280550e+00]]",116.655826192649,hper_a.xyz,"[0.0, 0.0, 0.0]"
26,-11.599020004272461,"[[ 0.0020475   0.00025649 -0.00012999]
 [-0.00204726  0.00025257  0.00013539]
 [ 0.00147591 -0.0002545  -0.00349948]
 [-0.00147615 -0.00025456  0.00349408]]","[[-4.78601258e-02 -1.19826069e-02  1.54929594e-03]
 [ 4.78601292e-02 -1.19825829e-02  1.47845066e+00]
 [ 8.44905390e-01  5.36148191e-01 -2.33021181e-01]
 [-8.44905379e-01  5.36148190e-01  1.71302122e+00]]",117.655826192649,hper_a.xyz,"[0.0, 0.0, 0.0]"
27,-11.59893798828125,"[[ 1.08244734e-04  1.27991916e-05 -7.70325187e-06]
 [-1.08303437e-04  1.36612798e-05  6.50355514e-06]
 [ 7.78726680e-05 -1.32361547e-05 -1.83274547e-04]
 [-7.78139656e-05 -1.32243167e-05  1.84474236e-04]]","[[-4.84441161e-02 -1.14435434e-02  1.58741313e-03]
 [ 4.84441188e-02 -1.14435671e-02  1.47841261e+00]
 [ 8.48925213e-01  5.28780320e-01 -2.33757886e-01]
 [-8.48925211e-01  5.28780319e-01  1.71375786e+00]]",118.655826192649,hper_a.xyz,"[0.0, 0.0, 0.0]"
28,-11.601018905639648,"[[-0.00156899 -0.00052517 -0.00037608]
 [ 0.00151759  0.00015573 -0.00058145]
 [-0.00108134  0.00018115  0.00308519]
 [ 0.00113274  0.00018829 -0.00212766]]","[[-4.91302009e-02 -1.09108967e-02  1.63079777e-03]
 [ 4.91299816e-02 -1.09081388e-02  1.47836535e+00]
 [ 8.52854894e-01  5.21410992e-01 -2.34075040e-01]
 [-8.52854708e-01  5.21411020e-01  1.71407890e+00]]",119.655826192649,hper_a.xyz,"[0.0, 0.0, 0.0]"
29,-11.598106384277344,"[[ 3.8862585e-05  5.0136555e-06 -1.9513025e-06]
 [-3.8784714e-05  4.0730897e-06  3.2886351e-06]
 [ 2.7758682e-05 -4.5398551e-06 -6.5883585e-05]
 [-2.7836553e-05 -4.5468901e-06  6.4546250e-05]]","[[-4.98247141e-02 -1.03785552e-02  1.67925100e-03]
 [ 4.98247086e-02 -1.03785214e-02  1.47832071e+00]
 [ 8.56761385e-01  5.14018045e-01 -2.34140166e-01]
 [-8.56761388e-01  5.14018046e-01  1.71414021e+00]]",120.655826192649,hper_a.xyz,"[0.0, 0.0, 0.0]"
30,-11.596808433532715,"[[-6.1479205e-04 -7.1310606e-05  4.0656789e-05]
 [ 6.1463664e-04 -6.9589129e-05 -4.3131909e-05]
 [-4.3931886e-04  7.0446164e-05  1.0282457e-03]
 [ 4.3947424e-04  7.0453571e-05 -1.0257706e-03]]","[[-5.03161654e-02 -9.81155592e-03  1.71260409e-03]
 [ 5.03161652e-02 -9.81156003e-03  1.47828740e+00]
 [ 8.60797723e-01  5.06591630e-01 -2.34296251e-01]
 [-8.60797724e-01  5.06591629e-01  1.71429624e+00]]",121.655826192649,hper_a.xyz,"[0.0, 0.0, 0.0]"
31,-11.601000785827637,"[[ 5.1744544e-04 -2.8277721e-04 -5.3911627e-04]
 [-5.8472622e-04  4.0628944e-04 -4.6327763e-04]
 [ 4.2706062e-04 -6.2215273e-05 -4.1464897e-04]
 [-3.5977983e-04 -6.1296952e-05  1.4170428e-03]]","[[-0.05079594 -0.00924178  0.00174983]
 [ 0.05079651 -0.00924775  1.47825888]
 [ 0.86482546  0.49914074 -0.23422817]
 [-0.86482606  0.49914073  1.71421946]]",122.655826192649,hper_a.xyz,"[0.0, 0.0, 0.0]"
32,-11.598048210144043,"[[-4.1784055e-04  1.0528006e-04  2.5508978e-04]
 [ 4.4997633e-04 -2.0039831e-04  1.9495675e-04]
 [-3.2550195e-04  4.7305279e-05  4.9228885e-04]
 [ 2.9336617e-04  4.7812977e-05 -9.4233541e-04]]","[[-0.05115382 -0.0086872   0.00176956]
 [ 0.05115375 -0.0086864   1.47822923]
 [ 0.86892182  0.49163082 -0.23411951]
 [-0.8689217   0.49163082  1.71412071]]",123.655826192649,hper_a.xyz,"[0.0, 0.0, 0.0]"
33,-11.597460746765137,"[[ 3.4954915e-05 -2.1940898e-04 -3.4090588e-04]
 [-8.5908046e-05  2.3237508e-04 -3.3248920e-04]
 [ 6.8533016e-05 -5.4208267e-06  2.3731455e-04]
 [-1.7579885e-05 -7.5452840e-06  4.3608053e-04]]","[[-0.05140568 -0.00815663  0.00178845]
 [ 0.0514058  -0.00815768  1.47821312]
 [ 0.87305314  0.48404017 -0.23404869]
 [-0.87305326  0.48404017  1.71404711]]",124.655826192649,hper_a.xyz,"[0.0, 0.0, 0.0]"
34,-11.599985122680664,"[[-1.0058633e-05 -6.1940642e-07  1.3713944e-06]
 [ 1.0164627e-05 -1.5013659e-06 -3.9815959e-08]
 [-7.2552734e-06  1.0570386e-06  1.5876778e-05]
 [ 7.1492791e-06  1.0637336e-06 -1.7208356e-05]]","[[-0.05151308 -0.00742274  0.00179513]
 [ 0.05151308 -0.00742272  1.47820483]
 [ 0.87733511  0.47662541 -0.23366058]
 [-0.8773351   0.47662541  1.71366061]]",125.655826192649,hper_a.xyz,"[0.0, 0.0, 0.0]"
35,-11.59769344329834,"[[-5.4693874e-04 -5.7194356e-05  3.6328209e-05]
 [ 5.4665998e-04 -5.5006301e-05 -3.9675499e-05]
 [-3.8949013e-04  5.6111872e-05  8.9149503e-04]
 [ 3.8976886e-04  5.6088786e-05 -8.8814774e-04]]","[[-0.05130529 -0.00685402  0.00178069]
 [ 0.0513053  -0.00685404  1.47821933]
 [ 0.88191973  0.46899161 -0.23308723]
 [-0.88191973  0.46899161  1.7130872 ]]",126.655826192649,hper_a.xyz,"[0.0, 0.0, 0.0]"
36,-11.596611022949219,"[[ 0.00278192  0.00027948 -0.00019583]
 [-0.00278132  0.00027513  0.00020259]
 [ 0.00197555 -0.00027733 -0.00451207]
 [-0.00197615 -0.00027728  0.00450531]]","[[-0.05286111 -0.00775368  0.00189043]
 [ 0.05286111 -0.00775365  1.47810952]
 [ 0.88434228  0.45992881 -0.23353224]
 [-0.88434227  0.45992881  1.71353228]]",127.655826192649,hper_a.xyz,"[0.0, 0.0, 0.0]"
37,-11.594541549682617,"[[ 2.4841534e-04  6.6823683e-05  5.1599032e-05]
 [-2.3645304e-04 -1.9388941e-05  8.4059393e-05]
 [ 1.6777687e-04 -2.4407758e-05 -4.5791498e-04]
 [-1.7973919e-04 -2.3026982e-05  3.2225656e-04]]","[[-4.94300515e-02 -1.24126293e-02  1.65492633e-03]
 [ 4.94302988e-02 -1.24152051e-02  1.47834942e+00]
 [ 8.92882982e-01  4.46943067e-01 -2.29730982e-01]
 [-8.92883565e-01  4.46943128e-01  1.70972671e+00]]",128.655826192649,hper_a.xyz,"[0.0, 0.0, 0.0]"
38,-11.595649719238281,"[[ 5.9136882e-04  2.4974794e-04  2.7364233e-04]
 [-5.3179392e-04 -1.4250008e-04  3.5253956e-04]
 [ 3.6992997e-04 -5.7278994e-05 -1.2138606e-03]
 [-4.2950487e-04 -4.9968872e-05  5.8767863e-04]]","[[-0.05185357 -0.00717495  0.0018163 ]
 [ 0.0518532  -0.00717173  1.47817835]
 [ 0.8938442   0.4438853  -0.23206686]
 [-0.89384352  0.44388523  1.71207212]]",129.655826192649,hper_a.xyz,"[0.0, 0.0, 0.0]"
39,-11.593534469604492,"[[-4.5607501e-04  3.3433615e-05  1.5965267e-04]
 [ 4.8176394e-04 -1.2109526e-04  9.0627618e-05]
 [-3.4398146e-04  4.2165637e-05  6.2473188e-04]
 [ 3.1829256e-04  4.5496014e-05 -8.7501219e-04]]","[[-0.0543169  -0.00910443  0.00199714]
 [ 0.05431722 -0.00910573  1.47800481]
 [ 0.89455407  0.43358247 -0.23501164]
 [-0.89455412  0.43358247  1.71500963]]",130.655826192649,hper_a.xyz,"[0.0, 0.0, 0.0]"
40,-11.59686279296875,"[[-1.3248043e-04  1.1276038e-03  1.8952818e-03]
 [ 2.7543577e-04 -1.1639292e-03  1.8934906e-03]
 [-2.3518194e-04 -9.3634662e-06 -1.5827439e-03]
 [ 9.2226619e-05  4.5688939e-05 -2.2060284e-03]]","[[-3.97675268e-03  5.05441650e-02 -1.69292332e-04]
 [ 3.90379145e-03  5.07900987e-02  1.47980971e+00]
 [ 9.62810245e-01  4.84976838e-01 -1.70733354e-01]
 [-9.62849897e-01  4.84998012e-01  1.65113320e+00]]",131.655826192649,hper_a.xyz,"[0.0, 0.0, 0.0]"
41,-11.595422744750977,"[[-4.1554810e-04  2.7429566e-04  5.5484689e-04]
 [ 5.1392015e-04 -3.5686058e-04  5.0216424e-04]
 [-3.8940029e-04  3.2871940e-05  2.0145996e-04]
 [ 2.9102823e-04  4.9692986e-05 -1.2584710e-03]]","[[-4.18839335e-02  4.20087997e-03  1.17070723e-03]
 [ 4.18811071e-02  4.21928162e-03  1.47879834e+00]
 [ 9.18716679e-01  4.30106830e-01 -2.18719111e-01]
 [-9.18713714e-01  4.30106344e-01  1.69875003e+00]]",132.655826192649,hper_a.xyz,"[0.0, 0.0, 0.0]"
