r_com,min_contact,E_total,internal_E,ml_2b_E,mm_E,mm_vdw_E,mm_elec_E,wall_E
2.5,1.0766304,-43.594463,-81.686241,19.998245,0,0,0,18.093533
2.6610169,1.1711179,-52.993843,-81.686241,18.772301,0,0,0,9.9200993
2.8220339,1.278966,-60.073788,-81.686241,16.428894,0,0,0,5.1835599
2.9830508,1.3970841,-66.623894,-81.686241,12.438988,0,0,0,2.6233587
3.1440678,1.5230846,-71.941299,-81.686546,8.5143204,0,0,0,1.2309251
3.3050847,1.6001322,-76.553261,-81.686546,4.618927,0,0,0,0.51435918
3.4661017,1.6583034,-78.989479,-81.686546,2.5127182,0,0,0,0.18434839
3.6271186,1.7295577,-80.604012,-81.686546,1.0252762,0,0,0,0.057256728
3.7881356,1.8123528,-81.565277,-81.686546,0.1138382,0,0,0,0.0074302154
3.9491525,1.9051846,-81.907234,-81.686546,-0.22068787,0,0,0,0
4.1101695,2.0066607,-81.798103,-81.686546,-0.11155701,0,0,0,0
4.2711864,2.1155374,-81.770416,-81.686356,-0.084060669,0,0,0,0
4.4322034,2.2307315,-81.804268,-81.686356,-0.11791229,0,0,0,0
4.5932203,2.3513146,-81.819237,-81.686356,-0.13275108,-0.00012696299,-5.9105394e-05,-6.785812e-05,0
4.7542373,2.4764997,-81.817009,-81.686241,-0.12821631,-0.0025446934,-0.0014414405,-0.001103249,0
4.9152542,2.6056235,-81.801613,-81.686241,-0.10617802,-0.0091944104,-0.0054282602,-0.0037661796,0
5.0762712,2.7381289,-81.779663,-81.686241,-0.074664183,-0.018761277,-0.011053566,-0.007707716,0
5.2372881,2.8735482,-81.759109,-81.686241,-0.04434973,-0.028515074,-0.016447082,-0.012068077,0
5.3983051,3.0114882,-81.743134,-81.686241,-0.020849114,-0.036038354,-0.020136319,-0.015902018,0
5.559322,3.151618,-81.734009,-81.686241,-0.0077908169,-0.039975289,-0.021496283,-0.018478965,0
5.720339,3.2936581,-81.728577,-81.686241,-0.0021721241,-0.040160976,-0.020693315,-0.01946781,0
