r_com,min_contact,E_total,internal_E,ml_2b_E,mm_E,mm_vdw_E,mm_elec_E,wall_E
2.5,1.014212,-11.628998,-43.504105,3.4148865,0,0,0,28.46022
2.6610169,1.0841195,-22.633595,-43.504105,2.1055412,0,0,0,18.764969
2.8220339,1.1721166,-30.637432,-43.504105,1.4230957,0,0,0,11.443576
2.9830508,1.2744616,-35.373196,-43.504105,1.8083191,0,0,0,6.3225908
3.1440678,1.3879842,-38.275566,-43.504105,2.1669121,0,0,0,3.0616274
3.3050847,1.5101659,-39.784019,-43.504105,2.4882927,0,0,0,1.2317928
3.4661017,1.6390713,-40.398891,-43.504105,2.7334023,0,0,0,0.37180912
3.6271186,1.7590362,-40.054897,-43.504105,3.3943825,0,0,0,0.054823086
3.7881356,1.8619026,-40.483746,-43.504105,3.0197639,0,0,0,0.00059395609
3.9491525,1.9725637,-40.789642,-43.504105,2.7144623,0,0,0,0
4.1101695,2.0897814,-41.553276,-43.504105,1.9508286,0,0,0,0
4.2711864,2.212514,-42.554802,-43.504105,0.94930267,0,0,0,0
4.4322034,2.3398938,-42.794094,-43.504105,0.71001053,0,0,0,0
4.5932203,2.4712023,-42.774811,-43.504105,0.72394556,0.005349617,0.0053379443,1.1673155e-05,0
4.7542373,2.6058456,-42.818443,-43.504105,0.64152229,0.044140361,0.043957811,0.00018255047,0
4.9152542,2.7433328,-43.03569,-43.504105,0.39313686,0.075277999,0.074674346,0.00060365762,0
5.0762712,2.8832571,-43.266941,-43.504105,0.16387361,0.073290519,0.072087348,0.0012031646,0
5.2372881,3.0252803,-43.407204,-43.504105,0.048811071,0.04808668,0.046244476,0.0018422082,0
5.3983051,3.1691203,-43.475941,-43.504105,0.010939953,0.017222082,0.014840435,0.0023816451,0
5.559322,3.3145405,-43.510143,-43.504105,0.0015522523,-0.0075898222,-0.01031225,0.002722424,0
5.720339,3.4613417,-43.526508,-43.504105,-0.00017609341,-0.022227626,-0.025054874,0.0028272544,0
5.8813559,3.6093556,-43.531929,-43.504105,-5.7644513e-05,-0.027766833,-0.030496564,0.0027297297,0
6.0423729,3.7584387,-43.531857,-43.504105,0,-0.027752362,-0.030287236,0.0025348715,0
6.2033898,3.9084688,-43.529663,-43.504105,0,-0.02556034,-0.027907496,0.0023471511,0
6.3644068,4.0593409,-43.526733,-43.504105,0,-0.022628715,-0.024805361,0.0021766447,0
6.5254237,4.2109644,-43.523701,-43.504105,0,-0.01959799,-0.021619596,0.0020216054,0
6.6864407,4.363261,-43.520866,-43.504105,0,-0.016760414,-0.018640853,0.0018804353,0
6.8474576,4.5161627,-43.518333,-43.504105,0,-0.014230711,-0.015982401,0.0017516965,0
7.0084746,4.6696099,-43.51614,-43.504105,0,-0.012035336,-0.013669472,0.0016341391,0
7.1694915,4.8235507,-43.514263,-43.504105,0,-0.010159368,-0.011685977,0.0015266051,0
7.3305085,4.9779392,-43.512676,-43.504105,0,-0.0085704876,-0.0099985618,0.0014280737,0
7.4915254,5.132735,-43.511337,-43.504105,0,-0.0072311535,-0.0085687535,0.0013376053,0
7.6525424,5.2879024,-43.510208,-43.504105,0,-0.0061045038,-0.0073587974,0.0012542887,0
7.8135593,5.4434096,-43.509262,-43.504105,0,-0.0051568798,-0.0063341674,0.0011772865,0
7.9745763,5.5992282,-43.508465,-43.504105,0,-0.0043586888,-0.0054644519,0.0011057536,0
8.1355932,5.755333,-43.50779,-43.504105,0,-0.0036845431,-0.0047233445,0.0010388034,0
8.2966102,5.9117014,-43.507217,-43.504105,0,-0.003112891,-0.004088365,0.00097547169,0
8.4576271,6.0683129,-43.506729,-43.504105,0,-0.0026256554,-0.0035404086,0.00091475318,0
8.6186441,6.2251491,-43.506313,-43.504105,0,-0.0022078499,-0.0030633316,0.00085548079,0
8.779661,6.3821936,-43.505951,-43.504105,0,-0.0018470933,-0.0026436008,0.00079650112,0
8.940678,6.5394313,-43.505638,-43.504105,0,-0.0015334701,-0.0022700387,0.0007365651,0
9.1016949,6.6968486,-43.505363,-43.504105,0,-0.0012591473,-0.0019336445,0.00067449478,0
9.2627119,6.8544331,-43.505123,-43.504105,0,-0.001018255,-0.0016275108,0.00060925499,0
9.4237288,7.0121736,-43.50491,-43.504105,0,-0.00080662151,-0.0013467759,0.00054015813,0
9.5847458,7.1700597,-43.504726,-43.504105,0,-0.00062157429,-0.0010886109,0.00046703627,0
9.7457627,7.3280821,-43.504566,-43.504105,0,-0.00046170273,-0.00085217512,0.00039047352,0
9.9067797,7.4862321,-43.504433,-43.504105,0,-0.00032650246,-0.00063849636,0.00031199097,0
10.067797,7.6445018,-43.504322,-43.504105,0,-0.00021594507,-0.00045020905,0.00023426511,0
10.228814,7.802884,-43.504234,-43.504105,0,-0.00013001051,-0.00029107643,0.00016106473,0
10.389831,7.9613718,-43.504173,-43.504105,0,-6.8111098e-05,-0.00016517707,9.7066542e-05,0
10.550847,8.1199591,-43.504131,-43.504105,0,-2.8506356e-05,-7.567092e-05,4.7164591e-05,0
