frame,q,P_rad,x_cp,y_cp,E_pot_eV,normal_x,normal_y,normal_z,cos_theta_to_lab_z,theta_to_lab_z_deg
0,0.38673224663111727,1.292335418564761,0.10630347850514495,0.37183517994140564,-68.03563690185547,-0.340369911205323,0.5207935952090635,0.7828935781671087,0.7828935781671087,38.473722460182664
1,0.3865655342558327,1.2906948190958962,0.10686727959888513,0.3715000630223783,-67.82298278808594,-0.3341690147943298,0.5188685761015729,0.7868331908897294,0.7868331908897294,38.10945468004857
2,0.33102776576022236,2.231661841000925,-0.20318496567976255,0.2613336017926481,-67.69471740722656,-0.3429486387372514,0.5150221903477812,0.7855815518694672,0.7855815518694672,38.225503267591
3,0.3293735872915039,-2.2185614185455944,-0.1987459071064637,-0.2626538109636006,-67.53547668457031,-0.31638117565626495,0.5147148252146109,0.796851052828979,0.796851052828979,37.16955650174285
4,0.38214294634286994,-0.9392802600796153,0.22560538884045414,-0.3084403345312624,-67.59393310546875,-0.34869709811723365,0.5205639913294495,0.7793737644389714,0.7793737644389714,38.796726426597374
5,0.36071796414004104,-0.35000127646535006,0.3388484546615058,-0.12368983154182626,-67.64424133300781,-0.3238635457379148,0.5032522263122263,0.8011551662779522,0.8011551662779522,36.75944537353221
6,0.4260904141459358,-1.2114785274749553,0.14982859332977855,-0.39887897117781845,-67.68043518066406,-0.3262469382261959,0.5089794485767157,0.7965568756997676,0.7965568756997676,37.1974452387271
7,0.3731231594091005,-1.966964569697066,-0.14398308190602654,-0.3442234219402734,-67.67977142333984,-0.3235805462296049,0.5039670339987437,0.8008201163458993,0.8008201163458993,36.79151078468195
8,0.41290483594349975,-1.7429169350066527,-0.07071903964071893,-0.4068036639188773,-67.68222045898438,-0.3004512642513819,0.49497494167398604,0.8153090487199198,0.8153090487199198,35.38206860626723
9,0.3917586378012738,-1.3785984859464329,0.07483245242145216,-0.3845451005493383,-67.57612609863281,-0.3347187405048339,0.4929114064173461,0.8031199849203927,0.8031199849203927,36.570919602819316
10,0.398268470493677,-1.0856573801432745,0.1857250446611186,-0.35231233639343135,-67.62360382080078,-0.31593675848254926,0.48623135511428095,0.8147165359456437,0.8147165359456437,35.440656756697976
11,0.443143574814453,-0.672667264777407,0.34661030655386926,-0.27611143274041633,-67.66316986083984,-0.3182321135116147,0.4819802543695141,0.8163475707857709,0.8163475707857709,35.27917463262112
12,0.4274945649440228,-0.621516512366576,0.3475515312517696,-0.24891672539471826,-67.65090942382812,-0.31917096962251795,0.46990029368046665,0.8229967230489031,0.8229967230489031,34.614087804036245
13,0.4224695645637236,-0.5851534292566083,0.35218218463329004,-0.23334147040246705,-67.63710021972656,-0.301188330514707,0.4719962639418664,0.8285560429969019,0.8285560429969019,34.04930682390348
14,0.3791815781274315,-1.2480206312715558,0.12027644737241124,-0.35960011874119424,-67.64801788330078,-0.29472181930703567,0.4569244896712951,0.8392610201617717,0.8392610201617717,32.93783274820389
15,0.4045658594137402,-1.8830379657178349,-0.124279660962086,-0.3850040265689791,-67.6565170288086,-0.3030791163057805,0.4569725944226425,0.8362530102821433,0.8362530102821433,33.25346349977173
16,0.32684711977518616,-1.211873380699292,0.11481028619771383,-0.3060190155668989,-67.55192565917969,-0.29231076566229647,0.44948045558120914,0.8441100261982621,0.8441100261982621,32.423292439692354
17,0.39675957824448227,-1.424649234572338,0.057779061411665375,-0.3925299262363654,-67.57179260253906,-0.2774340945536407,0.4522448971842386,0.8476466694030119,0.8476466694030119,32.043376676367096
18,0.3581602244241328,-2.4877020681708806,-0.28428009737495485,-0.21786136095239875,-67.58796691894531,-0.28265559393224354,0.44074413669305296,0.8519685564558743,0.8519685564558743,31.573569648876397
19,0.3344577601113157,-2.5119222393794294,-0.2703159987732193,-0.1969549545096932,-67.69515228271484,-0.28447717213107476,0.4287416787099793,0.8574691314987706,0.8574691314987706,30.966406224465995
20,0.3618402238022417,-2.43318302616012,-0.27478058850986053,-0.2354229719875082,-67.6490707397461,-0.2806342651442479,0.4284905343636078,0.8588598670258949,0.8588598670258949,30.811191158014193
21,0.31917359164443526,-1.2988974036616794,0.0857176049693363,-0.30744800178490267,-67.6518783569336,-0.26805549069240925,0.41888649070763184,0.867571531236645,0.867571531236645,29.822349536029424
22,0.44355290303145367,-1.3147030522265273,0.11235336054667855,-0.42908728734547497,-67.69966125488281,-0.2780973876827583,0.42081417645657176,0.8634681649355713,0.8634681649355713,30.291752667487515
23,0.40934761686467025,-0.6987259333681639,0.31342205524915434,-0.2633098682468641,-67.55996704101562,-0.26014204537655183,0.4338740307551903,0.8626003951213727,0.8626003951213727,30.3901790054156
24,0.4476942765201858,-3.008799968865496,-0.4437527762255752,-0.05927595483016029,-67.54811096191406,0.2581748447933046,-0.40477395155746554,-0.8772136556486725,-0.8772136556486725,151.30805354172242
25,0.4336058834349491,-2.0387000992870195,-0.19556334797922278,-0.38700005048650843,-67.62479400634766,0.24989788266789026,-0.4125029227039552,-0.8760093532598839,-0.8760093532598839,151.16465824720038
