      Step     Time          Energy          fmax
BFGS:    0 19:58:29      -66.209122        4.562735
BFGS:    1 19:58:29      -66.638550        2.355802
BFGS:    2 19:58:29      -67.010788        2.123810
BFGS:    3 19:58:29      -67.292679        1.797887
BFGS:    4 19:58:29      -67.499603        1.265315
BFGS:    5 19:58:29      -67.646164        0.784117
BFGS:    6 19:58:29      -67.723572        0.513336
BFGS:    7 19:58:29      -67.759186        0.589828
BFGS:    8 19:58:29      -67.796425        0.607942
BFGS:    9 19:58:30      -67.833939        0.449784
BFGS:   10 19:58:30      -67.849297        0.264913
BFGS:   11 19:58:30      -67.853607        0.187516
BFGS:   12 19:58:30      -67.853111        0.189390
BFGS:   13 19:58:30      -67.864655        0.148351
BFGS:   14 19:58:30      -67.866333        0.173916
BFGS:   15 19:58:30      -67.869385        0.174944
BFGS:   16 19:58:30      -67.870117        0.207257
BFGS:   17 19:58:30      -67.874969        0.302756
BFGS:   18 19:58:30      -67.889832        0.316535
BFGS:   19 19:58:30      -67.896072        0.316990
BFGS:   20 19:58:30      -67.904655        0.323023
BFGS:   21 19:58:30      -67.911049        0.361619
BFGS:   22 19:58:30      -67.923927        0.391415
BFGS:   23 19:58:30      -67.940063        0.400932
BFGS:   24 19:58:30      -67.944221        0.379635
BFGS:   25 19:58:30      -67.954681        0.352992
BFGS:   26 19:58:30      -67.971184        0.342777
BFGS:   27 19:58:30      -67.986496        0.322086
BFGS:   28 19:58:30      -68.003044        0.250125
BFGS:   29 19:58:30      -68.014809        0.430011
BFGS:   30 19:58:30      -68.020088        0.395426
BFGS:   31 19:58:30      -68.036438        0.265154
BFGS:   32 19:58:30      -68.046936        0.204329
BFGS:   33 19:58:30      -68.037842        0.118518
BFGS:   34 19:58:30      -68.035149        0.070768
BFGS:   35 19:58:30      -68.041039        0.057765
BFGS:   36 19:58:30      -68.042923        0.039322
BFGS:   37 19:58:30      -68.039055        0.028591
BFGS:   38 19:58:30      -68.041428        0.021857
BFGS:   39 19:58:30      -68.040474        0.012518
BFGS:   40 19:58:30      -68.042068        0.012676
BFGS:   41 19:58:30      -68.047203        0.015363
BFGS:   42 19:58:30      -68.042976        0.012889
BFGS:   43 19:58:30      -68.043968        0.011010
BFGS:   44 19:58:30      -68.044228        0.009314
BFGS:   45 19:58:30      -68.043930        0.007902
BFGS:   46 19:58:30      -68.045471        0.006086
BFGS:   47 19:58:30      -68.046448        0.008505
BFGS:   48 19:58:30      -68.043381        0.006160
BFGS:   49 19:58:30      -68.048210        0.003051
BFGS:   50 19:58:30      -68.048164        0.004721
BFGS:   51 19:58:30      -68.047615        0.004317
BFGS:   52 19:58:30      -68.046188        0.012087
BFGS:   53 19:58:30      -68.046806        0.003747
BFGS:   54 19:58:30      -68.044502        0.004562
BFGS:   55 19:58:30      -68.045975        0.005116
BFGS:   56 19:58:30      -68.050308        0.003969
BFGS:   57 19:58:30      -68.044449        0.008798
BFGS:   58 19:58:30      -68.044365        0.007734
BFGS:   59 19:58:30      -68.046120        0.014654
BFGS:   60 19:58:30      -68.045876        0.003815
BFGS:   61 19:58:30      -68.044312        0.009674
BFGS:   62 19:58:30      -68.044312        0.007333
BFGS:   63 19:58:30      -68.043709        0.004925
BFGS:   64 19:58:30      -68.044075        0.002496
