      Step     Time          Energy          fmax
BFGS:    0 18:07:20      -66.398048        4.150257
BFGS:    1 18:07:20      -66.777794        1.791383
BFGS:    2 18:07:20      -67.120087        1.894517
BFGS:    3 18:07:20      -67.372810        1.509697
BFGS:    4 18:07:20      -67.551086        0.998514
BFGS:    5 18:07:20      -67.676941        0.591266
BFGS:    6 18:07:20      -67.740219        0.365612
BFGS:    7 18:07:20      -67.765747        0.440858
BFGS:    8 18:07:20      -67.773376        0.459969
BFGS:    9 18:07:20      -67.816315        0.422454
BFGS:   10 18:07:20      -67.834846        0.249217
BFGS:   11 18:07:20      -67.828850        0.214175
BFGS:   12 18:07:20      -67.840668        0.193588
BFGS:   13 18:07:20      -67.849533        0.167095
BFGS:   14 18:07:20      -67.851074        0.173424
BFGS:   15 18:07:20      -67.860878        0.164212
BFGS:   16 18:07:20      -67.860764        0.204541
BFGS:   17 18:07:20      -67.851425        0.225306
BFGS:   18 18:07:20      -67.862427        0.232688
BFGS:   19 18:07:20      -67.875145        0.256198
BFGS:   20 18:07:20      -67.887054        0.318246
BFGS:   21 18:07:20      -67.892052        0.389224
BFGS:   22 18:07:20      -67.910400        0.438286
BFGS:   23 18:07:20      -67.926369        0.478900
BFGS:   24 18:07:20      -67.941696        0.541103
BFGS:   25 18:07:20      -67.957161        0.580583
BFGS:   26 18:07:20      -67.969650        0.591918
BFGS:   27 18:07:20      -67.969971        0.570149
BFGS:   28 18:07:20      -68.012054        0.400115
BFGS:   29 18:07:20      -68.020760        0.221281
BFGS:   30 18:07:20      -68.037521        0.150386
BFGS:   31 18:07:20      -68.031647        0.129267
BFGS:   32 18:07:20      -68.033264        0.123972
BFGS:   33 18:07:20      -68.026924        0.058942
BFGS:   34 18:07:20      -68.039017        0.072519
BFGS:   35 18:07:20      -68.042351        0.054717
BFGS:   36 18:07:20      -68.036911        0.035276
BFGS:   37 18:07:20      -68.048973        0.021218
BFGS:   38 18:07:20      -68.050545        0.023359
BFGS:   39 18:07:20      -68.040962        0.020006
BFGS:   40 18:07:20      -68.042290        0.011201
BFGS:   41 18:07:20      -68.027168        0.014323
BFGS:   42 18:07:20      -68.031075        0.017441
BFGS:   43 18:07:20      -68.034050        0.010223
BFGS:   44 18:07:20      -68.036041        0.010093
BFGS:   45 18:07:20      -68.034653        0.007272
BFGS:   46 18:07:20      -68.034172        0.013435
BFGS:   47 18:07:20      -68.036095        0.011226
BFGS:   48 18:07:20      -68.030090        0.014917
BFGS:   49 18:07:20      -68.034439        0.007000
BFGS:   50 18:07:20      -68.044357        0.017531
BFGS:   51 18:07:20      -68.039757        0.006298
BFGS:   52 18:07:20      -68.034035        0.014272
BFGS:   53 18:07:20      -68.034698        0.009613
BFGS:   54 18:07:20      -68.033127        0.007543
BFGS:   55 18:07:20      -68.042137        0.013781
BFGS:   56 18:07:20      -68.038040        0.016773
BFGS:   57 18:07:20      -68.037888        0.006140
BFGS:   58 18:07:20      -68.039185        0.006066
BFGS:   59 18:07:20      -68.035652        0.007251
BFGS:   60 18:07:20      -68.041023        0.006207
BFGS:   61 18:07:20      -68.036690        0.008760
BFGS:   62 18:07:20      -68.045830        0.003327
BFGS:   63 18:07:20      -68.037331        0.006361
BFGS:   64 18:07:20      -68.032173        0.010798
BFGS:   65 18:07:20      -68.033669        0.005939
BFGS:   66 18:07:20      -68.034706        0.011444
BFGS:   67 18:07:20      -68.039986        0.006112
BFGS:   68 18:07:20      -68.038467        0.013025
BFGS:   69 18:07:20      -68.043098        0.006477
BFGS:   70 18:07:20      -68.035446        0.012541
BFGS:   71 18:07:20      -68.042580        0.005727
BFGS:   72 18:07:20      -68.036621        0.011460
BFGS:   73 18:07:20      -68.037537        0.002687
