      Step     Time          Energy          fmax
BFGS:    0 17:29:26      -66.467430        4.539267
BFGS:    1 17:29:26      -66.888199        2.025920
BFGS:    2 17:29:26      -67.202789        1.935733
BFGS:    3 17:29:26      -67.455368        1.546832
BFGS:    4 17:29:26      -67.623924        1.017739
BFGS:    5 17:29:26      -67.728348        0.684079
BFGS:    6 17:29:26      -67.783867        0.508059
BFGS:    7 17:29:26      -67.820076        0.575716
BFGS:    8 17:29:26      -67.876480        0.518374
BFGS:    9 17:29:26      -67.889297        0.472504
BFGS:   10 17:29:26      -67.911667        0.280708
BFGS:   11 17:29:26      -67.908043        0.219466
BFGS:   12 17:29:26      -67.912415        0.179279
BFGS:   13 17:29:26      -67.908051        0.130374
BFGS:   14 17:29:26      -67.919151        0.139662
BFGS:   15 17:29:26      -67.924522        0.169417
BFGS:   16 17:29:26      -67.917519        0.286716
BFGS:   17 17:29:26      -67.932419        0.299690
BFGS:   18 17:29:26      -67.934647        0.216042
BFGS:   19 17:29:26      -67.957008        0.213782
BFGS:   20 17:29:26      -67.953720        0.321440
BFGS:   21 17:29:26      -67.978233        0.465294
BFGS:   22 17:29:26      -67.981697        0.543179
BFGS:   23 17:29:26      -67.983238        0.603430
BFGS:   24 17:29:26      -67.997810        0.608160
BFGS:   25 17:29:26      -68.022385        0.575042
BFGS:   26 17:29:26      -68.028618        0.524524
BFGS:   27 17:29:26      -68.036743        0.392225
BFGS:   28 17:29:26      -68.045509        0.241497
BFGS:   29 17:29:26      -68.066032        0.221411
BFGS:   30 17:29:26      -68.073624        0.255941
BFGS:   31 17:29:26      -68.063004        0.197424
BFGS:   32 17:29:26      -68.064522        0.072978
BFGS:   33 17:29:26      -68.062408        0.061394
BFGS:   34 17:29:26      -68.075073        0.058269
BFGS:   35 17:29:26      -68.062187        0.054123
BFGS:   36 17:29:26      -68.065865        0.029378
BFGS:   37 17:29:26      -68.061554        0.017047
BFGS:   38 17:29:26      -68.063782        0.015383
BFGS:   39 17:29:26      -68.081169        0.018332
BFGS:   40 17:29:26      -68.072945        0.012244
BFGS:   41 17:29:26      -68.068825        0.009606
BFGS:   42 17:29:26      -68.065025        0.009489
BFGS:   43 17:29:26      -68.062889        0.014735
BFGS:   44 17:29:26      -68.072830        0.009288
BFGS:   45 17:29:26      -68.063248        0.010931
BFGS:   46 17:29:26      -68.059174        0.008510
BFGS:   47 17:29:26      -68.062477        0.011928
BFGS:   48 17:29:26      -68.068535        0.007511
BFGS:   49 17:29:26      -68.068535        0.009175
BFGS:   50 17:29:26      -68.056923        0.006795
BFGS:   51 17:29:26      -68.063705        0.007230
BFGS:   52 17:29:26      -68.061241        0.006035
BFGS:   53 17:29:26      -68.065254        0.009712
BFGS:   54 17:29:26      -68.063797        0.006412
BFGS:   55 17:29:26      -68.067055        0.011142
BFGS:   56 17:29:26      -68.069786        0.007043
BFGS:   57 17:29:26      -68.069313        0.007979
BFGS:   58 17:29:26      -68.067764        0.010125
BFGS:   59 17:29:26      -68.074806        0.015098
BFGS:   60 17:29:26      -68.064537        0.005409
BFGS:   61 17:29:26      -68.069786        0.010143
BFGS:   62 17:29:26      -68.062538        0.009124
BFGS:   63 17:29:26      -68.079033        0.019737
BFGS:   64 17:29:26      -68.060539        0.009174
BFGS:   65 17:29:26      -68.063484        0.007126
BFGS:   66 17:29:27      -68.060966        0.005385
BFGS:   67 17:29:27      -68.063103        0.014070
BFGS:   68 17:29:27      -68.066368        0.006386
BFGS:   69 17:29:27      -68.060417        0.009726
BFGS:   70 17:29:27      -68.066666        0.006716
BFGS:   71 17:29:27      -68.062256        0.007974
BFGS:   72 17:29:27      -68.062737        0.002641
