aco_n800_r1	aco	800	1	1042	/mmhome/boittier/home/mmml_tutorial/acodcm/slurm/learning_curve/e1000/aco_n800_r1.sbatch	/mmhome/boittier/home/mmml_tutorial/acodcm/out/eval/learning_curve/e1000/aco/n800/r1
aco_n800_r2	aco	800	2	2042	/mmhome/boittier/home/mmml_tutorial/acodcm/slurm/learning_curve/e1000/aco_n800_r2.sbatch	/mmhome/boittier/home/mmml_tutorial/acodcm/out/eval/learning_curve/e1000/aco/n800/r2
aco_n800_r3	aco	800	3	3042	/mmhome/boittier/home/mmml_tutorial/acodcm/slurm/learning_curve/e1000/aco_n800_r3.sbatch	/mmhome/boittier/home/mmml_tutorial/acodcm/out/eval/learning_curve/e1000/aco/n800/r3
aco_n1600_r1	aco	1600	1	1042	/mmhome/boittier/home/mmml_tutorial/acodcm/slurm/learning_curve/e1000/aco_n1600_r1.sbatch	/mmhome/boittier/home/mmml_tutorial/acodcm/out/eval/learning_curve/e1000/aco/n1600/r1
aco_n1600_r2	aco	1600	2	2042	/mmhome/boittier/home/mmml_tutorial/acodcm/slurm/learning_curve/e1000/aco_n1600_r2.sbatch	/mmhome/boittier/home/mmml_tutorial/acodcm/out/eval/learning_curve/e1000/aco/n1600/r2
aco_n1600_r3	aco	1600	3	3042	/mmhome/boittier/home/mmml_tutorial/acodcm/slurm/learning_curve/e1000/aco_n1600_r3.sbatch	/mmhome/boittier/home/mmml_tutorial/acodcm/out/eval/learning_curve/e1000/aco/n1600/r3
aco_n3200_r1	aco	3200	1	1042	/mmhome/boittier/home/mmml_tutorial/acodcm/slurm/learning_curve/e1000/aco_n3200_r1.sbatch	/mmhome/boittier/home/mmml_tutorial/acodcm/out/eval/learning_curve/e1000/aco/n3200/r1
aco_n3200_r2	aco	3200	2	2042	/mmhome/boittier/home/mmml_tutorial/acodcm/slurm/learning_curve/e1000/aco_n3200_r2.sbatch	/mmhome/boittier/home/mmml_tutorial/acodcm/out/eval/learning_curve/e1000/aco/n3200/r2
aco_n3200_r3	aco	3200	3	3042	/mmhome/boittier/home/mmml_tutorial/acodcm/slurm/learning_curve/e1000/aco_n3200_r3.sbatch	/mmhome/boittier/home/mmml_tutorial/acodcm/out/eval/learning_curve/e1000/aco/n3200/r3
aco_n6400_r1	aco	6400	1	1042	/mmhome/boittier/home/mmml_tutorial/acodcm/slurm/learning_curve/e1000/aco_n6400_r1.sbatch	/mmhome/boittier/home/mmml_tutorial/acodcm/out/eval/learning_curve/e1000/aco/n6400/r1
aco_n6400_r2	aco	6400	2	2042	/mmhome/boittier/home/mmml_tutorial/acodcm/slurm/learning_curve/e1000/aco_n6400_r2.sbatch	/mmhome/boittier/home/mmml_tutorial/acodcm/out/eval/learning_curve/e1000/aco/n6400/r2
