      Step     Time          Energy          fmax
BFGS:    0 12:26:33      -66.398048        4.150261
BFGS:    1 12:26:33      -66.778091        1.791450
BFGS:    2 12:26:33      -67.118362        1.894372
BFGS:    3 12:26:33      -67.374130        1.507997
BFGS:    4 12:26:33      -67.547737        0.999666
BFGS:    5 12:26:33      -67.667351        0.592110
BFGS:    6 12:26:33      -67.734673        0.364738
BFGS:    7 12:26:33      -67.769516        0.442055
BFGS:    8 12:26:33      -67.771996        0.475278
BFGS:    9 12:26:33      -67.812927        0.408245
BFGS:   10 12:26:33      -67.818138        0.250640
BFGS:   11 12:26:33      -67.819504        0.204585
BFGS:   12 12:26:33      -67.831612        0.197362
BFGS:   13 12:26:33      -67.849525        0.169784
BFGS:   14 12:26:33      -67.851685        0.186487
BFGS:   15 12:26:33      -67.850204        0.156488
BFGS:   16 12:26:33      -67.858360        0.215605
BFGS:   17 12:26:33      -67.874420        0.234949
BFGS:   18 12:26:33      -67.864838        0.234039
BFGS:   19 12:26:33      -67.867645        0.254512
BFGS:   20 12:26:33      -67.878983        0.321776
BFGS:   21 12:26:33      -67.897102        0.382694
BFGS:   22 12:26:33      -67.905922        0.440050
BFGS:   23 12:26:33      -67.911438        0.477946
BFGS:   24 12:26:33      -67.950684        0.542969
BFGS:   25 12:26:33      -67.965714        0.574384
BFGS:   26 12:26:33      -67.958397        0.589541
BFGS:   27 12:26:33      -67.985214        0.559885
BFGS:   28 12:26:33      -68.005699        0.392734
BFGS:   29 12:26:33      -68.023209        0.213005
BFGS:   30 12:26:33      -68.033028        0.150493
BFGS:   31 12:26:33      -68.029427        0.130862
BFGS:   32 12:26:33      -68.028069        0.149998
BFGS:   33 12:26:33      -68.041489        0.094142
BFGS:   34 12:26:33      -68.038612        0.054051
BFGS:   35 12:26:33      -68.028419        0.040058
BFGS:   36 12:26:33      -68.032280        0.038701
BFGS:   37 12:26:33      -68.045685        0.019692
BFGS:   38 12:26:33      -68.028709        0.018826
BFGS:   39 12:26:33      -68.041679        0.020953
BFGS:   40 12:26:33      -68.042244        0.017258
BFGS:   41 12:26:33      -68.039268        0.022939
BFGS:   42 12:26:33      -68.038536        0.012368
BFGS:   43 12:26:33      -68.032921        0.018009
BFGS:   44 12:26:33      -68.042038        0.007577
BFGS:   45 12:26:33      -68.033882        0.009523
BFGS:   46 12:26:33      -68.034889        0.014680
BFGS:   47 12:26:33      -68.034035        0.009817
BFGS:   48 12:26:33      -68.041862        0.006829
BFGS:   49 12:26:33      -68.034439        0.007687
BFGS:   50 12:26:33      -68.029800        0.012809
BFGS:   51 12:26:33      -68.028893        0.010026
BFGS:   52 12:26:33      -68.035484        0.011489
BFGS:   53 12:26:33      -68.034569        0.009629
BFGS:   54 12:26:33      -68.037506        0.035162
BFGS:   55 12:26:33      -68.032700        0.008773
BFGS:   56 12:26:33      -68.026077        0.009527
BFGS:   57 12:26:33      -68.036575        0.007171
BFGS:   58 12:26:33      -68.037193        0.010909
BFGS:   59 12:26:33      -68.032181        0.005060
BFGS:   60 12:26:33      -68.034134        0.006944
BFGS:   61 12:26:33      -68.029526        0.010803
BFGS:   62 12:26:33      -68.034546        0.006358
BFGS:   63 12:26:33      -68.034424        0.005585
BFGS:   64 12:26:33      -68.038750        0.003190
BFGS:   65 12:26:33      -68.030342        0.004704
BFGS:   66 12:26:33      -68.035637        0.002711
