step,time_fs,E_pot_eV,E_kin_eV,E_tot_eV,T_K
0,0.0,-68.03563690185547,0.7802276914959267,-67.25540921035955,402.4075314711215
1000,500.0,-67.82298278808594,0.56138142048995,-67.26160136759599,289.53613681666127
2000,1000.0,-67.69471740722656,0.455680549641806,-67.23903685758475,235.0202218139553
3000,1500.0,-67.53547668457031,0.28979515586186544,-67.24568152870845,149.46374574206072
4000,2000.0,-67.59393310546875,0.34077173321013365,-67.25316137225862,175.75524869324812
5000,2500.0,-67.64424133300781,0.40355593812283463,-67.24068539488498,208.13661273565594
6000,3000.0,-67.68043518066406,0.43637153452464694,-67.24406364613941,225.0614710632136
7000,3500.0,-67.67977142333984,0.4297124051931169,-67.25005901814673,221.62698158628896
8000,4000.0,-67.68222045898438,0.4409883500207904,-67.24123210896359,227.44262383093795
9000,4500.0,-67.57612609863281,0.3500854538381694,-67.22604064479464,180.5588609818016
10000,5000.0,-67.62360382080078,0.3711321662884739,-67.2524716545123,191.41384048973381
11000,5500.0,-67.66316986083984,0.40551867958848414,-67.25765118125136,209.1489094750779
12000,6000.0,-67.65090942382812,0.4082817917679993,-67.24262763206012,210.57400264141327
13000,6500.0,-67.63710021972656,0.3878116879522125,-67.24928853177435,200.01641280545786
14000,7000.0,-67.64801788330078,0.39287272216522584,-67.25514516113556,202.6266742798293
15000,7500.0,-67.6565170288086,0.39474521096485704,-67.26177181784374,203.59242261685927
16000,8000.0,-67.55192565917969,0.28555069716660414,-67.26637496201309,147.27463842812202
17000,8500.0,-67.57179260253906,0.31765157122896875,-67.2541410313101,163.83087403767155
18000,9000.0,-67.58796691894531,0.3518191826564819,-67.23614773628883,181.4530429515287
19000,9500.0,-67.69515228271484,0.4470881661595022,-67.24806411655534,230.58864387298553
20000,10000.0,-67.6490707397461,0.40565501168350493,-67.24341572806259,209.21922364415386
21000,10500.0,-67.6518783569336,0.41814823239464605,-67.23373012453895,215.66268388183812
22000,11000.0,-67.69966125488281,0.4639367667514241,-67.23572448813138,239.27841975102302
23000,11500.0,-67.55996704101562,0.3252048313745895,-67.23476220964103,167.72651732601838
24000,12000.0,-67.54811096191406,0.3099812349621134,-67.23812972695195,159.87484797458634
25000,12500.0,-67.62479400634766,0.3852863600416484,-67.23950764630601,198.71395842999618
26000,13000.0,-67.6122817993164,0.37572462587585,-67.23655717344056,193.78243153832074
27000,13500.0,-67.58995056152344,0.35969537760581133,-67.23025518391762,185.51524197559593
28000,14000.0,-67.67794799804688,0.42566376710304615,-67.25228423094383,219.53887002936426
29000,14500.0,-67.68778991699219,0.4534196337162933,-67.2343702832759,233.85413964798533
30000,15000.0,-67.64802551269531,0.3976746587412268,-67.25035085395409,205.10330445444484
31000,15500.0,-67.71788024902344,0.48257822935401534,-67.23530201966942,248.89287592924126
32000,16000.0,-67.63837432861328,0.3827178510953933,-67.25565647751789,197.3892331531449
33000,16500.0,-67.69661712646484,0.4662199894906908,-67.23039713697415,240.45600680198436
34000,17000.0,-67.68539428710938,0.4372301124443121,-67.24816417466506,225.50428823696146
35000,17500.0,-67.5589370727539,0.3159796902076648,-67.24295738254624,162.96859047348988
36000,18000.0,-67.63513946533203,0.4026450574558337,-67.2324944078762,207.66682007811792
37000,18500.0,-67.63616943359375,0.4000405335426201,-67.23612890005113,206.3235198466633
38000,19000.0,-67.68914031982422,0.45572379349391706,-67.2334165263303,235.04252511332416
39000,19500.0,-67.74535369873047,0.5115664416292032,-67.23378725710127,263.84373587764145
40000,20000.0,-67.62761688232422,0.38962643045112316,-67.2379904518731,200.95237811046036
41000,20500.0,-67.72197723388672,0.477596999418698,-67.24438023446803,246.3237740326937
42000,21000.0,-67.6790771484375,0.44032169001920063,-67.2387554584183,227.09878957781635
43000,21500.0,-67.66038513183594,0.4200454970445913,-67.24033963479134,216.64121052560296
44000,22000.0,-67.6053237915039,0.3682057443541904,-67.23711804714972,189.90451924998118
45000,22500.0,-67.67798614501953,0.44927892504926786,-67.22870721997026,231.71854208922133
46000,23000.0,-67.66537475585938,0.4380870734662235,-67.22728768239315,225.94627148512478
47000,23500.0,-67.60018157958984,0.37256332016475824,-67.22761825942509,192.1519674554747
48000,24000.0,-67.73234558105469,0.5018868082359251,-67.23045877281876,258.85140168880196
49000,24500.0,-67.6307373046875,0.41019929436159025,-67.22053801032591,211.56296713688891
50000,25000.0,-67.69120788574219,0.44670873255520804,-67.24449915318698,230.39294851158604
51000,25500.0,-67.65374755859375,0.414863353434944,-67.23888420515881,213.96848608834435
52000,26000.0,-67.70621490478516,0.4791970160376299,-67.22701788874753,247.14899306164494
53000,26500.0,-67.79216766357422,0.5670869913245854,-67.22508067224963,292.47882226633715
