      Step     Time          Energy          fmax
BFGS:    0 20:36:02      -66.178635        4.788279
BFGS:    1 20:36:02      -66.638924        2.524354
BFGS:    2 20:36:02      -67.029846        2.136046
BFGS:    3 20:36:02      -67.326843        1.799107
BFGS:    4 20:36:02      -67.530693        1.279934
BFGS:    5 20:36:02      -67.679878        0.760954
BFGS:    6 20:36:02      -67.767303        0.505501
BFGS:    7 20:36:02      -67.800285        0.553375
BFGS:    8 20:36:02      -67.836617        0.573700
BFGS:    9 20:36:02      -67.862144        0.446267
BFGS:   10 20:36:02      -67.880402        0.272276
BFGS:   11 20:36:02      -67.893852        0.146692
BFGS:   12 20:36:02      -67.892487        0.150160
BFGS:   13 20:36:02      -67.889458        0.123015
BFGS:   14 20:36:02      -67.898773        0.126522
BFGS:   15 20:36:02      -67.893524        0.128504
BFGS:   16 20:36:02      -67.899284        0.129341
BFGS:   17 20:36:02      -67.897980        0.208703
BFGS:   18 20:36:02      -67.901001        0.199207
BFGS:   19 20:36:02      -67.905182        0.171524
BFGS:   20 20:36:02      -67.912407        0.160993
BFGS:   21 20:36:02      -67.911209        0.250108
BFGS:   22 20:36:02      -67.922104        0.300543
BFGS:   23 20:36:02      -67.929047        0.328159
BFGS:   24 20:36:02      -67.935593        0.352746
BFGS:   25 20:36:02      -67.940659        0.352672
BFGS:   26 20:36:02      -67.955627        0.318375
BFGS:   27 20:36:02      -67.965164        0.362912
BFGS:   28 20:36:02      -67.985748        0.438270
BFGS:   29 20:36:02      -68.000748        0.378464
BFGS:   30 20:36:02      -68.003120        0.308348
BFGS:   31 20:36:02      -68.007797        0.166422
BFGS:   32 20:36:03      -68.011261        0.152230
BFGS:   33 20:36:03      -68.013275        0.140666
BFGS:   34 20:36:03      -68.014275        0.084189
BFGS:   35 20:36:03      -68.017746        0.072872
BFGS:   36 20:36:03      -68.014679        0.056619
BFGS:   37 20:36:03      -68.023544        0.036366
BFGS:   38 20:36:03      -68.018707        0.021256
BFGS:   39 20:36:03      -68.023262        0.019711
BFGS:   40 20:36:03      -68.021469        0.021176
BFGS:   41 20:36:03      -68.015915        0.016465
BFGS:   42 20:36:03      -68.020447        0.022170
BFGS:   43 20:36:03      -68.018875        0.011172
BFGS:   44 20:36:03      -68.018295        0.009038
BFGS:   45 20:36:03      -68.012642        0.010309
BFGS:   46 20:36:03      -68.014343        0.008687
BFGS:   47 20:36:03      -68.012962        0.005467
BFGS:   48 20:36:03      -68.018532        0.007147
BFGS:   49 20:36:03      -68.020699        0.013536
BFGS:   50 20:36:03      -68.011353        0.006387
BFGS:   51 20:36:03      -68.016289        0.004476
BFGS:   52 20:36:03      -68.016235        0.004375
BFGS:   53 20:36:03      -68.023079        0.010179
BFGS:   54 20:36:03      -68.016426        0.008058
BFGS:   55 20:36:03      -68.013107        0.005042
BFGS:   56 20:36:03      -68.009834        0.016666
BFGS:   57 20:36:03      -68.009773        0.006368
BFGS:   58 20:36:03      -68.011200        0.005112
BFGS:   59 20:36:03      -68.012726        0.004983
BFGS:   60 20:36:03      -68.015892        0.012489
BFGS:   61 20:36:03      -68.011963        0.003388
BFGS:   62 20:36:03      -68.013290        0.008873
BFGS:   63 20:36:03      -68.009132        0.002936
