ray,direction,orientation,n_min,n_min_ml,n_min_wall,e_min_kcal,r_at_min
0,0,0,1,1,0,-2.2849088230952623,5.6
1,0,1,1,0,1,5571.42354992364,3.2
2,0,2,1,1,0,-0.8344461275255308,6.0
3,0,3,1,1,0,-0.7606309828259983,6.4
4,0,4,1,1,0,-1.3581320673208683,5.4
5,0,5,1,1,0,-2.7535489141400906,5.4
6,0,6,1,1,0,-0.4165969946086407,6.0
7,0,7,1,1,0,-2.2847336371294222,5.6
8,0,8,1,1,0,-1.5452147860322147,5.6
9,0,9,1,1,0,-0.9239850770989433,5.4
10,0,10,1,1,0,-2.1355330741135403,5.6
11,0,11,1,1,0,-0.34923452224582435,5.4
12,0,12,1,1,0,-0.5321759838941508,5.4
13,0,13,1,1,0,-0.4315900525795296,6.2
14,0,14,1,1,0,-0.5331742668491789,5.4
15,0,15,1,1,0,-0.5815062965482939,5.4
16,0,16,1,1,0,-0.8475673566330225,5.6
17,0,17,1,1,0,-0.47381882615759974,5.6
18,0,18,1,1,0,-1.0512214177651331,5.4
19,0,19,1,1,0,-2.860323160300497,5.4
20,0,20,1,1,0,-0.4710474215475843,5.4
21,0,21,2,1,1,-0.35186499632894996,6.0
22,0,22,1,1,0,-1.0254778647832572,5.6
23,0,23,0,0,0,0.0,nan
24,1,0,2,1,1,-0.77828352998849,5.6
25,1,1,1,1,0,-0.13555484984908253,5.4
26,1,2,1,1,0,-1.7180160578787327,5.4
27,1,3,2,2,0,-1.4377163433819078,5.4
28,1,4,1,1,0,-0.2177674737935886,5.6
29,1,5,1,1,0,-1.8122368346708828,5.6
30,1,6,1,1,0,-1.3357751638139599,5.6
31,1,7,1,1,0,-0.6851525271669962,5.6
32,1,8,1,1,0,-1.2959934312757104,5.6
33,1,9,1,1,0,-0.6213112132535317,6.2
34,1,10,1,1,0,-2.9430757960048504,5.4
35,1,11,0,0,0,0.0,nan
36,1,12,1,1,0,-1.2575063180853614,5.4
37,1,13,1,1,0,-1.160565251382068,5.6
38,1,14,1,1,0,-0.27413473415537737,5.6
39,1,15,1,1,0,-0.9772703466247767,5.6
40,1,16,0,0,0,0.0,nan
41,1,17,1,1,0,-0.47078667215304454,5.6
42,1,18,0,0,0,0.0,nan
43,1,19,1,1,0,-0.6919496223716997,5.6
44,1,20,2,1,1,-0.5388466453878209,6.0
45,1,21,1,1,0,-0.38169198018615136,5.4
46,1,22,2,1,1,-0.8679943366292865,6.2
47,1,23,1,1,0,-0.46005619348632176,5.6
48,2,0,1,1,0,-0.46173949931329117,5.6
49,2,1,1,1,0,-3.0535518202017995,5.4
50,2,2,1,1,0,-1.6078874203432352,4.8
51,2,3,0,0,0,0.0,nan
52,2,4,3,3,0,-1.9098057101462038,4.6
53,2,5,2,2,0,-0.8364742857557722,5.6
54,2,6,1,1,0,-0.005364680937491357,4.6
55,2,7,1,1,0,-0.6492351088169962,5.6
56,2,8,1,1,0,-0.5215797135271132,5.6
