ray,direction,orientation,n_min,n_min_ml,n_min_wall,e_min_kcal,r_at_min
123,5,3,1,1,0,-2.6712613792419435,4.8
124,5,4,2,2,0,-4.890362991333008,4.6
125,5,5,1,1,0,-1.423863422393799,4.8
126,5,6,1,1,0,-1.939888557434082,4.8
127,5,7,3,3,0,-2.885729377746582,4.6
128,5,8,1,1,0,-0.5545554809570312,4.2
129,5,9,1,1,0,-2.8144746284484863,4.8
130,5,10,1,1,0,-1.8760231895446777,5.0
131,5,11,1,1,0,-1.5285463256835938,4.8
132,5,12,2,2,0,-0.39726721954345706,4.6
133,5,13,1,1,0,-1.5929395065307619,4.8
134,5,14,1,1,0,-2.9311212921142578,4.8
135,5,15,1,1,0,-3.4121348342895508,4.4
136,5,16,1,1,0,-8.141514873504638,3.6
137,5,17,3,2,1,-4.128728893280029,4.2
138,5,18,1,1,0,-1.8624759902954102,5.0
139,5,19,2,2,0,-7.587487205505371,4.4
140,5,20,1,1,0,-1.7627193412780762,5.0
141,5,21,2,2,0,-8.069204498291016,4.4
142,5,22,1,1,0,-0.8372872886657715,5.2
143,5,23,1,1,0,-3.8340333251953127,3.8
144,6,0,2,2,0,-2.4490521240234377,5.2
145,6,1,3,3,0,-9.785124423980713,4.6
146,6,2,2,1,1,-0.7876728706359863,6.0
147,6,3,1,0,1,-10.892827884674073,4.4
148,6,4,2,2,0,-3.4061529541015627,4.6
149,6,5,1,1,0,-9.532653892517091,4.4
150,6,6,1,1,0,-3.279829719543457,5.2
151,6,7,2,1,1,-1.8376687812805177,5.800000000000001
152,6,8,2,1,1,-6.865615016937256,4.6
153,6,9,1,1,0,-2.943612865447998,5.2
154,6,10,1,1,0,-5.912912628173828,5.0
155,6,11,1,1,0,-1.364220558166504,5.800000000000001
156,6,12,2,1,1,-1.8825328826904297,5.2
157,6,13,2,2,0,-4.308185298919678,4.4
158,6,14,3,3,0,-9.527199825286866,4.6
159,6,15,1,0,1,-11.496645908355713,4.8
160,6,16,3,3,0,-4.533385494232178,4.2
161,6,17,1,1,0,-1.8332703399658203,5.800000000000001
162,6,18,2,1,1,-6.043282428741455,5.0
163,6,19,2,2,0,-7.347156372070313,4.8
164,6,20,1,1,0,-9.863592617034913,4.8
165,6,21,1,1,0,-1.7701087226867676,5.800000000000001
166,6,22,1,1,0,-4.078058849334717,5.0
167,6,23,2,2,0,-2.8881925048828125,4.8
168,7,0,1,1,0,-2.874293430328369,4.8
169,7,1,1,1,0,-1.0125211906433107,5.800000000000001
170,7,2,1,1,0,-2.361962985992432,4.8
171,7,3,1,1,0,-0.6870365333557129,5.0
172,7,4,1,1,0,-0.3077149543762207,6.4
173,7,5,0,0,0,0.0,nan
174,7,6,1,1,0,-0.3531068687438965,6.0
175,7,7,0,0,0,0.0,nan
176,7,8,0,0,0,0.0,nan
177,7,9,1,1,0,-1.3765361938476564,5.2
178,7,10,1,1,0,-0.685277156829834,4.8
179,7,11,1,1,0,-1.3420524139404297,5.800000000000001
180,7,12,1,1,0,-1.5489550933837892,5.2
181,7,13,0,0,0,0.0,nan
182,7,14,1,1,0,-1.6578605003356934,5.6
183,7,15,1,1,0,-0.9571008300781251,6.0
184,7,16,0,0,0,0.0,nan
185,7,17,1,1,0,-0.6574790077209473,6.0
186,7,18,2,1,1,-1.5978657608032227,6.0
187,7,19,0,0,0,0.0,nan
188,7,20,1,1,0,-1.6233767204284668,5.2
189,7,21,1,1,0,-2.5282240676879884,5.0
190,7,22,0,0,0,0.0,nan
191,7,23,1,1,0,-2.038413642883301,6.0
192,8,0,2,1,1,-4.188899570465088,4.8
193,8,1,1,1,0,-2.962790069580078,4.8
194,8,2,2,2,0,-2.108964641571045,4.6
195,8,3,2,2,0,-9.806061004638673,4.4
196,8,4,1,1,0,-10.568926666259767,4.2
197,8,5,2,2,0,-1.4636253318786623,5.0
198,8,6,2,2,0,-9.101606643676758,4.0
199,8,7,1,1,0,-7.738089836120606,4.2
200,8,8,2,2,0,-1.3548958625793457,4.4
201,8,9,1,1,0,-8.1856752243042,5.0
202,8,10,2,1,1,-7.07797176361084,4.4
203,8,11,2,2,0,-3.167405559539795,4.8
204,8,12,1,1,0,-3.669531620025635,5.0
205,8,13,2,2,0,-3.928687782287598,4.4
206,8,14,1,1,0,-4.818228553771973,4.8
207,8,15,3,2,1,-3.592294990539551,4.6
208,8,16,1,1,0,-3.056564838409424,4.8
209,8,17,2,1,1,0.6395333671569825,4.6
210,8,18,1,1,0,-1.1831807136535646,5.4
211,8,19,1,1,0,-14.752724044799805,4.4
212,8,20,1,0,1,-12.160282733917237,4.8
213,8,21,1,0,1,-7.764656421661377,4.6
214,8,22,1,0,1,-5.037974681854248,4.8
215,8,23,1,1,0,-1.407677158355713,5.4
216,9,0,1,1,0,-1.0169196319580078,5.800000000000001
217,9,1,1,1,0,-0.4004340972900391,5.800000000000001
218,9,2,1,1,0,-0.8265550918579102,5.800000000000001
219,9,3,1,1,0,-1.3232270851135255,6.0
220,9,4,1,1,0,-1.9154332237243654,5.0
221,9,5,2,2,0,-1.6580364379882813,5.0
222,9,6,2,2,0,-2.596136001586914,5.6
223,9,7,2,2,0,-1.936897617340088,5.0
224,9,8,1,1,0,-1.3921946449279785,5.2
225,9,9,1,1,0,-1.6318217277526856,5.800000000000001
226,9,10,1,1,0,-1.050523723602295,5.800000000000001
227,9,11,1,1,0,-2.604405071258545,4.8
228,9,12,1,1,0,-1.2551392135620119,6.0
229,9,13,1,1,0,-0.7510778388977051,5.800000000000001
230,9,14,1,1,0,-2.416503658294678,4.8
231,9,15,1,0,1,-8.905260223388673,5.0
232,9,16,2,2,0,-0.6309124221801758,5.800000000000001
233,9,17,1,1,0,-2.931473167419434,4.6
234,9,18,1,1,0,-7.271679119110107,4.6
235,9,19,1,1,0,-1.0082986869812012,5.6
236,9,20,1,1,0,-0.9787411613464356,6.0
237,9,21,1,1,0,-0.34237467193603516,6.0
238,9,22,1,1,0,-2.800575553894043,5.2
239,9,23,1,1,0,-10.049734653472902,4.8
