ray,direction,orientation,n_min,n_min_ml,n_min_wall,e_min_kcal,r_at_min
0,0,0,2,1,1,-12.540112684068246,4.8
1,0,1,2,0,2,15.597156997721068,5.2
2,0,2,2,1,1,-174.63902393723922,4.4
3,0,3,2,1,1,-0.7572573576776646,6.4
4,0,4,1,1,0,-1.3999797850703675,5.4
5,0,5,1,1,0,-1.866946809434177,5.4
6,0,6,1,1,0,-0.4398084241125965,6.0
7,0,7,1,1,0,-2.0128465395347566,5.6
8,0,8,1,1,0,-1.7771631989860734,5.0
9,0,9,1,1,0,-0.45997135194270483,5.2
10,0,10,1,1,0,-2.254130398377052,5.6
11,0,11,1,1,0,-0.9867313844386097,5.2
12,0,12,1,1,0,-0.894893076027017,5.0
13,0,13,2,1,1,-41.65179857551997,4.6
14,0,14,1,1,0,-1.4628702174523596,5.2
15,0,15,1,1,0,-0.3931373362438633,5.0
16,0,16,1,1,0,-1.0951733065227733,5.6
17,0,17,1,1,0,-1.205292476907354,4.8
18,0,18,1,1,0,-1.9107455906616908,4.8
19,0,19,1,1,0,-1.9068005805450192,5.4
20,0,20,1,1,0,-0.49748808347139273,5.2
21,0,21,3,1,2,-1.1735340540955457,5.0
22,0,22,1,1,0,-1.0100136293393083,5.6
23,0,23,1,1,0,-0.3771274587244612,5.4
24,1,0,2,1,1,-0.8172354841574538,5.6
25,1,1,1,1,0,-0.24361111071572955,5.4
26,1,2,1,1,0,-1.3878729668953076,5.4
27,1,3,2,2,0,-1.5667220037924308,5.4
28,1,4,0,0,0,0.0,nan
29,1,5,1,1,0,-1.3862078222334273,5.4
30,1,6,1,1,0,-1.2943222060542814,5.6
31,1,7,1,1,0,-0.9940091101726596,5.4
32,1,8,1,1,0,-0.9464248246682011,5.6
33,1,9,1,1,0,-0.622848906043542,6.2
34,1,10,1,1,0,-2.528245733369539,5.2
35,1,11,1,0,1,3.993332152594869,4.6
36,1,12,1,1,0,-2.0883719332062434,5.2
37,1,13,1,1,0,-0.977039360109949,5.6
38,1,14,1,1,0,-0.39607180391208313,5.4
39,1,15,1,1,0,-1.4618194925558488,5.6
40,1,16,0,0,0,0.0,nan
41,1,17,1,1,0,-0.4020410518913638,5.6
42,1,18,1,0,1,9.875233105197859,4.6
43,1,19,1,1,0,-0.5741683443876903,5.6
44,1,20,3,2,1,-0.5704182684452802,5.6
45,1,21,1,1,0,-0.46323847443330146,5.4
46,1,22,2,1,1,-0.8682937805824025,6.2
47,1,23,1,1,0,-0.8923092357648781,5.4
48,2,0,2,2,0,-0.9203396253133245,4.6
49,2,1,1,1,0,-2.9706072138543775,5.4
50,2,2,1,1,0,-0.44935321109227966,5.800000000000001
51,2,3,0,0,0,0.0,nan
52,2,4,2,2,0,-2.4061422970007493,5.0
53,2,5,2,2,0,-0.5374890676493334,5.2
54,2,6,1,1,0,0.9609273751012252,4.2
55,2,7,1,1,0,-1.1228178936037987,5.2
56,2,8,1,1,0,-0.8299957812168831,5.0
57,2,9,1,1,0,-0.18398775839736328,4.4
58,2,10,1,1,0,-0.639566853151276,4.6
59,2,11,1,1,0,-3.6771114949590484,4.6
60,2,12,1,1,0,-0.061028692888228105,4.4
61,2,13,1,1,0,-2.230831591594665,4.4
62,2,14,1,1,0,-3.0063088930418402,4.6
63,2,15,0,0,0,0.0,nan
64,2,16,1,1,0,-3.6435428162344747,5.2
65,2,17,0,0,0,0.0,nan
66,2,18,1,1,0,-4.166124277064986,4.4
67,2,19,2,2,0,-1.3501398267885445,4.8
68,2,20,0,0,0,0.0,nan
69,2,21,2,2,0,-2.4527193833714027,4.6
70,2,22,1,1,0,0.04347144076819287,4.2
71,2,23,1,1,0,-0.6114356560707839,5.6
72,3,0,0,0,0,0.0,nan
73,3,1,1,1,0,-1.6476427142606924,5.4
74,3,2,1,1,0,-1.452795327915344,4.8
75,3,3,2,1,1,-0.6202245674982083,6.0
76,3,4,2,1,1,-6.353614780989996,4.8
77,3,5,2,1,1,-0.49429267993846393,5.4
78,3,6,1,1,0,-3.4478635602022205,5.4
79,3,7,0,0,0,0.0,nan
80,3,8,2,1,1,-30.912777152297746,4.2
81,3,9,1,1,0,-3.8964275555301966,4.6
82,3,10,0,0,0,0.0,nan
83,3,11,1,1,0,-2.946318594222229,4.8
84,3,12,2,1,1,-2.348374617621584,5.6
85,3,13,1,1,0,-0.781876669795353,5.6
86,3,14,1,1,0,-2.4926923224026196,5.4
87,3,15,2,1,1,-1.9802913336887105,5.6
88,3,16,1,1,0,-1.3048102544390172,5.6
89,3,17,1,1,0,-2.4775977208981357,5.4
90,3,18,1,1,0,-3.3228605625652228,4.8
91,3,19,1,1,0,-0.509604250170836,5.2
92,3,20,2,2,0,-3.1980013986142373,4.6
93,3,21,1,0,1,-2.243642706126977,4.8
94,3,22,1,1,0,-1.8741401655756118,5.6
95,3,23,1,1,0,-2.3174993852266264,5.2
96,4,0,1,1,0,-0.3850123492894643,4.6
97,4,1,2,2,0,-1.042411636542346,4.8
98,4,2,1,1,0,-3.4118819319992104,4.6
99,4,3,1,1,0,-1.598769761402833,4.2
100,4,4,1,1,0,-0.6926285860850935,4.6
101,4,5,2,1,1,-2.0376160736403683,4.6
102,4,6,2,2,0,-0.7131637060021493,5.4
103,4,7,1,1,0,-0.3574372259003508,4.4
104,4,8,1,1,0,-3.402589831885954,5.2
105,4,9,1,1,0,-0.5686823286269493,5.6
106,4,10,1,1,0,-1.38348189596354,4.8
107,4,11,1,1,0,-2.895515800578854,4.6
108,4,12,1,1,0,-1.1712431496152491,5.6
109,4,13,1,1,0,-2.7015040398993415,5.0
110,4,14,1,1,0,-1.0161533731760661,5.2
111,4,15,2,2,0,-3.098463823236037,4.4
112,4,16,1,1,0,-0.44883895323281103,4.8
113,4,17,2,2,0,-0.2484927566665622,5.4
114,4,18,1,1,0,-1.5957298516164258,5.0
115,4,19,1,1,0,-1.046962160583045,4.4
116,4,20,1,1,0,-1.4667827501813016,5.2
117,4,21,1,1,0,-0.3045437822119332,5.2
118,4,22,1,1,0,-0.8404779178641554,5.0
119,4,23,2,2,0,-1.026636174065505,4.6
120,5,0,1,1,0,-3.545818630358551,4.6
121,5,1,2,2,0,-2.565809804341946,4.8
122,5,2,2,2,0,-1.1480988163788997,4.6
123,5,3,1,1,0,-3.3588258933198163,4.0
124,5,4,1,1,0,-2.7470539563181795,5.0
125,5,5,1,1,0,-0.7632634559621434,4.6
126,5,6,2,2,0,-3.1065973538992786,4.4
127,5,7,1,1,0,-4.134017184440631,4.6
128,5,8,2,2,0,-2.389730859409979,4.2
129,5,9,2,2,0,-1.4293523730440778,4.6
130,5,10,1,1,0,-1.6031248259408761,5.0
131,5,11,1,1,0,-2.1185894255357103,4.8
132,5,12,2,2,0,-1.3670928630254582,5.4
133,5,13,1,1,0,-0.7992350752043708,4.6
134,5,14,1,1,0,-2.6140103014154996,5.0
135,5,15,1,1,0,-2.738097280843394,4.2
136,5,16,1,1,0,-3.191033263105872,4.2
137,5,17,1,1,0,-4.365231517955447,4.2
138,5,18,2,2,0,-0.8102348567241997,4.8
139,5,19,1,1,0,-3.6242701304229206,5.0
140,5,20,1,1,0,-0.9651642635122286,5.4
141,5,21,1,1,0,-2.6208670492599238,5.2
142,5,22,2,2,0,-1.1724817794863691,4.4
143,5,23,1,1,0,-3.3372809615390153,4.2
144,6,0,1,1,0,-3.5268383862057684,4.8
145,6,1,1,1,0,-3.0839718610394433,5.2
146,6,2,2,1,1,-12.281406382005628,4.8
147,6,3,1,1,0,-2.8091042690508945,5.0
148,6,4,1,1,0,-2.6652908532892923,5.0
149,6,5,1,1,0,-2.8762308433968147,4.8
150,6,6,1,1,0,0.5307829914722866,5.4
151,6,7,1,1,0,-1.9187438945175195,5.800000000000001
152,6,8,1,1,0,-0.5109290410361811,5.4
153,6,9,1,1,0,0.6677733718686901,5.6
154,6,10,1,1,0,-0.9781159993939326,5.6
155,6,11,1,1,0,-1.4627909623963489,5.800000000000001
156,6,12,0,0,0,0.0,nan
157,6,13,1,1,0,-2.760161313769876,4.6
158,6,14,1,1,0,-3.572364834529252,5.2
159,6,15,0,0,0,0.0,nan
160,6,16,1,1,0,-2.819417754229529,4.8
161,6,17,1,1,0,-1.9645869348117968,5.6
162,6,18,2,1,1,-2.2070748115038636,5.4
163,6,19,1,1,0,-3.1784427373430457,5.2
164,6,20,1,1,0,-1.4369249313814292,5.2
165,6,21,1,1,0,-3.0176250926819974,5.0
166,6,22,1,1,0,-0.3411208638865403,5.4
167,6,23,1,1,0,-2.4308573218071863,5.2
168,7,0,1,1,0,-0.37310565703692244,5.0
169,7,1,1,1,0,-1.4524063992812184,5.4
170,7,2,1,1,0,-0.24947026751090834,5.4
171,7,3,0,0,0,0.0,nan
172,7,4,1,0,1,-568.1692390280688,4.6
173,7,5,0,0,0,0.0,nan
174,7,6,1,1,0,-0.34816941603878765,6.0
175,7,7,0,0,0,0.0,nan
176,7,8,1,0,1,11.476524997070873,4.6
177,7,9,1,1,0,-0.8785483403474021,5.4
178,7,10,0,0,0,0.0,nan
179,7,11,1,1,0,-1.486632943422713,5.6
180,7,12,1,1,0,-1.3052103696199848,5.4
181,7,13,1,1,0,-0.1900507245687248,5.6
182,7,14,1,1,0,-1.9760696221485763,5.6
183,7,15,2,1,1,-465.19863465705885,4.6
184,7,16,0,0,0,0.0,nan
185,7,17,1,1,0,-0.8984089850556473,5.6
186,7,18,1,1,0,-1.58109185825447,6.0
187,7,19,0,0,0,0.0,nan
188,7,20,2,2,0,-1.6507562623236458,4.4
189,7,21,1,1,0,-2.856622802794015,4.8
190,7,22,0,0,0,0.0,nan
191,7,23,1,1,0,-1.9924442094174486,6.0
192,8,0,1,1,0,-1.3185527358602898,5.4
193,8,1,2,2,0,-1.0780002087019325,4.2
194,8,2,1,1,0,-2.5847957045153573,4.8
195,8,3,1,1,0,-2.5624604568907805,5.0
196,8,4,1,1,0,-0.5894378034190428,4.8
197,8,5,1,1,0,-2.7328578250620335,4.8
198,8,6,1,1,0,-5.057291240969282,4.4
199,8,7,1,1,0,-3.419821118406464,4.4
200,8,8,1,1,0,-2.585096023466335,4.8
201,8,9,1,1,0,-2.402220428354496,5.4
202,8,10,1,1,0,-3.8132772283011285,4.8
203,8,11,1,1,0,-1.8297524168455561,5.0
204,8,12,1,1,0,-1.7558876741498783,5.6
205,8,13,1,1,0,-2.9895384246693233,4.4
206,8,14,1,1,0,-0.38606370442171645,5.4
207,8,15,2,2,0,-3.674869049999126,4.4
208,8,16,1,1,0,-2.4405379488714978,4.8
209,8,17,1,0,1,103.73574325208057,4.0
210,8,18,1,1,0,-1.4300806974489404,5.6
211,8,19,1,1,0,-1.1435259196272798,5.2
212,8,20,1,1,0,-1.5614676227873237,5.4
213,8,21,1,1,0,0.20308799566199104,5.4
214,8,22,1,1,0,-2.6075109789093056,5.4
215,8,23,1,1,0,-1.0455194546470388,5.4
216,9,0,1,1,0,-1.451828936372901,5.4
217,9,1,1,1,0,-0.8390173421324975,5.6
218,9,2,1,1,0,-1.0675618085398908,5.6
219,9,3,1,1,0,-1.4792188151002608,5.6
220,9,4,1,1,0,-1.470897245203318,5.2
221,9,5,1,1,0,-1.959062885658948,5.2
222,9,6,1,1,0,-3.0857171403708823,5.4
223,9,7,1,1,0,-1.9909144092347502,5.0
224,9,8,1,1,0,-2.041823141296682,4.8
225,9,9,1,1,0,-1.7025530971135798,5.800000000000001
226,9,10,1,1,0,-1.6230852125785236,5.4
227,9,11,1,1,0,-0.8469712605714617,4.6
228,9,12,1,1,0,-1.2546745905771581,6.0
229,9,13,1,1,0,-1.1469716812314144,5.6
230,9,14,1,1,0,-1.2319754867374462,4.8
231,9,15,1,0,1,3.8841898209570083,4.6
232,9,16,1,1,0,-1.2251507318325232,5.4
233,9,17,1,1,0,-3.286113103961237,4.6
234,9,18,1,1,0,0.2530619657650613,5.0
235,9,19,1,1,0,-1.5569187057964815,5.4
236,9,20,2,1,1,-0.9683569318433789,6.0
237,9,21,1,1,0,-0.6269248443075657,5.6
238,9,22,2,2,0,-2.386612244855365,4.8
239,9,23,1,1,0,0.6384104934524897,5.4
