      Step     Time          Energy          fmax
BFGS:    0 00:03:19      -66.470734        4.514566
BFGS:    1 00:03:19      -66.877945        2.000811
BFGS:    2 00:03:19      -67.189224        1.941366
BFGS:    3 00:03:19      -67.440620        1.538589
BFGS:    4 00:03:19      -67.620399        1.011564
BFGS:    5 00:03:19      -67.731834        0.697878
BFGS:    6 00:03:19      -67.786514        0.518765
BFGS:    7 00:03:19      -67.804993        0.572391
BFGS:    8 00:03:19      -67.864906        0.503400
BFGS:    9 00:03:19      -67.889565        0.463300
BFGS:   10 00:03:19      -67.891411        0.269587
BFGS:   11 00:03:19      -67.902901        0.220373
BFGS:   12 00:03:19      -67.913116        0.177584
BFGS:   13 00:03:19      -67.910507        0.130282
BFGS:   14 00:03:19      -67.918396        0.136511
BFGS:   15 00:03:19      -67.915199        0.175206
BFGS:   16 00:03:19      -67.931412        0.297153
BFGS:   17 00:03:19      -67.929794        0.306407
BFGS:   18 00:03:19      -67.937485        0.212431
BFGS:   19 00:03:19      -67.958755        0.204586
BFGS:   20 00:03:19      -67.951675        0.350443
BFGS:   21 00:03:19      -67.963402        0.501463
BFGS:   22 00:03:19      -67.964851        0.597165
BFGS:   23 00:03:19      -67.990334        0.635469
BFGS:   24 00:03:19      -67.995049        0.655027
BFGS:   25 00:03:19      -68.009666        0.614541
BFGS:   26 00:03:19      -68.029686        0.557073
BFGS:   27 00:03:19      -68.046791        0.418074
BFGS:   28 00:03:19      -68.058357        0.265591
BFGS:   29 00:03:19      -68.061798        0.181900
BFGS:   30 00:03:19      -68.062706        0.284775
BFGS:   31 00:03:19      -68.061584        0.221578
BFGS:   32 00:03:19      -68.064766        0.088515
BFGS:   33 00:03:19      -68.067070        0.056203
BFGS:   34 00:03:19      -68.064697        0.068120
BFGS:   35 00:03:19      -68.061531        0.060966
BFGS:   36 00:03:19      -68.065369        0.035702
BFGS:   37 00:03:19      -68.071495        0.019206
BFGS:   38 00:03:19      -68.068451        0.022408
BFGS:   39 00:03:19      -68.068222        0.020649
BFGS:   40 00:03:19      -68.069992        0.033254
