ray,direction,orientation,n_min,n_min_ml,n_min_wall,e_min_kcal,r_at_min
0,0,0,1,1,0,-1.8158732159603388,5.6
1,0,1,1,0,1,5579.9792268421315,3.2
2,0,2,1,1,0,-0.8351346725868062,6.0
3,0,3,1,1,0,-0.7557466726740822,6.4
4,0,4,1,1,0,-1.4070200552772731,5.4
5,0,5,1,1,0,-2.6941070724260063,5.2
6,0,6,1,1,0,-0.4394986991938204,6.0
7,0,7,1,1,0,-1.9548046856354924,5.6
8,0,8,1,1,0,-1.07841894768551,5.0
9,0,9,1,1,0,-0.6237834089534591,5.2
10,0,10,1,1,0,-1.767194025105797,5.6
11,0,11,1,1,0,-0.2968098696162924,5.2
12,0,12,1,1,0,-0.4708636448760517,5.2
13,0,13,1,1,0,-0.4356823211433366,6.2
14,0,14,1,1,0,-0.7413781160535291,5.2
15,0,15,0,0,0,0.0,nan
16,0,16,1,1,0,-0.6352136059680489,5.6
17,0,17,1,1,0,-0.46948133589979263,5.4
18,0,18,1,1,0,-0.9384093444459141,5.0
19,0,19,1,1,0,-2.4642063006795945,5.2
20,0,20,1,1,0,-0.9150357953505591,5.0
21,0,21,2,1,1,-0.3413797823097557,6.0
22,0,22,1,1,0,-0.7732224445901812,5.6
23,0,23,0,0,0,0.0,nan
24,1,0,2,1,1,-0.6971608088752255,5.6
25,1,1,1,1,0,-0.3174582320982591,5.2
26,1,2,1,1,0,-0.8540809155963361,5.6
27,1,3,1,1,0,-1.2002176723228768,5.2
28,1,4,0,0,0,0.0,nan
29,1,5,1,1,0,-1.1411494403993712,5.6
30,1,6,1,1,0,-1.4889314461266623,5.4
31,1,7,1,1,0,-0.6259287819936872,5.4
32,1,8,1,1,0,-0.7637205656981096,5.800000000000001
33,1,9,1,1,0,-0.6274567678617314,6.2
34,1,10,1,1,0,-2.2451140971146524,5.2
35,1,11,0,0,0,0.0,nan
36,1,12,1,1,0,-1.2337222406417132,5.2
37,1,13,1,1,0,-0.7624958317410201,5.6
38,1,14,1,1,0,-0.2667123322216794,5.2
39,1,15,1,1,0,-1.1578090093676001,5.4
40,1,16,0,0,0,0.0,nan
41,1,17,1,1,0,-0.5074106760462747,5.4
42,1,18,0,0,0,0.0,nan
43,1,19,1,1,0,-0.3952209134474397,5.6
44,1,20,2,1,1,-0.5433199976561591,6.0
45,1,21,1,1,0,-0.5463873842924368,5.4
46,1,22,2,1,1,-0.871760502004996,6.2
47,1,23,1,1,0,-0.6890503451074473,5.2
48,2,0,2,2,0,-0.7981713465570939,4.8
49,2,1,1,1,0,-2.7807365217953923,5.4
50,2,2,1,1,0,-1.0154740739110857,4.8
51,2,3,1,1,0,0.24579340546391906,5.0
52,2,4,2,2,0,-1.927404114386067,4.6
53,2,5,1,1,0,-1.2783280195314437,5.2
54,2,6,0,0,0,0.0,nan
55,2,7,1,1,0,-0.48858779557049276,5.6
56,2,8,2,2,0,-0.45018424846976995,5.0
57,2,9,0,0,0,0.0,nan
58,2,10,1,1,0,-0.23716374092083425,4.8
59,2,11,2,2,0,-2.492100536831655,4.4
60,2,12,1,1,0,-0.07157114498876035,4.8
61,2,13,2,2,0,-1.4717449662247672,5.2
62,2,14,2,2,0,-2.0389484143126757,5.2
63,2,15,0,0,0,0.0,nan
64,2,16,1,1,0,-3.339003531239927,5.2
65,2,17,0,0,0,0.0,nan
66,2,18,2,2,0,-1.8277004700228572,5.2
67,2,19,1,1,0,-1.0679311994081364,4.8
68,2,20,1,1,0,-0.1300492813382298,5.4
69,2,21,2,2,0,-1.6613591940896586,5.4
70,2,22,1,1,0,0.7771702174842358,4.4
71,2,23,1,1,0,-0.43092386482981965,5.4
72,3,0,0,0,0,0.0,nan
73,3,1,1,1,0,-2.043265458690934,5.4
74,3,2,1,1,0,-0.4682736115399748,5.0
75,3,3,1,1,0,-0.6162815913148225,6.0
76,3,4,1,1,0,-0.876079006803222,5.800000000000001
77,3,5,1,1,0,-0.4198553633708507,5.4
78,3,6,1,1,0,-4.112274899899028,5.2
79,3,7,1,1,0,0.2629805726222694,5.0
80,3,8,1,1,0,-0.9617194941332564,5.6
81,3,9,1,1,0,-3.174187148520723,4.2
82,3,10,1,1,0,1.1487544055674226,5.4
83,3,11,2,2,0,-1.3604385429387913,4.8
84,3,12,1,1,0,-1.7968148642415183,5.800000000000001
85,3,13,1,1,0,-0.5471263245809823,5.800000000000001
86,3,14,1,1,0,-2.152381853374653,5.4
87,3,15,2,1,1,-1.5242404921762647,5.800000000000001
88,3,16,1,1,0,-1.5166935572251679,5.4
89,3,17,1,1,0,-2.4823460482386874,5.4
90,3,18,2,2,0,-2.5485096446685493,4.4
91,3,19,1,1,0,-1.994148141846061,5.0
92,3,20,2,2,0,-2.365195926265791,5.2
93,3,21,1,1,0,-1.1651168220257386,5.2
94,3,22,1,1,0,-1.8358908488303425,5.6
95,3,23,1,1,0,-1.7238384945690632,5.4
96,4,0,1,1,0,-0.5536533387370873,5.0
97,4,1,1,1,0,-0.25139957113843414,5.4
98,4,2,2,2,0,-1.7373274917872623,4.6
99,4,3,1,1,0,-0.1534530697176233,4.6
100,4,4,0,0,0,0.0,nan
101,4,5,1,1,0,-1.0544891503965483,5.4
102,4,6,1,1,0,-0.5732242656494491,5.4
103,4,7,1,1,0,-0.3844483403228223,5.2
104,4,8,1,1,0,-2.53123884699028,5.2
105,4,9,1,1,0,-0.5960206696595997,5.6
106,4,10,1,1,0,-0.3146202065655962,5.6
107,4,11,1,1,0,-1.7302314400244505,5.2
108,4,12,1,1,0,-0.8421031523700804,5.6
109,4,13,2,2,0,-1.714298945432529,4.8
110,4,14,1,1,0,-0.337850204968825,5.2
111,4,15,2,2,0,-2.3961807117443534,4.0
112,4,16,1,1,0,-0.5133285125233233,5.4
113,4,17,1,1,0,-0.2340826413705945,5.4
114,4,18,1,1,0,-1.2236353346919642,5.4
115,4,19,0,0,0,0.0,nan
116,4,20,1,1,0,-0.7004092983258888,5.6
117,4,21,0,0,0,0.0,nan
118,4,22,1,1,0,-0.4654370034737513,5.0
119,4,23,1,1,0,-1.4507958001829684,5.0
120,5,0,2,2,0,-2.131947313557379,5.2
121,5,1,2,2,0,-0.6482396607948467,4.2
122,5,2,1,1,0,-1.1078325789999217,4.6
123,5,3,2,2,0,-2.5768834569659087,3.8
124,5,4,1,1,0,-1.878645287689753,5.2
125,5,5,0,0,0,0.0,nan
126,5,6,2,2,0,-2.697628531550057,4.0
127,5,7,2,2,0,-3.0193182016443463,4.4
128,5,8,2,2,0,-1.1473831141712145,4.2
129,5,9,2,2,0,-0.6382950598848984,5.2
130,5,10,1,1,0,-0.7806705649490469,5.0
131,5,11,1,1,0,-1.1419067111061887,5.0
132,5,12,0,0,0,0.0,nan
133,5,13,0,0,0,0.0,nan
134,5,14,2,2,0,-0.9613123376369477,4.4
135,5,15,1,1,0,-0.7548901363629849,4.2
136,5,16,2,2,0,-1.9822003172291445,4.0
137,5,17,2,2,0,-3.680062364785001,4.2
138,5,18,0,0,0,0.0,nan
139,5,19,1,1,0,-2.3296191508732735,5.2
140,5,20,1,1,0,-0.6158719864673913,5.4
141,5,21,1,1,0,-1.6641213207375258,5.2
142,5,22,1,1,0,-0.5501618074839935,5.800000000000001
143,5,23,2,2,0,-2.668492380029522,3.8
144,6,0,2,2,0,-2.457387556896545,5.4
145,6,1,1,1,0,-2.683449915432371,5.2
146,6,2,1,1,0,-0.8100103806247935,5.800000000000001
147,6,3,1,1,0,-2.189379445581697,5.4
148,6,4,1,1,0,-2.4422521938858557,5.2
149,6,5,1,1,0,-1.3342105171093719,5.2
150,6,6,0,0,0,0.0,nan
151,6,7,1,1,0,-1.90847483802028,5.800000000000001
152,6,8,1,1,0,-0.2746133331079036,5.6
153,6,9,1,1,0,0.5850499089546501,5.4
154,6,10,1,1,0,-1.113589425652288,5.6
155,6,11,1,1,0,-1.4283518083970994,5.800000000000001
156,6,12,0,0,0,0.0,nan
157,6,13,1,1,0,-1.3465328105874361,5.2
158,6,14,1,1,0,-3.5724800983238967,4.8
159,6,15,0,0,0,0.0,nan
160,6,16,1,1,0,-2.610390516589396,5.2
161,6,17,1,1,0,-1.8836294003650547,5.800000000000001
162,6,18,1,1,0,-1.6772820241376758,5.4
163,6,19,1,1,0,-2.5845572766400875,5.4
164,6,20,1,1,0,-0.7461752922883607,5.2
165,6,21,1,1,0,-2.341664952488616,5.4
166,6,22,1,1,0,0.35280103962123394,5.4
167,6,23,1,1,0,-1.7035339321289211,5.6
168,7,0,1,1,0,-0.4424828955838457,4.8
169,7,1,1,1,0,-1.7325307853566483,5.4
170,7,2,1,1,0,-0.6021398185861763,5.0
171,7,3,1,1,0,-0.5891924331467598,5.2
172,7,4,0,0,0,0.0,nan
173,7,5,0,0,0,0.0,nan
174,7,6,1,1,0,-0.4348925560922362,5.6
175,7,7,1,1,0,-0.3059705686317757,5.6
176,7,8,0,0,0,0.0,nan
177,7,9,1,1,0,-0.8140550781558268,5.4
178,7,10,1,1,0,-0.5494843444330618,5.0
179,7,11,1,1,0,-1.6022440569130705,5.6
180,7,12,1,1,0,-1.0632671334734187,5.4
181,7,13,1,1,0,-0.43746751273982226,5.4
182,7,14,1,1,0,-2.0324391507022086,5.4
183,7,15,1,1,0,-0.955933181360364,6.0
184,7,16,0,0,0,0.0,nan
185,7,17,1,1,0,-0.662830115343444,6.0
186,7,18,1,1,0,-1.586503435732797,6.0
187,7,19,0,0,0,0.0,nan
188,7,20,2,2,0,-1.959298269015737,4.6
189,7,21,1,1,0,-1.9597597617255524,4.8
190,7,22,1,1,0,-0.4614895527311601,5.2
191,7,23,1,1,0,-1.9897633167998867,6.0
192,8,0,1,1,0,-1.507250911248848,5.4
193,8,1,1,1,0,-1.3093631465453655,5.2
194,8,2,1,1,0,-2.9906708612777293,4.6
195,8,3,1,1,0,-2.316655990750529,5.4
