frame,q,P_rad,x_cp,y_cp,E_pot_eV,normal_x,normal_y,normal_z,cos_theta_to_lab_z,theta_to_lab_z_deg
0,0.41025144442019174,1.2893350384430462,0.11395133130479121,0.39410828682320215,-68.11509704589844,-0.34366586515835124,0.520094532985813,0.7819178025107442,0.7819178025107442,38.56349547690176
1,0.32589626633190655,-2.4246886448837346,-0.24567480551193405,-0.21413142306945593,-67.67862701416016,0.3323018362881806,-0.5153043568814032,-0.7899600682177212,-0.7899600682177212,142.18177996394562
2,0.4338343831457528,-2.380766262221542,-0.314211686211717,-0.29913757411506386,-67.73516845703125,-0.3401946864402413,0.5302378632868442,0.7766050371036927,0.7766050371036927,39.04922175687161
3,1789.411856391315,-0.02989906407998568,1788.6120900007775,-53.49376876668627,-35.24798583984375,-0.8437247828136888,0.5025895000224903,-0.18850009372182552,-0.18850009372182552,100.86526431202898
4,4204.4366422516505,-0.029908578746824455,4202.556299612384,-125.72997771653925,-35.246971130371094,-0.843735672862512,0.5025674303817125,-0.18851019139231384,-0.18851019139231384,100.86585342747317
5,6619.4614072286,-0.029911154218037722,6616.500487571965,-197.9662086033693,-35.2466926574707,-0.8437386153459114,0.5025614669099255,-0.18851291985301177,-0.18851291985301177,100.86601261075734
6,9034.486166165976,-0.029912353116462696,9030.444669383758,-270.20244233330595,-35.24656677246094,-0.8437399844872022,0.5025586920606553,-0.1885141894177178,-0.1885141894177178,100.8660866794652
7,11449.510922235993,-0.029913046305862154,11444.388848303493,-342.43867659473005,-35.24649429321289,-0.8437407759777815,0.5025570879297693,-0.18851492334550418,-0.18851492334550418,100.86612949815193
8,13864.535676633972,-0.029913498010492905,13858.333025546413,-414.674910870938,-35.24644470214844,-0.843741291703641,0.5025560426929934,-0.1885154015645136,-0.1885154015645136,100.86615739832517
9,16279.560429937419,-0.02991381569147116,16272.277201696006,-486.91114502397005,-35.24641036987305,-0.8437416544016524,0.5025553076003503,-0.18851573788487797,-0.18851573788487797,100.86617701987302
10,18694.58518246964,-0.029914051287330285,18686.22137707746,-559.1473790215582,-35.24638366699219,-0.8437419233821917,0.5025547624471677,-0.18851598730343985,-0.18851598730343985,100.86619157141091
