r_com,min_contact,E_total,internal_E,ml_2b_E,mm_E,mm_vdw_E,mm_elec_E,wall_E
7.6525424,5.0870979,-81.720215,-81.708,-0.00020517739,-0.012009146,-0.0033582069,-0.0086510601,0
7.8135593,5.2410057,-81.719902,-81.707916,-3.4838129e-05,-0.011948167,-0.0031728703,-0.008775332,0
7.9745763,5.3953284,-81.719162,-81.707909,-5.9662852e-08,-0.01125371,-0.002838996,-0.0084147975,0
8.1355932,5.5500316,-81.717926,-81.707466,0,-0.010456505,-0.0025069441,-0.0079495925,0
8.2966102,5.7050841,-81.717644,-81.707909,0,-0.009736035,-0.0022192502,-0.0075167683,0
8.4576271,5.8604584,-81.716629,-81.707542,0,-0.0090830773,-0.0019693871,-0.0071137617,0
8.6186441,6.0161294,-81.716293,-81.707802,0,-0.008490229,-0.0017517832,-0.006738442,0
8.779661,6.1720747,-81.715492,-81.707542,0,-0.0079499027,-0.0015617696,-0.0063881632,0
8.940678,6.328274,-81.715263,-81.707809,0,-0.0074566379,-0.0013954189,-0.0060611675,0
9.1016949,6.484709,-81.714546,-81.707542,0,-0.007005204,-0.0012494144,-0.0057557593,0
9.2627119,6.641363,-81.714394,-81.707802,0,-0.0065910313,-0.001120946,-0.0054699737,0
9.4237288,6.7982209,-81.713943,-81.707733,0,-0.0062100049,-0.0010076147,-0.0052023227,0
9.5847458,6.9552689,-81.713745,-81.707886,0,-0.005858134,-0.00090736046,-0.004950759,0
9.7457627,7.1124944,-81.713219,-81.707687,0,-0.0055323998,-0.00081839191,-0.004714,0
9.9067797,7.2698858,-81.712975,-81.707748,0,-0.0052289763,-0.0007391352,-0.004489772,0
10.067797,7.4274327,-81.712479,-81.707535,0,-0.0049444316,-0.00066818373,-0.0042761518,0
10.228814,7.5851253,-81.712425,-81.707748,0,-0.0046743406,-0.00060426252,-0.0040700785,0
10.389831,7.7429547,-81.711952,-81.707535,0,-0.0044147535,-0.00054620061,-0.0038686371,0
10.550847,7.9009128,-81.711906,-81.707748,0,-0.0041607912,-0.00049291336,-0.0036678782,0
10.711864,8.058992,-81.7117,-81.707794,0,-0.0039067045,-0.00044340006,-0.0034633561,0
10.872881,8.2171852,-81.711395,-81.707748,0,-0.00364718,-0.00039675098,-0.0032503558,0
11.033898,8.3754861,-81.711166,-81.707794,0,-0.0033758483,-0.00035217183,-0.0030237085,0
11.194915,8.5338885,-81.710915,-81.707825,0,-0.0030874989,-0.00030901955,-0.0027785341,0
11.355932,8.6923871,-81.710571,-81.707794,0,-0.0027774794,-0.00026684988,-0.0025105935,0
11.516949,8.8509766,-81.710266,-81.707825,0,-0.0024436601,-0.00022547222,-0.0022182327,0
11.677966,9.0096522,-81.709885,-81.707794,0,-0.0020869712,-0.00018500461,-0.0019019272,0
11.838983,9.1684094,-81.709534,-81.707825,0,-0.0017123341,-0.00014591731,-0.0015664328,0
12,9.3272441,-81.709122,-81.707794,0,-0.0013307494,-0.00010905066,-0.0012216956,0
