      Step     Time          Energy          fmax
BFGS:    0 19:30:41      -66.184914        4.802808
BFGS:    1 19:30:41      -66.640419        2.536866
BFGS:    2 19:30:41      -67.029663        2.133820
BFGS:    3 19:30:41      -67.322891        1.801652
BFGS:    4 19:30:41      -67.534401        1.283590
BFGS:    5 19:30:41      -67.677429        0.761699
BFGS:    6 19:30:41      -67.757568        0.509046
BFGS:    7 19:30:41      -67.799904        0.554846
BFGS:    8 19:30:41      -67.834442        0.571178
BFGS:    9 19:30:41      -67.869644        0.449363
BFGS:   10 19:30:41      -67.880028        0.280555
BFGS:   11 19:30:41      -67.894218        0.149159
BFGS:   12 19:30:41      -67.889305        0.150695
BFGS:   13 19:30:41      -67.888672        0.124447
BFGS:   14 19:30:41      -67.894012        0.129231
BFGS:   15 19:30:41      -67.897598        0.126938
BFGS:   16 19:30:41      -67.905701        0.133917
BFGS:   17 19:30:41      -67.899872        0.199999
BFGS:   18 19:30:41      -67.904060        0.199263
BFGS:   19 19:30:41      -67.903984        0.166442
BFGS:   20 19:30:41      -67.905876        0.163329
BFGS:   21 19:30:41      -67.907883        0.248649
BFGS:   22 19:30:41      -67.920578        0.297249
BFGS:   23 19:30:41      -67.928169        0.329169
BFGS:   24 19:30:41      -67.932014        0.350411
BFGS:   25 19:30:41      -67.946053        0.348715
BFGS:   26 19:30:41      -67.958626        0.309323
BFGS:   27 19:30:41      -67.961212        0.355154
BFGS:   28 19:30:41      -67.986267        0.425996
BFGS:   29 19:30:41      -67.987122        0.433626
BFGS:   30 19:30:41      -68.008896        0.202116
BFGS:   31 19:30:41      -68.007484        0.212756
BFGS:   32 19:30:41      -68.013275        0.177812
BFGS:   33 19:30:41      -68.014732        0.113240
BFGS:   34 19:30:41      -68.021645        0.109353
BFGS:   35 19:30:41      -68.022720        0.079467
BFGS:   36 19:30:42      -68.022614        0.053668
BFGS:   37 19:30:42      -68.015030        0.046803
BFGS:   38 19:30:42      -68.022278        0.028577
BFGS:   39 19:30:42      -68.017998        0.015736
BFGS:   40 19:30:42      -68.009079        0.020784
BFGS:   41 19:30:42      -68.017120        0.023442
BFGS:   42 19:30:42      -68.021812        0.013015
BFGS:   43 19:30:42      -68.025360        0.009271
BFGS:   44 19:30:42      -68.024727        0.008216
BFGS:   45 19:30:42      -68.024109        0.016191
BFGS:   46 19:30:42      -68.022736        0.007669
BFGS:   47 19:30:42      -68.021446        0.008973
BFGS:   48 19:30:42      -68.024216        0.005242
BFGS:   49 19:30:42      -68.014801        0.021677
BFGS:   50 19:30:42      -68.023491        0.005326
BFGS:   51 19:30:42      -68.021317        0.005659
BFGS:   52 19:30:42      -68.018562        0.004713
BFGS:   53 19:30:42      -68.021301        0.003367
BFGS:   54 19:30:42      -68.022011        0.005114
BFGS:   55 19:30:42      -68.022675        0.007098
BFGS:   56 19:30:42      -68.019379        0.004370
BFGS:   57 19:30:42      -68.019989        0.006386
BFGS:   58 19:30:42      -68.021355        0.005320
BFGS:   59 19:30:42      -68.022163        0.005695
BFGS:   60 19:30:42      -68.025017        0.003931
BFGS:   61 19:30:42      -68.024971        0.003816
BFGS:   62 19:30:42      -68.023346        0.004702
BFGS:   63 19:30:42      -68.016838        0.020737
BFGS:   64 19:30:42      -68.021759        0.004336
BFGS:   65 19:30:42      -68.020187        0.005360
BFGS:   66 19:30:42      -68.023384        0.004127
BFGS:   67 19:30:42      -68.019730        0.104698
BFGS:   68 19:30:42      -68.020172        0.005499
BFGS:   69 19:30:42      -68.018021        0.003367
BFGS:   70 19:30:42      -68.026520        0.002794
