,E,F,R,phi,fn,EF
0,-11.584680557250977,"[[-2.0485003e-03 -3.8292276e-04  4.7777623e-05]
 [ 2.0484049e-03 -3.8380429e-04 -4.6744190e-05]
 [-1.6774370e-03  3.8342152e-04  4.2040208e-03]
 [ 1.6775324e-03  3.8330557e-04 -4.2050541e-03]]","[[-1.70683781e-02 -2.01488022e-02  1.96852123e-04]
 [ 1.70683802e-02 -2.01487680e-02  1.47980311e+00]
 [ 7.36838019e-01  7.16636451e-01 -2.02962151e-01]
 [-7.36838021e-01  7.16636463e-01  1.68296218e+00]]",91.655826192649,hper_a.xyz,"[0.0, 0.0, 0.0]"
1,-11.58711051940918,"[[-3.0859368e-04 -5.6894303e-05  7.6228580e-06]
 [ 3.0859481e-04 -5.6883178e-05 -7.6359465e-06]
 [-2.5135346e-04  5.6888039e-05  6.2781747e-04]
 [ 2.5135232e-04  5.6889443e-05 -6.2780437e-04]]","[[-1.82894945e-02 -1.99225434e-02  2.26054592e-04]
 [ 1.82894961e-02 -1.99225479e-02  1.47977395e+00]
 [ 7.41747956e-01  7.10271389e-01 -2.03883866e-01]
 [-7.41747944e-01  7.10271388e-01  1.68388385e+00]]",92.655826192649,hper_a.xyz,"[0.0, 0.0, 0.0]"
2,-11.586990356445312,"[[-8.3094015e-04 -1.5087044e-04  2.2378044e-05]
 [ 8.3084602e-04 -1.5182978e-04 -2.1245336e-05]
 [-6.7293417e-04  1.5140821e-04  1.6752696e-03]
 [ 6.7302829e-04  1.5129200e-04 -1.6764022e-03]]","[[-1.94189742e-02 -1.96731892e-02  2.54822762e-04]
 [ 1.94189761e-02 -1.96731595e-02  1.47974515e+00]
 [ 7.46630932e-01  7.03806184e-01 -2.05283699e-01]
 [-7.46630933e-01  7.03806194e-01  1.68528373e+00]]",93.655826192649,hper_a.xyz,"[0.0, 0.0, 0.0]"
3,-11.589580535888672,"[[-0.00157698 -0.00044056 -0.00013822]
 [ 0.00160548 -0.00013271 -0.00022655]
 [-0.00129574  0.00026883  0.00336467]
 [ 0.00126724  0.00030443 -0.0029999 ]]","[[-2.05317735e-02 -1.94110726e-02  2.85516626e-04]
 [ 2.05316058e-02 -1.94120296e-02  1.47971574e+00]
 [ 7.51449780e-01  6.97280151e-01 -2.06835504e-01]
 [-7.51449786e-01  6.97280088e-01  1.68683428e+00]]",94.655826192649,hper_a.xyz,"[0.0, 0.0, 0.0]"
4,-11.59134292602539,"[[ 1.4318747e-04  2.5210877e-05 -4.4731646e-06]
 [-1.4314911e-04  2.5650827e-05  3.9497645e-06]
 [ 1.1464593e-04 -2.5455189e-05 -2.8367559e-04]
 [-1.1468429e-04 -2.5406514e-05  2.8419899e-04]]","[[-2.17585631e-02 -1.91740597e-02  3.19964263e-04]
 [ 2.17585627e-02 -1.91740709e-02  1.47968005e+00]
 [ 7.56138231e-01  6.90734097e-01 -2.08025743e-01]
 [-7.56138226e-01  6.90734101e-01  1.68802572e+00]]",95.655826192649,hper_a.xyz,"[0.0, 0.0, 0.0]"
5,-11.588964462280273,"[[-6.14236633e-04 -1.04658044e-04  2.26309166e-05]
 [ 6.13749493e-04 -1.10633067e-04 -1.54934769e-05]
 [-4.88762802e-04  1.07960805e-04  1.20419706e-03]
 [ 4.89249942e-04  1.07330299e-04 -1.21133449e-03]]","[[-2.29631766e-02 -1.89270939e-02  3.56385627e-04]
 [ 2.29631777e-02 -1.89271130e-02  1.47964364e+00]
 [ 7.60766198e-01  6.84122858e-01 -2.09381496e-01]
 [-7.60766190e-01  6.84122861e-01  1.68938147e+00]]",96.655826192649,hper_a.xyz,"[0.0, 0.0, 0.0]"
6,-11.591727256774902,"[[-3.8612223e-05 -6.7136839e-06  1.2213368e-06]
 [ 3.8617542e-05 -6.6434723e-06 -1.3055713e-06]
 [-3.0585543e-05  6.6750490e-06  7.5392098e-05]
 [ 3.0580224e-05  6.6821076e-06 -7.5307864e-05]]","[[-2.41993735e-02 -1.86733327e-02  3.95789659e-04]
 [ 2.41993731e-02 -1.86733345e-02  1.47960421e+00]
 [ 7.65304139e-01  6.77473895e-01 -2.10706565e-01]
 [-7.65304130e-01  6.77473896e-01  1.69070655e+00]]",97.655826192649,hper_a.xyz,"[0.0, 0.0, 0.0]"
7,-11.591145515441895,"[[-9.4780163e-04 -1.6190094e-04  3.2621327e-05]
 [ 9.4778941e-04 -1.6207657e-04 -3.2409720e-05]
 [-7.4637093e-04  1.6199713e-04  1.8348369e-03]
 [ 7.4638316e-04  1.6198038e-04 -1.8350485e-03]]","[[-2.53718657e-02 -1.84048993e-02  4.35076529e-04]
 [ 2.53718664e-02 -1.84048900e-02  1.47956491e+00]
 [ 7.69808286e-01  6.70749963e-01 -2.12297302e-01]
 [-7.69808277e-01  6.70749965e-01  1.69229731e+00]]",98.655826192649,hper_a.xyz,"[0.0, 0.0, 0.0]"
8,-11.59139347076416,"[[-1.4592137e-03 -2.4666009e-04  5.2254134e-05]
 [ 1.4592215e-03 -2.4653634e-04 -5.2403888e-05]
 [-1.1425279e-03  2.4659265e-04  2.8033764e-03]
 [ 1.1425201e-03  2.4660380e-04 -2.8032267e-03]]","[[-2.65200990e-02 -1.81253615e-02  4.75370103e-04]
 [ 2.65200995e-02 -1.81253680e-02  1.47952464e+00]
 [ 7.74258547e-01  6.63971319e-01 -2.13997532e-01]
 [-7.74258542e-01  6.63971324e-01  1.69399752e+00]]",99.655826192649,hper_a.xyz,"[0.0, 0.0, 0.0]"
9,-11.594259262084961,"[[-1.6418822e-03 -2.7327004e-04  6.1882311e-05]
 [ 1.6418723e-03 -2.7344257e-04 -6.1672421e-05]
 [-1.2784837e-03  2.7336366e-04  3.1302152e-03]
 [ 1.2784936e-03  2.7334894e-04 -3.1304252e-03]]","[[-2.78235913e-02 -1.78740478e-02  5.23263640e-04]
 [ 2.78235924e-02 -1.78740522e-02  1.47947674e+00]
 [ 7.78552081e-01  6.57184301e-01 -2.15243890e-01]
 [-7.78552071e-01  6.57184301e-01  1.69524388e+00]]",100.655826192649,hper_a.xyz,"[0.0, 0.0, 0.0]"
