,E,F,R,phi,fn,EF
0,-11.404632568359375,"[[-8.5526827e-04 -8.3195140e-05  1.0471699e-04]
 [ 8.6559710e-04 -2.5312181e-04  7.0506212e-05]
 [-7.0324779e-04  1.7334492e-04  1.6745279e-03]
 [ 6.9291890e-04  1.6297204e-04 -1.8497511e-03]]","[[-0.01512548 -0.02646834 -0.00734539]
 [ 0.01562022 -0.01299037  1.47227384]
 [ 0.73590731  0.71569657 -0.20136073]
 [-0.73910669  0.7162967   1.69816895]]",91.655826192649,hper_a.xyz,"[-0.02, -0.02, -0.02]"
1,-11.407846450805664,"[[-0.00073163  0.00181712  0.00222526]
 [ 0.00037104 -0.00200619  0.00223604]
 [-0.00016526  0.00031995 -0.00124062]
 [ 0.00052585 -0.00013088 -0.00322067]]","[[-0.01641224 -0.02641151 -0.00749052]
 [ 0.01686821 -0.01264047  1.47207116]
 [ 0.74081081  0.70941043 -0.20160464]
 [-0.74400337  0.70996496  1.69882386]]",92.655826192649,hper_a.xyz,"[-0.02, -0.02, -0.02]"
2,-11.410848617553711,"[[ 6.0651277e-04 -1.0302401e-03 -1.3119897e-03]
 [-4.1149379e-04  1.2091040e-03 -1.3075512e-03]
 [ 2.5520730e-04 -2.1547338e-04  3.5795534e-04]
 [-4.5022625e-04  3.6609497e-05  2.2615856e-03]]","[[-0.01775735 -0.02599924 -0.00724003]
 [ 0.01811812 -0.01262281  1.47226463]
 [ 0.74567004  0.70311197 -0.20237179]
 [-0.74877388  0.70353049  1.69920528]]",93.655826192649,hper_a.xyz,"[-0.02, -0.02, -0.02]"
3,-11.414457321166992,"[[ 7.3566590e-04  7.7883300e-04  7.2151329e-04]
 [-8.7338244e-04 -4.7166762e-04  7.7485899e-04]
 [ 7.4875163e-04 -7.9750142e-05 -2.4007137e-03]
 [-6.1103510e-04 -2.2741521e-04  9.0434146e-04]]","[[-0.01910465 -0.02586747 -0.00731285]
 [ 0.01941934 -0.01232517  1.47212371]
 [ 0.75040409  0.69672792 -0.20279467]
 [-0.75347314  0.69708487  1.69988574]]",94.655826192649,hper_a.xyz,"[-0.02, -0.02, -0.02]"
4,-11.41543960571289,"[[ 7.6251675e-04  1.5644198e-03  1.6234235e-03]
 [-1.0260337e-03 -1.2187795e-03  1.6986534e-03]
 [ 9.2117733e-04 -1.9997195e-05 -3.5305107e-03]
 [-6.5766042e-04 -3.2564317e-04  2.0843375e-04]]","[[-0.02044179 -0.02565534 -0.00729408]
 [ 0.02069305 -0.01210229  1.47207208]
 [ 0.75508861  0.69027271 -0.20350973]
 [-0.7580989   0.69055094  1.70068201]]",95.655826192649,hper_a.xyz,"[-0.02, -0.02, -0.02]"
5,-11.421121597290039,"[[ 0.00124884  0.00070641  0.00053073]
 [-0.00136446 -0.0002309   0.00061685]
 [ 0.00112204 -0.00018308 -0.00317682]
 [-0.00100642 -0.00029243  0.00202925]]","[[-0.02186342 -0.02542008 -0.00722972]
 [ 0.02204603 -0.01192592  1.47205723]
 [ 0.75965458  0.68378441 -0.2041042 ]
 [-0.76260499  0.68397672  1.70128037]]",96.655826192649,hper_a.xyz,"[-0.02, -0.02, -0.02]"
6,-11.423768997192383,"[[ 1.8865652e-04  5.1498855e-04  5.5539253e-04]
 [-2.6538767e-04 -4.2785428e-04  5.7831057e-04]
 [ 2.4348714e-04  3.4722077e-06 -1.0423177e-03]
 [-1.6675598e-04 -9.0606482e-05 -9.1385453e-05]]","[[-0.02315482 -0.02522455 -0.00726743]
 [ 0.02328548 -0.01163309  1.47194133]
 [ 0.76421889  0.67719553 -0.20513007]
 [-0.76709155  0.67732003  1.70248132]]",97.655826192649,hper_a.xyz,"[-0.02, -0.02, -0.02]"
7,-11.425436019897461,"[[ 2.5238769e-04  1.9460784e-03  2.2174066e-03]
 [-5.1907689e-04 -1.7837366e-03  2.2774606e-03]
 [ 5.3892692e-04  9.4030242e-05 -3.1230068e-03]
 [-2.7223772e-04 -2.5637198e-04 -1.3718606e-03]]","[[-0.02453669 -0.02502871 -0.00727945]
 [ 0.02461126 -0.0113789   1.47184129]
 [ 0.76866561  0.67057153 -0.2059535 ]
 [-0.77145906  0.67062954  1.70343894]]",98.655826192649,hper_a.xyz,"[-0.02, -0.02, -0.02]"
8,-11.426984786987305,"[[ 8.5414486e-04  1.4835557e-03  1.5501226e-03]
 [-1.0481448e-03 -1.1383621e-03  1.6410880e-03]
 [ 9.1300992e-04 -5.1777955e-05 -3.5131173e-03]
 [-7.1901002e-04 -2.9341562e-04  3.2190667e-04]]","[[-0.02600925 -0.02477601 -0.00719451]
 [ 0.02600577 -0.01120111  1.47182888]
 [ 0.77298367  0.66391384 -0.20673786]
 [-0.77571124  0.66389321  1.70420451]]",99.655826192649,hper_a.xyz,"[-0.02, -0.02, -0.02]"
9,-11.431313514709473,"[[ 0.00121881  0.00092727  0.00081926]
 [-0.00133793 -0.000487    0.00092668]
 [ 0.00109241 -0.00015476 -0.00335796]
 [-0.00097329 -0.00028551  0.00161202]]","[[-0.02744728 -0.02437573 -0.00696681]
 [ 0.02736745 -0.01113635  1.4719585 ]
 [ 0.7772807   0.65720474 -0.2078695 ]
 [-0.77989542  0.65708436  1.70500073]]",100.655826192649,hper_a.xyz,"[-0.02, -0.02, -0.02]"
