ray,direction,orientation,r_com,E_ml,E_charmm,E_xtb
68,2,20,3.0000,0.52318573,nan,10.296971
68,2,20,3.2000,-1.4443932,nan,7.6009328
68,2,20,3.4000,-0.37722397,nan,5.4186206
68,2,20,3.6000,0.46696472,nan,3.3817336
68,2,20,3.8000,0.28643799,nan,1.8048492
68,2,20,4.0000,0.25170517,nan,0.83731764
68,2,20,4.2000,0.2940712,nan,0.34057896
68,2,20,4.4000,0.17931747,nan,0.11598541
68,2,20,4.6000,0.079364777,nan,0.023688139
68,2,20,4.8000,0.057655334,nan,-0.010094447
68,2,20,5.0000,0.045043945,nan,-0.019692725
68,2,20,5.2000,0.024044037,nan,-0.020100854
68,2,20,5.4000,-0.0051841736,nan,-0.017666201
68,2,20,5.6000,-0.017883301,nan,-0.014730628
68,2,20,5.8000,-0.017150879,nan,-0.011895763
68,2,20,6.0000,-0.013969421,nan,-0.0092972847
68,2,20,6.2000,-0.011276245,nan,-0.0069928102
68,2,20,6.4000,-0.0089454651,nan,-0.0050122852
68,2,20,6.6000,-0.0065040588,nan,-0.003359589
68,2,20,6.8000,-0.0049057007,nan,-0.002015832
68,2,20,7.0000,-0.0036659241,nan,-0.00094726892
68,2,20,7.2000,-0.0027656555,nan,-0.00011371591
68,2,20,7.4000,-0.0023880005,nan,0.00052510483
68,2,20,7.6000,-0.0017089844,nan,0.0010059391
68,2,20,7.8000,-0.0013504028,nan,0.0013605122
68,2,20,8.0000,-0.0012359619,nan,0.0016153044
68,2,20,8.2000,-0.00032806396,nan,0.0017919253
68,2,20,8.4000,-0.00072479248,nan,0.0019077179
68,2,20,8.6000,-9.9182129e-05,nan,0.0019764243
68,2,20,8.8000,-0.0004234314,nan,0.0020088399
68,2,20,9.0000,-1.9073486e-05,nan,0.0020134135
68,2,20,9.2000,0.00030136108,nan,0.0019967673
68,2,20,9.4000,0.00038528442,nan,0.0019641204
68,2,20,9.6000,0.00022125244,nan,0.0019196169
68,2,20,9.8000,-0.00025939941,nan,0.0018665685
68,2,20,10.0000,0,nan,0.0018595516
147,6,3,3.0000,18.614027,nan,76.496185
147,6,3,3.2000,13.801304,nan,65.397182
147,6,3,3.4000,9.7647552,nan,47.780944
147,6,3,3.6000,6.7042809,nan,31.233814
147,6,3,3.8000,4.4123802,nan,19.747731
147,6,3,4.0000,2.6080017,nan,12.788021
147,6,3,4.2000,-0.27211761,nan,8.5509006
147,6,3,4.4000,-1.3938599,nan,5.8785869
147,6,3,4.6000,-0.094982147,nan,3.8699885
147,6,3,4.8000,1.7071304,nan,2.2724896
147,6,3,5.0000,1.8274078,nan,1.1497027
147,6,3,5.2000,1.3421631,nan,0.49356496
147,6,3,5.4000,0.82059097,nan,0.17121138
147,6,3,5.6000,0.377388,nan,0.034250843
147,6,3,5.8000,0.13565826,nan,-0.016556586
147,6,3,6.0000,0.032783508,nan,-0.031609149
147,6,3,6.2000,-0.006023407,nan,-0.033097773
147,6,3,6.4000,-0.017879486,nan,-0.03001816
147,6,3,6.6000,-0.020202637,nan,-0.025953063
147,6,3,6.8000,-0.018852234,nan,-0.022163235
147,6,3,7.0000,-0.016475677,nan,-0.01881164
