ray,direction,orientation,n_min,n_min_ml,n_min_wall,e_min_kcal,r_at_min
0,0,0,1,1,0,-1.7058914794921876,5.800000000000001
1,0,1,3,3,0,-0.007565319061279298,6.6
2,0,2,1,1,0,-0.817230396270752,6.0
3,0,3,1,1,0,-0.7414012680053711,6.4
4,0,4,5,5,0,-0.9337011222839356,5.4
5,0,5,3,3,0,-1.6780933303833008,5.0
6,0,6,2,2,0,-0.424713493347168,6.0
7,0,7,1,1,0,-1.777674041748047,5.800000000000001
8,0,8,2,2,0,-1.4843859748840333,4.8
9,0,9,1,1,0,-0.6430521202087403,5.2
10,0,10,1,1,0,-1.6495914306640627,5.800000000000001
11,0,11,2,2,0,-0.8246197776794434,5.2
12,0,12,2,2,0,-1.3214677085876465,5.0
13,0,13,3,3,0,-0.4041287879943848,6.2
14,0,14,2,2,0,-0.9110051651000977,5.2
15,0,15,1,1,0,-0.8566404304504395,5.2
16,0,16,2,2,0,-0.4859397964477539,5.800000000000001
17,0,17,3,3,0,-1.0737474937438964,5.0
18,0,18,1,1,0,-0.9896492958068848,5.0
19,0,19,2,2,0,-1.5095450592041015,5.800000000000001
20,0,20,3,3,0,-0.4623641510009766,4.8
21,0,21,4,4,0,-0.3335777893066406,6.0
22,0,22,4,4,0,-0.7246871910095215,5.800000000000001
23,0,23,2,2,0,-0.039761909484863286,5.800000000000001
24,1,0,3,3,0,-0.5492773513793946,5.800000000000001
25,1,1,1,1,0,-0.19282766723632813,5.2
26,1,2,2,2,0,-1.1221303482055665,5.4
27,1,3,4,4,0,-1.1520397491455079,4.6
28,1,4,2,2,0,-0.013019386291503907,5.6
29,1,5,2,2,0,-1.2535557746887207,5.4
30,1,6,1,1,0,-0.9694164657592774,5.6
31,1,7,4,4,0,-0.5008944969177246,5.6
32,1,8,2,2,0,-0.7090287399291992,5.800000000000001
33,1,9,2,2,0,-0.6405889930725098,6.2
34,1,10,1,1,0,-3.0813720474243165,5.0
35,1,11,1,1,0,0.154473258972168,6.2
36,1,12,2,2,0,-1.8886907005310059,4.8
37,1,13,3,3,0,-0.7830984916687012,5.4
38,1,14,1,1,0,-0.37527501296997073,5.2
39,1,15,6,6,0,-1.0287074546813966,5.2
40,1,16,0,0,0,0.0,nan
41,1,17,5,5,0,-0.49121792602539066,5.6
42,1,18,3,3,0,-0.14514856338500978,6.2
43,1,19,5,5,0,-0.32354934310913086,6.0
44,1,20,6,5,1,-0.5438232841491699,6.0
45,1,21,2,2,0,-0.44565007400512696,5.4
46,1,22,2,1,1,-0.899393280029297,6.2
47,1,23,4,4,0,-0.9238486137390137,5.2
48,2,0,4,4,0,-1.381990261077881,4.8
49,2,1,1,1,0,-4.347595333099365,5.0
50,2,2,3,3,0,-1.2785389213562013,4.6
51,2,3,3,3,0,-0.991056797027588,5.0
52,2,4,1,1,0,-2.8067333717346195,4.8
53,2,5,5,5,0,-1.230683879852295,5.0
54,2,6,2,2,0,-2.131484661102295,4.8
55,2,7,4,4,0,-0.7037506103515625,5.4
56,2,8,3,3,0,-0.6075127143859863,5.2
57,2,9,1,1,0,-1.1041847076416016,4.8
58,2,10,4,4,0,-1.2373695106506348,5.0
59,2,11,2,2,0,-7.3877979698181155,4.0
60,2,12,2,2,0,-1.0223736991882324,4.8
61,2,13,5,5,0,-2.5324465713500977,3.8
62,2,14,2,2,0,-3.2175477905273437,4.8
63,2,15,2,2,0,-1.0163918190002441,5.2
64,2,16,1,1,0,-5.755800304412842,5.0
65,2,17,5,5,0,-0.807553825378418,5.0
66,2,18,4,4,0,-3.8611277236938477,4.0
67,2,19,0,0,0,0.0,nan
68,2,20,2,2,0,-2.336100151062012,4.8
69,2,21,1,1,0,-2.3990858306884766,5.0
70,2,22,2,2,0,-1.6974464721679687,4.8
71,2,23,3,3,0,-0.6641646385192871,5.4
72,3,0,1,1,0,-1.8835885086059572,5.0
73,3,1,2,2,0,-1.1610125694274902,5.6
74,3,2,1,1,0,-2.012374870300293,4.6
75,3,3,2,2,0,-0.5962527046203614,6.0
76,3,4,3,3,0,-0.8196935234069824,5.800000000000001
77,3,5,1,1,0,-1.6189782791137697,5.0
78,3,6,1,1,0,-3.2905619163513187,5.2
79,3,7,1,1,0,-1.61809859085083,5.0
80,3,8,2,2,0,-0.8635019989013673,5.800000000000001
81,3,9,2,2,0,-4.541478626251221,4.4
82,3,10,1,1,0,-1.9879195365905762,5.0
83,3,11,3,3,0,-1.73404150390625,4.8
84,3,12,1,1,0,-1.742310573577881,5.800000000000001
