,E,F,R,phi,fn,EF
0,-11.63409423828125,"[[-1.9396035e-03 -3.6065149e-04  4.5478049e-05]
 [ 1.9396164e-03 -3.6053316e-04 -4.5616933e-05]
 [-1.5886382e-03  3.6058447e-04  3.9808596e-03]
 [ 1.5886253e-03  3.6060018e-04 -3.9807209e-03]]","[[-1.73724909e-02 -2.02311026e-02  2.03947032e-04]
 [ 1.73724899e-02 -2.02310986e-02  1.47979605e+00]
 [ 7.36625134e-01  7.16697248e-01 -2.02095670e-01]
 [-7.36625135e-01  7.16697248e-01  1.68209568e+00]]",91.655826192649,hper_a.xyz,"[0.01, 0.01, 0.01]"
1,-11.63327693939209,"[[ 5.22357586e-05  9.50239610e-06 -1.34683592e-06]
 [-5.22317641e-05  9.54059851e-06  1.30181854e-06]
 [ 4.25637991e-05 -9.52395021e-06 -1.06226296e-04]
 [-4.25677972e-05 -9.51904531e-06  1.06271313e-04]]","[[-1.87558257e-02 -2.00457309e-02  2.37723307e-04]
 [ 1.87558252e-02 -2.00457227e-02  1.47976227e+00]
 [ 7.41452558e-01  7.10386527e-01 -2.02377372e-01]
 [-7.41452561e-01  7.10386527e-01  1.68237738e+00]]",92.655826192649,hper_a.xyz,"[0.01, 0.01, 0.01]"
2,-11.634087562561035,"[[-1.9199537e-03 -3.4663637e-04  5.1559949e-05]
 [ 1.9199251e-03 -3.4692624e-04 -5.1217361e-05]
 [-1.5555099e-03  3.4679906e-04  3.8718267e-03]
 [ 1.5555385e-03  3.4676355e-04 -3.8721694e-03]]","[[-1.97995786e-02 -1.97740605e-02  2.64923730e-04]
 [ 1.97995776e-02 -1.97740528e-02  1.47973507e+00]
 [ 7.46374366e-01  7.03883576e-01 -2.04180809e-01]
 [-7.46374369e-01  7.03883577e-01  1.68418082e+00]]",93.655826192649,hper_a.xyz,"[0.01, 0.01, 0.01]"
3,-11.63583755493164,"[[ 2.6733387e-04  4.7358964e-05 -7.5926041e-06]
 [-2.6734962e-04  4.7192385e-05  7.7904488e-06]
 [ 2.1552354e-04 -4.7265799e-05 -5.3463707e-04]
 [-2.1550780e-04 -4.7285550e-05  5.3443923e-04]]","[[-2.12812847e-02 -1.96036631e-02  3.06066327e-04]
 [ 2.12812848e-02 -1.96036527e-02  1.47969392e+00]
 [ 7.50999624e-01  6.97471782e-01 -2.04354509e-01]
 [-7.50999625e-01  6.97471783e-01  1.68435452e+00]]",94.655826192649,hper_a.xyz,"[0.01, 0.01, 0.01]"
4,-11.635887145996094,"[[-5.2547856e-04 -9.1657130e-05  1.6050115e-05]
 [ 5.2546820e-04 -9.1773822e-05 -1.5910991e-05]
 [-4.2124101e-04  9.1722090e-05  1.0418975e-03]
 [ 4.2125137e-04  9.1708862e-05 -1.0420366e-03]]","[[-2.24942779e-02 -1.93600106e-02  3.41956603e-04]
 [ 2.24942781e-02 -1.93599942e-02  1.47965802e+00]
 [ 7.55687326e-01  6.90909202e-01 -2.05696837e-01]
 [-7.55687328e-01  6.90909204e-01  1.68569686e+00]]",95.655826192649,hper_a.xyz,"[0.01, 0.01, 0.01]"
5,-11.638300895690918,"[[ 4.0797275e-04  7.0258880e-05 -1.3018754e-05]
 [-4.0798611e-04  7.0098824e-05  1.3210405e-05]
 [ 3.2526747e-04 -7.0170172e-05 -8.0250244e-04]
 [-3.2525411e-04 -7.0187532e-05  8.0231077e-04]]","[[-2.37751657e-02 -1.91273029e-02  3.82033450e-04]
 [ 2.37751651e-02 -1.91273089e-02  1.47961797e+00]
 [ 7.60266156e-01  6.84309945e-01 -2.06876721e-01]
 [-7.60266155e-01  6.84309944e-01  1.68687672e+00]]",96.655826192649,hper_a.xyz,"[0.01, 0.01, 0.01]"
6,-11.638690948486328,"[[ 7.22733512e-06  1.14977536e-06 -3.33900374e-07]
 [-7.21583183e-06  1.29766772e-06  1.56011950e-07]
 [ 5.72009867e-06 -1.23138591e-06 -1.40010116e-05]
 [-5.73160196e-06 -1.21605717e-06  1.41789005e-05]]","[[-2.50863784e-02 -1.88957564e-02  4.25334839e-04]
 [ 2.50863780e-02 -1.88957426e-02  1.47957465e+00]
 [ 7.64755473e-01  6.77662708e-01 -2.08038339e-01]
 [-7.64755475e-01  6.77662709e-01  1.68803835e+00]]",97.655826192649,hper_a.xyz,"[0.01, 0.01, 0.01]"
7,-11.639494895935059,"[[-2.3726870e-03 -3.9840111e-04  8.4003419e-05]
 [ 2.3726814e-03 -3.9847958e-04 -8.3908679e-05]
 [-1.8701896e-03  3.9844419e-04  4.5932303e-03]
 [ 1.8701951e-03  3.9843650e-04 -4.5933253e-03]]","[[-2.61680915e-02 -1.86063930e-02  4.62824554e-04]
 [ 2.61680909e-02 -1.86063896e-02  1.47953717e+00]
 [ 7.69302740e-01  6.70901062e-01 -2.10028441e-01]
 [-7.69302741e-01  6.70901062e-01  1.69002845e+00]]",98.655826192649,hper_a.xyz,"[0.01, 0.01, 0.01]"
8,-11.640951156616211,"[[-2.3883902e-03 -3.9543086e-04  8.8625115e-05]
 [ 2.3883993e-03 -3.9529367e-04 -8.8791574e-05]
 [-1.8721634e-03  3.9535586e-04  4.5882794e-03]
 [ 1.8721543e-03  3.9536867e-04 -4.5881127e-03]]","[[-2.74657052e-02 -1.83622855e-02  5.09879541e-04]
 [ 2.74657043e-02 -1.83622819e-02  1.47949012e+00]
 [ 7.73659707e-01  6.64144805e-01 -2.11346421e-01]
 [-7.73659709e-01  6.64144804e-01  1.69134643e+00]]",99.655826192649,hper_a.xyz,"[0.01, 0.01, 0.01]"
9,-11.640936851501465,"[[-2.0125548e-03 -3.2812112e-04  7.8178804e-05]
 [ 2.0125848e-03 -3.2761111e-04 -7.8800593e-05]
 [-1.5690218e-03  3.2784353e-04  3.8374136e-03]
 [ 1.5689919e-03  3.2788867e-04 -3.8367920e-03]]","[[-2.88378849e-02 -1.81209953e-02  5.62165608e-04]
 [ 2.88378829e-02 -1.81210719e-02  1.47943792e+00]
 [ 7.77903527e-01  6.57362817e-01 -2.12489145e-01]
 [-7.77903519e-01  6.57362809e-01  1.69248905e+00]]",100.655826192649,hper_a.xyz,"[0.01, 0.01, 0.01]"
10,-11.64048957824707,"[[-2.3017069e-03 -3.6948061e-04  9.3992421e-05]
 [ 2.3016937e-03 -3.6973183e-04 -9.3684372e-05]
 [-1.7845122e-03  3.6961678e-04  4.3558008e-03]
 [ 1.7845256e-03  3.6959568e-04 -4.3561091e-03]]","[[-3.01441407e-02 -1.78650627e-02  6.14225783e-04]
 [ 3.01441409e-02 -1.78650716e-02  1.47938578e+00]
 [ 7.82118568e-01  6.50510971e-01 -2.13870543e-01]
 [-7.82118568e-01  6.50510969e-01  1.69387053e+00]]",101.655826192649,hper_a.xyz,"[0.01, 0.01, 0.01]"
11,-11.641592025756836,"[[-1.8019961e-03 -2.8436701e-04  7.6986653e-05]
 [ 1.8019953e-03 -2.8438788e-04 -7.6960983e-05]
 [-1.3896888e-03  2.8437824e-04  3.3855799e-03]
 [ 1.3896897e-03  2.8437661e-04 -3.3856058e-03]]","[[-3.15809469e-02 -1.76226433e-02  6.74182888e-04]
 [ 3.15809446e-02 -1.76226191e-02  1.47932579e+00]
 [ 7.86188871e-01  6.43647858e-01 -2.14905951e-01]
 [-7.86188877e-01  6.43647861e-01  1.69490598e+00]]",102.655826192649,hper_a.xyz,"[0.01, 0.01, 0.01]"
