,E,F,R,phi
11,-11.64159107208252,"[[-1.8021017e-03 -2.8430967e-04  7.7081349e-05]
 [ 1.8020939e-03 -2.8447679e-04 -7.6875243e-05]
 [-1.3897641e-03  2.8439990e-04  3.3856814e-03]
 [ 1.3897719e-03  2.8438657e-04 -3.3858877e-03]]","[[-3.15809958e-02 -1.76226412e-02  6.74200488e-04]
 [ 3.15809948e-02 -1.76226447e-02  1.47932580e+00]
 [ 7.86188843e-01  6.43647869e-01 -2.14905829e-01]
 [-7.86188844e-01  6.43647868e-01  1.69490582e+00]]",102.655826192649
12,-11.642688751220703,"[[ 1.0210921e-04  1.4499502e-05 -6.1768760e-06]
 [-1.0200334e-04  1.7085833e-05  2.9675978e-06]
 [ 7.8248617e-05 -1.5890706e-05 -1.8878179e-04]
 [-7.8354497e-05 -1.5694630e-05  1.9199107e-04]]","[[-3.31196179e-02 -1.73988642e-02  7.41491737e-04]
 [ 3.31196189e-02 -1.73988083e-02  1.47925844e+00]
 [ 7.90130324e-01  6.36752607e-01 -2.15698643e-01]
 [-7.90130328e-01  6.36752611e-01  1.69569871e+00]]",103.655826192649
13,-11.641952514648438,"[[ 3.08096758e-04  4.68940525e-05 -1.44373635e-05]
 [-3.08092276e-04  4.70244195e-05  1.42746349e-05]
 [ 2.35113039e-04 -4.69638835e-05 -5.70672040e-04]
 [-2.35117521e-04 -4.69545848e-05  5.70834789e-04]]","[[-3.44437328e-02 -1.71161471e-02  8.02044624e-04]
 [ 3.44437336e-02 -1.71161609e-02  1.47919797e+00]
 [ 7.94143007e-01  6.29780570e-01 -2.17073148e-01]
 [-7.94143005e-01  6.29780568e-01  1.69707313e+00]]",104.655826192649
14,-11.644858360290527,"[[-0.00221127 -0.00033309  0.00010641]
 [ 0.00221127 -0.00033296 -0.00010657]
 [-0.00167823  0.00033302  0.00406843]
 [ 0.00167822  0.00033303 -0.00406827]]","[[-3.55957262e-02 -1.67892948e-02  8.56576617e-04]
 [ 3.55957239e-02 -1.67892309e-02  1.47914335e+00]
 [ 7.98208630e-01  6.22744293e-01 -2.18843289e-01]
 [-7.98208638e-01  6.22744298e-01  1.69884337e+00]]",105.655826192649
15,-11.64419937133789,"[[-1.8456662e-03 -2.7378410e-04  9.2036964e-05]
 [ 1.8456684e-03 -2.7367327e-04 -9.2176946e-05]
 [-1.3934717e-03  2.7372525e-04  3.3729747e-03]
 [ 1.3934695e-03  2.7373212e-04 -3.3728348e-03]]","[[-3.68833703e-02 -1.64848271e-02  9.19758797e-04]
 [ 3.68833711e-02 -1.64848432e-02  1.47908026e+00]
 [ 8.02134198e-01  6.15694512e-01 -2.20213119e-01]
 [-8.02134198e-01  6.15694509e-01  1.70021310e+00]]",106.655826192649
16,-11.645264625549316,"[[-1.2406386e-03 -2.0419195e-04  3.4638022e-05]
 [ 1.2412890e-03 -1.5776962e-04 -9.3697461e-05]
 [-9.3255495e-04  1.7963465e-04  2.2824374e-03]
 [ 9.3190465e-04  1.8232693e-04 -2.2233780e-03]]","[[-3.82128082e-02 -1.61828318e-02  9.82407810e-04]
 [ 3.82127654e-02 -1.61749289e-02  1.47900782e+00]
 [ 8.05981168e-01  6.08619686e-01 -2.21412072e-01]
 [-8.05981504e-01  6.08620179e-01  1.70142198e+00]]",107.655826192649
17,-11.644030570983887,"[[-8.1492717e-06 -1.2763140e-06  2.9660879e-07]
 [ 8.1507378e-06 -1.0577821e-06 -5.7656018e-07]
 [-6.0937332e-06  1.1611477e-06  1.4840595e-05]
 [ 6.0922666e-06  1.1729485e-06 -1.4560644e-05]]","[[-3.95840225e-02 -1.58717486e-02  1.05946469e-03]
 [ 3.95840212e-02 -1.58717380e-02  1.47894052e+00]
 [ 8.09751981e-01  6.01520364e-01 -2.22449575e-01]
 [-8.09751978e-01  6.01520361e-01  1.70244959e+00]]",108.655826192649
18,-11.643974304199219,"[[-8.38199630e-04 -1.18287193e-04  4.60700430e-05]
 [ 8.38199514e-04 -1.17967669e-04 -4.64823133e-05]
 [-6.23633154e-04  1.18119468e-04  1.50248746e-03]
 [ 6.23633270e-04  1.18135395e-04 -1.50207523e-03]]","[[-4.07925554e-02 -1.55236191e-02  1.12518730e-03]
 [ 4.07925545e-02 -1.55235947e-02  1.47887478e+00]
 [ 8.13586211e-01  5.94371037e-01 -2.23744529e-01]
 [-8.13586209e-01  5.94371035e-01  1.70374456e+00]]",109.655826192649
19,-11.645280838012695,"[[-3.1263338e-04 -4.3201944e-05  1.7880639e-05]
 [ 3.1263425e-04 -4.3318567e-05 -1.7729011e-05]
 [-2.3155625e-04  4.3262939e-05  5.5676163e-04]
 [ 2.3155537e-04  4.3257576e-05 -5.5691326e-04]]","[[-4.20756018e-02 -1.51815653e-02  1.19716109e-03]
 [ 4.20756002e-02 -1.51815758e-02  1.47880285e+00]
 [ 8.17328965e-01  5.87204290e-01 -2.24758644e-01]
 [-8.17328963e-01  5.87204288e-01  1.70475863e+00]]",110.655826192649
20,-11.645009994506836,"[[-0.00227886 -0.00031056  0.00013303]
 [ 0.00227886 -0.00031047 -0.00013315]
 [-0.00168027  0.00031052  0.00403387]
 [ 0.00168027  0.00031052 -0.00403375]]","[[-4.31435080e-02 -1.47876219e-02  1.25874287e-03]
 [ 4.31435047e-02 -1.47876139e-02  1.47874125e+00]
 [ 8.21181967e-01  5.79991816e-01 -2.26073271e-01]
 [-8.21181967e-01  5.79991816e-01  1.70607328e+00]]",111.655826192649
21,-11.645787239074707,"[[-0.00179662 -0.00024054  0.00010768]
 [ 0.00179663 -0.00024057 -0.00010764]
 [-0.00131916  0.00024055  0.00316094]
 [ 0.00131916  0.00024055 -0.00316097]]","[[-4.42638804e-02 -1.43998301e-02  1.32503435e-03]
 [ 4.42638795e-02 -1.43998337e-02  1.47867497e+00]
 [ 8.24964607e-01  5.72758624e-01 -2.27121321e-01]
 [-8.24964606e-01  5.72758623e-01  1.70712132e+00]]",112.655826192649
22,-11.64593505859375,"[[-9.6499902e-04 -1.2675636e-04  5.9302638e-05]
 [ 9.6499774e-04 -1.2671259e-04 -5.9360940e-05]
 [-7.0580497e-04  1.2673374e-04  1.6877693e-03]
 [ 7.0580631e-04  1.2673523e-04 -1.6877111e-03]]","[[-4.54122749e-02 -1.40087179e-02  1.39474595e-03]
 [ 4.54122740e-02 -1.40087221e-02  1.47860526e+00]
 [ 8.28697107e-01  5.65507358e-01 -2.27940932e-01]
 [-8.28697108e-01  5.65507357e-01  1.70794093e+00]]",113.655826192649
23,-11.64480972290039,"[[-7.1083166e-04 -9.1483329e-05  4.4992827e-05]
 [ 7.1085128e-04 -9.2016504e-05 -4.4276640e-05]
 [-5.1797234e-04  9.1758040e-05  1.2355427e-03]
 [ 5.1795272e-04  9.1741793e-05 -1.2362589e-03]]","[[-4.63743080e-02 -1.35802571e-02  1.45451255e-03]
 [ 4.63743073e-02 -1.35802423e-02  1.47854547e+00]
 [ 8.32531955e-01  5.58214039e-01 -2.28927803e-01]
 [-8.32531956e-01  5.58214038e-01  1.70892782e+00]]",114.655826192649
24,-11.644362449645996,"[[-7.0212269e-04 -8.9036774e-05  4.4939683e-05]
 [ 7.0212223e-04 -8.9026937e-05 -4.4952991e-05]
 [-5.0982367e-04  8.9031724e-05  1.2136491e-03]
 [ 5.0982414e-04  8.9031986e-05 -1.2136358e-03]]","[[-4.72743011e-02 -1.31389460e-02  1.51160176e-03]
 [ 4.72743024e-02 -1.31389743e-02  1.47848843e+00]
 [ 8.36385654e-01  5.50891462e-01 -2.29823069e-01]
 [-8.36385653e-01  5.50891461e-01  1.70982304e+00]]",115.655826192649
25,-11.645410537719727,"[[ 1.2978839e-03  1.6108237e-04 -8.4915700e-05]
 [-1.2978864e-03  1.6113055e-04  8.4849751e-05]
 [ 9.3957322e-04 -1.6110703e-04 -2.2307469e-03]
 [-9.3957072e-04 -1.6110590e-04  2.2308128e-03]]","[[-4.82934196e-02 -1.27247524e-02  1.57753214e-03]
 [ 4.82934187e-02 -1.27247572e-02  1.47842247e+00]
 [ 8.40131220e-01  5.43546989e-01 -2.30293887e-01]
 [-8.40131222e-01  5.43546990e-01  1.71029388e+00]]",116.655826192649
26,-11.644763946533203,"[[ 9.63079219e-04  1.17328964e-04 -6.40207800e-05]
 [-9.63082653e-04  1.17387179e-04  6.39403515e-05]
 [ 6.95168565e-04 -1.17358650e-04 -1.64590834e-03]
 [-6.95165130e-04 -1.17357493e-04  1.64598878e-03]]","[[-4.90524575e-02 -1.22284374e-02  1.62756540e-03]
 [ 4.90524567e-02 -1.22284422e-02  1.47837244e+00]
 [ 8.44043597e-01  5.36195179e-01 -2.30992127e-01]
 [-8.44043598e-01  5.36195179e-01  1.71099212e+00]]",117.655826192649
