,E,F,R,phi,fn
10,-11.604552268981934,"[[ 8.2697376e-04  1.6847540e-03  1.8396497e-03]
 [-9.6969370e-04 -1.3883796e-03  1.9013246e-03]
 [ 7.4665464e-04 -3.0531421e-05 -3.5469059e-03]
 [-6.0393475e-04 -2.6584300e-04 -1.9406837e-04]]","[[-0.028047   -0.01582027  0.00233372]
 [ 0.02801327 -0.01891434  1.48126837]
 [ 0.78356744  0.650159   -0.22184156]
 [-0.78319291  0.65001201  1.69802406]]",101.655826192649,hper_a.xyz
11,-11.604619026184082,"[[ 1.9836790e-04  3.0850302e-03  3.7141594e-03]
 [-4.5388413e-04 -2.9879459e-03  3.7287427e-03]
 [ 3.4464465e-04  1.7258777e-04 -4.2922944e-03]
 [-8.9128429e-05 -2.6967213e-04 -3.1506077e-03]]","[[-0.0294123  -0.01573554  0.00219522]
 [ 0.0294085  -0.01850187  1.48102329]
 [ 0.78768061  0.64329698 -0.22260751]
 [-0.78734     0.64318751  1.69917459]]",102.655826192649,hper_a.xyz
12,-11.606545448303223,"[[-1.5788543e-04  3.1311191e-03  3.8852401e-03]
 [-7.0389142e-05 -3.1569568e-03  3.8696944e-03]
 [ 4.4983430e-05  2.2942980e-04 -3.7519920e-03]
 [ 1.8329115e-04 -2.0359202e-04 -4.0029427e-03]]","[[-0.03081168 -0.01547531  0.0022795 ]
 [ 0.03082242 -0.01827344  1.48099293]
 [ 0.79172007  0.63640297 -0.22354604]
 [-0.791395    0.63630266  1.70005824]]",103.655826192649,hper_a.xyz
13,-11.605847358703613,"[[ 3.8890829e-04  1.7040689e-03  2.0161914e-03]
 [-4.8478987e-04 -1.5715187e-03  2.0478058e-03]
 [ 3.6054311e-04  4.0027790e-05 -2.8167111e-03]
 [-2.6466153e-04 -1.7257794e-04 -1.2472862e-03]]","[[-0.03229933 -0.01515491  0.00245621]
 [ 0.03231949 -0.01812006  1.48104189]
 [ 0.79564317  0.62948837 -0.22436351]
 [-0.79533132  0.62938782  1.70065205]]",104.655826192649,hper_a.xyz
14,-11.607274055480957,"[[ 5.6437921e-04  2.9927818e-03  3.5985257e-03]
 [-6.9816655e-04 -2.8068847e-03  3.6449612e-03]
 [ 5.1096769e-04  8.3996485e-05 -4.7413865e-03]
 [-3.7718037e-04 -2.6989356e-04 -2.5021001e-03]]","[[-0.03370096 -0.01494934  0.00245108]
 [ 0.0337434  -0.01779413  1.48091081]
 [ 0.79955371  0.62251008 -0.22521773]
 [-0.79926034  0.62242702  1.70164274]]",105.655826192649,hper_a.xyz
15,-11.606520652770996,"[[ 1.0558858e-03  1.5612866e-03  1.7103822e-03]
 [-1.0977158e-03 -1.2379332e-03  1.8074107e-03]
 [ 8.1455498e-04 -8.1603896e-05 -3.7043826e-03]
 [-7.7272486e-04 -2.4174951e-04  1.8658958e-04]]","[[-0.03526838 -0.01459927  0.00267644]
 [ 0.0353205  -0.0176651   1.48098893]
 [ 0.80330235  0.61552775 -0.2258843 ]
 [-0.80302718  0.61544149  1.70200964]]",106.655826192649,hper_a.xyz
16,-11.60690975189209,"[[-0.00025957  0.00279717  0.0036122 ]
 [ 0.00019734 -0.00287803  0.0035785 ]
 [-0.00017431  0.00019265 -0.00313944]
 [ 0.00023655 -0.00011179 -0.00405127]]","[[-0.03653076 -0.01437576  0.00263057]
 [ 0.03660818 -0.01726372  1.48081945]
 [ 0.80719187  0.60845144 -0.22697637]
 [-0.80693186  0.60838423  1.70331841]]",107.655826192649,hper_a.xyz
17,-11.610011100769043,"[[ 0.00116956  0.00075121  0.00067951]
 [-0.00116601 -0.00040988  0.00079723]
 [ 0.00086178 -0.00014236 -0.00283417]
 [-0.00086534 -0.00019897  0.00135743]]","[[-0.0380188  -0.01391226  0.00296969]
 [ 0.03809794 -0.01717289  1.48100745]
 [ 0.81087572  0.60138815 -0.22786454]
 [-0.81065746  0.60131361  1.70369483]]",108.655826192649,hper_a.xyz
18,-11.608330726623535,"[[ 7.8403181e-04  2.0449481e-03  2.4523858e-03]
 [-7.6827133e-04 -1.8296517e-03  2.5269724e-03]
 [ 5.4321217e-04 -1.8411660e-05 -3.8494866e-03]
 [-5.5897259e-04 -1.9688484e-04 -1.1298719e-03]]","[[-0.03931665 -0.01367464  0.00294137]
 [ 0.03941927 -0.01676926  1.48084228]
 [ 0.81464447  0.59425246 -0.22873944]
 [-0.81444443  0.59419439  1.70476444]]",109.655826192649,hper_a.xyz
19,-11.610833168029785,"[[-4.4666620e-05  1.6836773e-03  2.2047237e-03]
 [ 7.7137192e-05 -1.7086081e-03  2.1915478e-03]
 [-8.1702601e-05  8.4659550e-05 -2.0652420e-03]
 [ 4.9232032e-05 -5.9728809e-05 -2.3310294e-03]]","[[-0.0405813  -0.01347157  0.00284035]
 [ 0.04070566 -0.01629254  1.48060368]
 [ 0.81839777  0.58708687 -0.22950737]
 [-0.81820911  0.58704777  1.70587425]]",110.655826192649,hper_a.xyz
20,-11.608102798461914,"[[-2.7281021e-05 -5.3312141e-04 -6.9528655e-04]
 [ 9.3591598e-06  5.3109630e-04 -6.9481099e-04]
 [ 3.6469191e-06 -1.9658113e-05  7.1771693e-04]
 [ 1.4274941e-05  2.1683194e-05  6.7238061e-04]]","[[-0.04180952 -0.01275765  0.00340547]
 [ 0.04195535 -0.01630192  1.48102886]
 [ 0.82211195  0.57991044 -0.23087039]
 [-0.82197362  0.57985102  1.70626065]]",111.655826192649,hper_a.xyz
21,-11.6127290725708,"[[ 4.8681270e-04 -2.2768443e-04 -4.2001970e-04]
 [-4.9718801e-04  3.6369421e-04 -3.6119338e-04]
 [ 3.7036542e-04 -7.8762205e-05 -4.7976387e-04]
 [-3.5999011e-04 -5.7247584e-05  1.2609770e-03]]","[[-0.04307106 -0.01249354  0.00337249]
 [ 0.04323727 -0.01585371  1.48084993]
 [ 0.82578879  0.57269424 -0.23144392]
 [-0.82566904  0.57264914  1.70705155]]",112.655826192649,hper_a.xyz
22,-11.61165714263916,"[[-5.4050243e-04  1.0065323e-04  2.6522687e-04]
 [ 5.4745615e-04 -2.4724196e-04  1.9921789e-04]
 [-4.0331957e-04  7.9120466e-05  7.2157104e-04]
 [ 3.9636591e-04  6.7468260e-05 -1.1860158e-03]]","[[-0.04422198 -0.01221179  0.00332494]
 [ 0.04440249 -0.01536797  1.48066571]
 [ 0.82950909  0.56544103 -0.23207298]
 [-0.82941297  0.56540958  1.70792093]]",113.655826192649,hper_a.xyz
